word	count
was-given	102572
move	102545
said-fear	102503
person	102450
was-killed	102424
run	102363
said-change	102360
was-liked	102246
sleep	101707
age	101577
having	101527
said-master	101379
said-longer	101318
said-darling	101258
said-black	101169
helped	101142
announced	101131
said-deal	101034
said-near	100865
shoes	100731
said-seemed	100299
approached	100052
accepted	99843
said-dinner	99679
said-met	99660
spoken	99346
stop	99278
said-worry	99095
said-possible	99026
was-caught	98982
stand	98874
feeling	98646
inquired	98448
said-easy	98223
said-taking	98188
said-behind	98006
said-girls	97744
taking	97451
said-write	97372
said-certain	97294
said-later	97289
said-return	97251
said-thee	97128
visit	96997
said-cold	96794
gets	96521
was-held	96357
said-small	96262
said-cut	96112
said-happen	95586
lip	95585
hung	95580
said-become	95441
expression	95268
remained	95257
said-living	95200
appearance	95025
said-none	94846
lying	94788
said-exactly	94720
said-sake	94287
said-waiting	94263
said-high	94234
said-turned	94169
was-call	93913
gaze	93440
said-hey	93341
forgot	93313
reply	93043
interrupted	92508
said-land	92271
said-trust	92239
money	91948
said-hurt	91937
said-order	91809
seem	91787
said-car	91732
said-watch	91605
walk	91535
sit	91254
much	91243
said-minutes	91175
enjoyed	90821
said-aunt	90510
written	90500
said-heaven	90204
said-killed	90159
drank	90005
said-party	89811
grabbed	89613
said-voice	89423
said-city	89250
said-soul	89092
old	88955
rushed	88864
said-everybody	88655
said-free	88420
said-besides	88367
bowed	88352
book	88341
studied	88168
said-past	87771
said-somebody	87683
tells	87485
intended	87418
said-anybody	87367
was-bring	87193
said-close	87016
said-save	86991
said-power	86977
day	86958
wish	86950
said-earth	86339
said-tried	85782
said-air	85724
said-feeling	85697
said-blood	85684
bring	85596
said-thy	85172
said-except	85166
shot	85137
said-company	84916
brow	84896
leg	84780
apartment	84748
said-body	84552
said-book	84529
said-strange	84375
allowed	84292
poured	84272
figure	84256
said-sense	84222
try	84212
takes	84187
said-fair	84182
frowned	84042
feared	84003
said-tired	83982
was-kill	83886
said-six	83797
smiling	83737
was-heard	83492
asks	83401
said-horse	83276
said-strong	83182
strength	83156
said-hate	83152
watching	82942
said-sick	82849
snapped	82662
protested	82639
said-promise	82596
said-worth	82571
said-kept	82431
said-fight	82429
ate	82229
swung	82185
was-hurt	81885
woke	81728
bedroom	81669
holding	81483
said-died	81453
said-office	81373
was-let	81146
said-move	81142
said-hours	81129
rolled	81099
bag	81087
said-church	80993
sought	80869
features	80603
disappeared	80536
said-bear	80483
said-dark	80422
lover	80332
said-hair	80023
said-ill	79892
nature	79760
working	79579
struck	79564
said-telling	79438
said-wonderful	79400
shut	79229
said-news	79218
said-road	79207
said-worse	79026
begun	78886
said-afternoon	78878
pipe	78837
sprang	78783
said-important	78776
memory	78754
was-done	78729
recalled	78678
was-like	78667
wait	78655
said-clear	78549
years	78372
said-buy	78310
jacket	78297
bear	78224
said-feet	78116
missed	78086
said-unless	77969
was-seeing	77882
knee	77813
case	77661
mentioned	77653
eyebrows	77539
flung	77465
said-gentleman	77342
said-loved	77159
said-surely	77066
live	77022
assured	76898
sense	76775
said-learn	76561
said-sweet	76499
days	76464
said-street	76428
said-months	75999
screamed	75964
guessed	75853
said-stuff	75786
said-lie	75761
marriage	75727
kind	75522
was-answered	75216
said-early	75022
said-quiet	74994
said-short	74812
walking	74662
business	74478
yelled	74461
said-state	74437
chose	74376
said-eh	74323
was-leaving	74250
sees	74212
was-born	73711
said-dog	73442
waist	73406
said-red	73340
was-keep	73291
said-dare	73133
gasped	73094
said-forgive	73025
said-neither	72724
said-safe	72595
reflected	72578
supposed	72430
failed	72365
said-yesterday	72157
said-hardly	72156
character	72057
hold	71968
fist	71810
said-na	71798
mistress	71797
said-shut	71726
said-dr.	71524
said-hello	71134
said-break	71101
tears	71063
feels	71001
suffered	70710
said-tea	70624
question	70612
mean	70601
lowered	70601
said-age	70576
said-themselves	70571
was-carried	70570
killed	70548
job	70544
likes	70519
was-assured	70476
dared	70320
interested	70314
busy	70270
said-drive	70161
said-pleasure	70160
fallen	69890
pockets	69868
grandfather	69850
forget	69758
angry	69749
said-human	69647
said-meant	69540
surprise	69489
concluded	69446
settled	69351
stretched	69199
said-law	69147
reminded	69144
grandmother	69116
said-fall	69015
young	69005
people	68941
said-lose	68878
rubbed	68832
lit	68631
seized	68470
said-imagine	68464
was-hit	68460
said-table	68288
companions	68215
said-front	68200
reading	68188
conscious	68159
said-carry	68155
arrival	68147
said-lives	68112
was-used	68099
won	68043
regarded	67955
die	67854
said-working	67844
anger	67842
said-hot	67814
power	67690
said-sound	67689
said-excuse	67651
said-honour	67434
show	67337
said-english	67131
breathed	67127
said-devil	67115
said-line	67047
said-nature	66999
said-outside	66950
wiped	66947
chuckled	66896
glance	66748
said-started	66706
said-cause	66695
elbow	66677
removed	66669
said-lovely	66646
window	66643
grown	66639
drink	66510
beginning	66490
was-lost	66425
said-eye	66417
said-act	66110
gathered	66110
responded	65957
telling	65866
breasts	65840
table	65838
was-thought	65762
departure	65747
use	65655
was-startled	65631
said-duty	65613
said-instead	65494
said-follow	65455
heels	65418
was-send	65389
was-turned	65374
said-pass	65351
said-hurry	65266
said-mad	64993
said-lay	64952
hit	64949
was-invited	64926
pleased	64876
said-gentlemen	64875
suspected	64851
said-funny	64796
said-thinks	64699
sank	64601
struggled	64489
bit	64472
said-hit	64362
said-everyone	64241
best	64192
said-across	64116
said-inside	64054
opinion	64016
close	63985
said-game	63961
said-secret	63938
said-twenty	63934
glasses	63888
boots	63856
living	63848
breathing	63801
said-born	63682
said-within	63630
blood	63562
was-hear	63549
begged	63383
said-sight	63336
round	63298
said-police	63290
said-dollars	63208
spirit	63103
loves	63005
speaking	62952
needs	62942
said-peace	62831
was-wanted	62821
alive	62813
said-pray	62780
said-lived	62750
said-paper	62659
said-terrible	62586
said-luck	62532
forced	62512
makes	62388
said-marriage	62342
said-somewhere	62308
said-sea	62240
said-straight	62202
cared	62187
sang	62182
said-crazy	62156
company	62137
said-couple	62123
playing	62064
more	61940
was-pleased	61871
said-touch	61859
proceeded	61832
was-taking	61739
said-interest	61737
said-visit	61684
beauty	61589
recovered	61550
said-papa	61509
bosom	61502
said-bet	61384
knocked	61338
sorry	61275
said-cousin	61271
was-dressed	61192
said-clothes	61124
cap	61124
said-ha	61076
said-food	60980
was-pulled	60846
speech	60795
said-shot	60780
invited	60775
said-alive	60693
youth	60672
certain	60646
said-ride	60576
uttered	60517
play	60478
said-ahead	60241
said-quick	60194
said-kid	60033
said-simply	59998
cast	59899
said-rich	59881
sensed	59836
said-catch	59777
desire	59767
said-likely	59757
cigarette	59756
said-ones	59478
said-passed	59477
interest	59460
said-future	59430
was-pushed	59387
said-art	59371
noted	59166
said-begin	59129
seems	59101
absence	58988
said-during	58960
imagination	58868
ignored	58778
was-touched	58679
said-ladies	58631
marry	58622
said-fast	58467
one	58464
duty	58432
attitude	58311
plans	58310
staring	58258
self	58233
leapt	58004
suit	58002
said-service	57996
knelt	57961
laughing	57884
said-dress	57817
said-madame	57467
said-weeks	57457
said-stood	57395
was-added	57366
said-monsieur	57358
said-number	57345
resumed	57313
said-nearly	57313
fought	57041
said-leaving	57036
said-necessary	57019
longed	56965
crying	56873
said-river	56810
first	56798
cleared	56787
said-boat	56785
urged	56772
calls	56729
said-nt	56657
said-meeting	56639
tired	56628
said-ship	56529
said-perfectly	56456
said-began	56369
checked	56239
was-forced	56150
said-sun	56145
said-account	56109
proud	56106
slid	56085
said-plenty	56081
said-serious	56015
was-follow	56002
said-arms	55992
said-supposed	55954
was-kept	55895
sounded	55833
warned	55809
listening	55778
gun	55747
thrust	55694
said-dad	55674
tossed	55643
plate	55557
said-position	55556
said-window	55469
wrist	55420
was-helped	55364
said-spirit	55277
are	55268
steps	55259
letters	55218
said-giving	55124
temper	55123
fall	55003
said-above	54999
said-running	54984
cup	54973
said-ourselves	54902
said-jesus	54880
write	54843
said-gon	54839
prepared	54832
was-inquired	54829
said-count	54797
said-awful	54778
was-greeted	54770
unable	54659
taught	54634
said-actually	54603
said-piece	54444
was-do	54430
said-explain	54409
running	54404
was-joined	54381
said-fault	54193
said-impossible	54185
books	53982
said-wear	53978
said-folks	53877
blushed	53792
burst	53732
said-sitting	53683
word	53536
said-fun	53507
visited	53492
said-subject	53489
said-ground	53434
said-damned	53290
said-silly	53265
awoke	53211
said-offer	53178
said-gold	53168
said-court	53136
said-spoke	53069
pleaded	53020
planned	52976
s	52941
said-pity	52891
fear	52769
swallowed	52739
said-picture	52689
fond	52628
possessed	52627
pride	52626
imagine	52618
said-month	52589
succeeded	52583
dreamed	52564
account	52505
said-colonel	52457
said-needs	52431
was-determined	52406
greeted	52373
said-books	52372
leaving	52305
career	52262
said-pardon	52196
said-happiness	52175
said-beyond	52159
belly	52127
said-takes	52061
said-christ	52054
addressed	52052
meet	51980
was-filled	51976
said-large	51809
senses	51767
was-stopped	51765
said-rose	51753
said-difference	51742
was-recognised	51699
was-set	51510
said-forgotten	51502
was-informed	51497
said-caught	51430
health	51421
said-itself	51418
said-beginning	51354
said-asking	51354
said-opinion	51296
said-goin	51291
notice	51278
said-mistake	51230
was-save	51198
said-fancy	51176
said-therefore	51176
straightened	51171
anxious	51131
filled	51095
said-bill	51043
said-mouth	51020
said-shit	50999
preferred	50920
said-changed	50917
expressed	50874
plan	50836
party	50823
described	50621
study	50581
will	50579
handkerchief	50475
beard	50360
chosen	50317
said-stupid	50265
groaned	50202
said-dream	50189
thanked	50172
said-throw	50089
said-judge	50083
was-seized	50014
said-blue	49950
experienced	49949
free	49943
pay	49916
hope	49897
said-music	49890
wishes	49879
said-fell	49869
was-continued	49846
knowledge	49819
said-paid	49779
willing	49760
said-learned	49735
was-seated	49709
assumed	49695
dreams	49682
said-nonsense	49668
said-beauty	49634
shown	49589
said-welcome	49529
said-faith	49498
was-asking	49461
said-wind	49443
said-yer	49436
said-drop	49408
idea	49307
gotten	49305
informed	49292
escape	49282
said-allow	49275
said-especially	49267
was-give	49222
was-gave	49159
said-pick	49117
share	49087
retorted	49066
wept	49045
baby	49040
cry	49006
wandered	48995
mood	48966
touch	48945
said-further	48937
turns	48810
experience	48800
peered	48727
said-coffee	48713
complained	48711
said-army	48710
said-although	48683
said-top	48667
said-manner	48640
said-honest	48548
said-fit	48522
jaw	48471
stumbled	48460
said-deep	48455
said-seven	48452
said-step	48433
faced	48421
brothers	48330
sake	48310
said-daddy	48263
strode	48242
said-agree	48196
was-concerned	48192
folded	48175
said-arm	48146
said-problem	48132
said-perfect	48072
said-plan	48046
palm	48045
said-busy	48026
said-wild	47977
said-sell	47958
said-train	47947
said-ways	47937
said-horses	47913
said-french	47905
shuddered	47899
said-interested	47877
partner	47873
said-speaking	47865
patted	47846
said-dance	47813
nerves	47798
said-talked	47762
said-finished	47756
said-beg	47737
said-careful	47683
delighted	47651
said-clean	47638
said-questions	47599
was-drew	47536
fault	47523
perceived	47499
surprised	47472
listen	47440
was-whispered	47426
start	47407
reach	47336
determined	47333
said-american	47312
sword	47306
said-simple	47293
dream	47239
said-cried	47229
said-consider	47227
was-thanked	47226
skirt	47145
said-o'clock	47124
said-village	47056
was-engaged	47041
was-returned	46987
said-proud	46941
said-summer	46918
said-lucky	46916
spread	46896
sick	46874
confessed	46869
said-promised	46865
said-tis	46844
covered	46726
kicked	46703
was-frightened	46684
said-notice	46673
said-sat	46662
said-broken	46592
introduced	46562
efforts	46480
tore	46374
said-held	46366
said-public	46366
said-several	46366
was-allowed	46358
dressed	46344
said-miles	46307
said-cry	46300
was-moved	46295
said-interesting	46293
pretended	46263
said-beat	46252
offer	46220
said-suddenly	46200
sleeve	46147
said-laugh	46123
said-liked	45949
arranged	45875
said-attention	45760
was-expected	45621
said-garden	45615
said-honey	45607
shivered	45601
said-surprised	45520
was-stop	45493
was-regarded	45473
sits	45438
hastened	45438
said-forward	45432
said-matters	45414
said-decided	45413
said-foot	45410
dragged	45371
saved	45308
said-expected	45278
laugh	45245
belt	45203
proposed	45168
examined	45093
said-standing	45056
said-mark	45054
purse	45053
said-danger	45050
was-want	45032
said-letters	44970
said-remain	44938
seated	44837
said-breakfast	44832
said-pleased	44822
things	44798
said-tree	44785
said-society	44773
change	44681
was-puzzled	44675
said-difficult	44649
said-charge	44641
was-tired	44630
said-blame	44620
ceased	44561
childhood	44533
said-sounds	44527
thumb	44518
said-low	44483
happiness	44463
was-warned	44462
acted	44436
was-supposed	44358
trousers	44327
desired	44315
said-shoot	44279
writing	44252
said-happens	44178
said-mama	44162
rang	44115
step	44077
was-urged	44072
sons	44057
spirits	44008
behaviour	44004
said-angry	43979
said-green	43964
was-reached	43963
grunted	43910
nephew	43894
said-kids	43890
guest	43881
said-accept	43843
said-spend	43820
said-sign	43800
said-harm	43756
said-stopped	43745
said-wine	43738
said-join	43733
was-passed	43709
shared	43691
shifted	43650
admired	43647
arose	43630
weight	43608
said-purpose	43571
said-eight	43541
eat	43536
said-quickly	43517
said-cross	43498
said-fortune	43471
gives	43462
said-feelings	43448
said-fifty	43401
said-papers	43353
