f,m,word,label
-6.029261864045454,2.40242762650684,'s,
8.015443807427278,8.61900945596286,???,
3.946090343013764,-4.803445717521743,able,
-5.587759867715201,-1.5275924676994594,absence,
4.5898575653411315,5.665842491586872,accepted,
-0.575034372198145,1.478500170770571,account,
-4.097732685360828,-2.3602579101340595,acted,
3.412780681872665,3.2259861323670633,added,
-4.928556375511827,-5.06435583591254,addressed,
-2.4850726978345343,2.5736012406404982,admired,
-1.0196375098251451,-4.188971708859413,admitted,
-4.663457571572739,-5.146229531883429,advanced,
-4.3252239930811305,-3.7083844618085338,advice,
6.5912118923793805,6.275127388427766,afraid,
5.233947220357196,5.76797883682292,age,
-4.943483119308253,-5.513987525779778,agreed,
-5.382727774318293,-5.592500439934035,ai,
-4.922458729430445,-6.908282049554299,alive,
4.3035303779683,4.267007668754963,allowed,
-4.059903991500016,-2.7617513369615945,anger,
-1.0213140085053618,5.6581436324466825,angry,
-3.0503612703683873,-3.448166503288527,announced,
3.661686422258863,6.43115330960613,answer,
3.9467374771603927,7.281415265693366,answered,
2.384596390835758,3.052210811661805,anxious,
6.153395017981412,7.462486045230556,apartment,
-3.7742208664441024,4.151754637267794,appear,
3.6174499400331452,4.217371228637238,appearance,
-4.982626867011899,6.2624956314084645,appeared,appeared
-5.4281832449971095,-6.390528542957089,approached,
-3.439255362716502,-1.3296108964356816,are,
-7.762817665955221,-6.729849843944014,arm,
2.0424618136290933,7.636887346598981,arms,
4.306984928715797,3.118142233589315,arose,
2.290160414770226,2.7307679961754587,arranged,
-4.495619634833546,-4.432778366929614,arrival,
-6.177918143058513,-5.7741415702596095,arrived,
-0.3893483893159924,5.152414327641917,ask,
-5.302202351534672,7.005867754257875,asked,asked
1.3598304262418508,5.8022267060790265,asks,
0.5690879312651652,-3.876696343655467,assumed,
-3.641516908150993,-3.995509071481879,assured,
-3.441766825217992,-5.424882977549385,ate,
0.1085389300538466,-4.0715206665886585,attempted,
2.258522001406459,-3.8065171513137264,attention,
-0.02721639300270533,5.579577208533982,attitude,
8.876011063149505,9.0947764143212,aunt,aunt
3.1019992950596067,1.985240419449502,avoided,
5.343167238535365,0.4312504030598285,aware,
4.916642890319384,-3.376953244030123,awoke,
8.07669781215436,8.580772860403668,baby,
7.472401105147464,7.3688455101930055,back,
7.644990358066644,7.323436575634079,bag,
-6.105712349418678,5.074798207722086,be,
6.347752472330052,6.665478431041051,bear,
-8.548781948923427,-9.043979968261036,beard,beard
-4.319122314909734,-5.576447498066501,beat,
8.890919572778643,9.834555012068996,beauty,
7.270893432881541,6.938609322114397,bed,
7.6588827861109525,8.217381191238918,bedroom,
-2.858758685738919,4.4036271478234035,been,
5.373390865028728,-1.467717947413862,began,
5.1498726592388,6.569119169411545,begged,
3.8463536883983998,0.4965405419999173,beginning,
3.1561468444636707,3.682505208043817,begun,
-2.609802869531201,4.417306476829303,behaviour,
3.6471498110726643,2.4222799574009843,believe,
2.01864239070742,2.650457047604375,believed,
5.4811728417250904,3.3670147265618495,belly,
-6.396262881547642,-7.973022932306025,belt,
4.068818402430474,3.3628926311409857,best,
5.852602009608653,6.407302478942156,birthday,
5.234955503608473,6.301574867907132,bit,
2.5438797417831625,-5.553548659344512,blinked,
-5.156831404293159,-5.66181068451726,blood,
7.447153446012378,8.074296422113209,blushed,
6.576856692360085,7.6183712037019315,body,
3.6383428792932344,-0.9329453447935971,book,
-3.221120521534931,-5.43337120467238,books,
-7.058750973506178,-7.930108922120791,boots,
