name	size	floor	ceiling	meandate	accuracy	features	regularization	i
fantasyperiods21800to1899v0	75	1800	1899	1874.44	0.8	2700	12	0
fantasyperiods21800to1899v1	75	1800	1899	1874.08666667	0.78	5700	0.006	1
fantasyperiods21800to1899v2	75	1800	1899	1874.06	0.746666666667	3600	12	2
fantasyperiods21850to1909v0	75	1850	1909	1890.4	0.766666666667	2400	12	0
fantasyperiods21850to1909v1	75	1850	1909	1889.27333333	0.806666666667	3300	0.0003	1
fantasyperiods21850to1909v2	75	1850	1909	1889.39333333	0.78	2100	3	2
fantasyperiods21900to1919v0	75	1900	1919	1909.44262295	0.827868852459	5400	12	0
fantasyperiods21900to1919v1	75	1900	1919	1909.94262295	0.893442622951	4200	0.006	1
fantasyperiods21900to1919v2	75	1900	1919	1909.55737705	0.83606557377	5400	0.02	2
fantasyperiods21910to1945v0	75	1910	1945	1926.12	0.846666666667	900	0.7	0
fantasyperiods21910to1945v1	75	1910	1945	1925.98	0.853333333333	3900	0.7	1
fantasyperiods21910to1945v2	75	1910	1945	1924.93333333	0.853333333333	4200	0.02	2
fantasyperiods21920to1949v0	75	1920	1949	1934.24	0.893333333333	4200	12	0
fantasyperiods21920to1949v1	75	1920	1949	1933.94	0.8	1800	3	1
fantasyperiods21920to1949v2	75	1920	1949	1934.03333333	0.866666666667	2700	0.1	2
fantasyperiods21930to1965v0	75	1930	1965	1949.92666667	0.913333333333	2100	12	0
fantasyperiods21930to1965v1	75	1930	1965	1949.08	0.913333333333	3000	0.02	1
fantasyperiods21930to1965v2	75	1930	1965	1950.92	0.906666666667	3900	12	2
fantasyperiods21950to1969v0	75	1950	1969	1959.43333333	0.88	3900	0.1	0
fantasyperiods21950to1969v1	75	1950	1969	1960.20666667	0.846666666667	4200	12	1
fantasyperiods21950to1969v2	75	1950	1969	1960.15333333	0.866666666667	3300	12	2
fantasyperiods21960to1975v0	75	1960	1975	1968.22666667	0.866666666667	5400	0.02	0
fantasyperiods21960to1975v1	75	1960	1975	1968.24	0.88	4200	0.006	1
fantasyperiods21960to1975v2	75	1960	1975	1968.51333333	0.806666666667	4800	0.006	2
fantasyperiods21970to1979v0	75	1970	1979	1974.8	0.86	5100	0.001	0
fantasyperiods21970to1979v1	75	1970	1979	1974.52666667	0.846666666667	900	0.7	1
fantasyperiods21970to1979v2	75	1970	1979	1974.87333333	0.86	5700	0.02	2
fantasyperiods21974to1986v0	75	1974	1986	1980.79333333	0.92	5100	12	0
fantasyperiods21974to1986v1	75	1974	1986	1980.49333333	0.893333333333	3900	12	1
fantasyperiods21974to1986v2	75	1974	1986	1980.61333333	0.92	3000	0.7	2
fantasyperiods21980to1989v0	75	1980	1989	1984.52666667	0.9	1800	0.02	0
fantasyperiods21980to1989v1	75	1980	1989	1984.47333333	0.886666666667	4200	3	1
fantasyperiods21980to1989v2	75	1980	1989	1984.53333333	0.906666666667	2100	0.02	2
fantasyperiods21984to1996v0	75	1984	1996	1990.16	0.866666666667	4200	0.0003	0
fantasyperiods21984to1996v1	75	1984	1996	1989.95333333	0.886666666667	3000	12	1
fantasyperiods21984to1996v2	75	1984	1996	1990.00666667	0.926666666667	5700	0.006	2
fantasyperiods21990to1999v0	75	1990	1999	1994.77333333	0.853333333333	3600	0.0003	0
fantasyperiods21990to1999v1	75	1990	1999	1994.81333333	0.853333333333	1200	3	1
fantasyperiods21990to1999v2	75	1990	1999	1995.09333333	0.886666666667	5100	0.7	2
