testype	name1	name2	acc1	acc2	spearman	spear1on2	spear2on1	loss	loss1on2	loss2on1	meandate	ceiling	floor
fantasyself	fantasy1950to1969v0	fantasy1950to1969v1	0.89375	0.85625	1.19910371022	1.14423603348	1.25397138697	-0.0875	-0.1	-0.075	1960.0	1969	1950
fantasyself	fantasy1950to1969v0	fantasy1950to1969v2	0.89375	0.88125	1.30534146866	1.24153359484	1.36914934247	-0.065625	-0.05625	-0.075	1959.5	1969	1950
fantasyself	fantasy1950to1969v0	fantasy1950to1969v3	0.89375	0.9	1.28946373408	1.29065960281	1.28826786536	-0.06875	-0.06875	-0.06875	1959.5	1969	1950
fantasyself	fantasy1950to1969v0	fantasy1950to1969v4	0.89375	0.86875	1.23068041512	1.23063490994	1.2307259203	-0.065625	-0.06875	-0.0625	1960.0	1969	1950
cross	fantasy1950to1969v0	sf1950to1969v0	0.89375	0.91875	1.01095514866	1.21579604373	0.806114253583	0.065625	-0.00625	0.1375	1959.5	1969	1950
cross	fantasy1950to1969v0	sf1950to1969v1	0.89375	0.86875	0.929788259263	1.06547546247	0.794101056054	0.05	-0.025	0.125	1959.5	1969	1950
cross	fantasy1950to1969v0	sf1950to1969v2	0.89375	0.89375	0.99510737245	1.1136861748	0.876528570105	0.05	-0.00625	0.10625	1959.5	1969	1950
cross	fantasy1950to1969v0	sf1950to1969v3	0.89375	0.9125	1.03974362728	1.2189108088	0.86057644576	0.090625	0.0125	0.16875	1959.5	1969	1950
cross	fantasy1950to1969v0	sf1950to1969v4	0.89375	0.925	0.952533800759	1.05153051989	0.853537081623	0.065625	0.00625	0.125	1959.5	1969	1950
fantasyself	fantasy1950to1969v1	fantasy1950to1969v0	0.85625	0.89375	1.19910371022	1.25397138697	1.14423603348	-0.0875	-0.075	-0.1	1960.0	1969	1950
fantasyself	fantasy1950to1969v1	fantasy1950to1969v2	0.85625	0.88125	1.27962167061	1.26243652191	1.29680681931	-0.1	-0.08125	-0.11875	1959.5	1969	1950
fantasyself	fantasy1950to1969v1	fantasy1950to1969v3	0.85625	0.9	1.12476626703	1.19290545895	1.05662707512	-0.078125	-0.05625	-0.1	1959.5	1969	1950
fantasyself	fantasy1950to1969v1	fantasy1950to1969v4	0.85625	0.86875	1.18186753867	1.18517152881	1.17856354853	-0.1	-0.08125	-0.11875	1960.0	1969	1950
cross	fantasy1950to1969v1	sf1950to1969v0	0.85625	0.91875	1.15137956566	1.38847213385	0.914286997462	0.046875	-0.0125	0.10625	1959.5	1969	1950
cross	fantasy1950to1969v1	sf1950to1969v1	0.85625	0.86875	1.17881397315	1.22681497503	1.13081297127	-0.00625	-0.05	0.0375	1959.5	1969	1950
cross	fantasy1950to1969v1	sf1950to1969v2	0.85625	0.89375	1.15858792557	1.31976806883	0.997407782313	0.003125	-0.04375	0.05	1959.5	1969	1950
cross	fantasy1950to1969v1	sf1950to1969v3	0.85625	0.9125	1.21889638562	1.3692135283	1.06857924294	0.046875	0.0	0.09375	1959.5	1969	1950
cross	fantasy1950to1969v1	sf1950to1969v4	0.85625	0.925	1.18680267836	1.26162605913	1.11197929758	0.00625	-0.00625	0.01875	1959.5	1969	1950
fantasyself	fantasy1950to1969v2	fantasy1950to1969v0	0.88125	0.89375	1.30534146866	1.36914934247	1.24153359484	-0.065625	-0.075	-0.05625	1959.5	1969	1950
fantasyself	fantasy1950to1969v2	fantasy1950to1969v1	0.88125	0.85625	1.27962167061	1.29680681931	1.26243652191	-0.1	-0.11875	-0.08125	1959.5	1969	1950
fantasyself	fantasy1950to1969v2	fantasy1950to1969v3	0.88125	0.9	1.24574774631	1.27139381058	1.22010168204	-0.065625	-0.0625	-0.06875	1959.0	1969	1950
fantasyself	fantasy1950to1969v2	fantasy1950to1969v4	0.88125	0.86875	1.20819724141	1.29034610578	1.12604837703	-0.084375	-0.0875	-0.08125	1959.5	1969	1950
cross	fantasy1950to1969v2	sf1950to1969v0	0.88125	0.91875	1.18933932057	1.51327135752	0.865407283617	0.08125	0.0	0.1625	1959.0	1969	1950
