name	size	floor	ceiling	meandate	accuracy	features	regularization	i
fantasy1800to1899v0	80	1800	1899	1876	0.7875	1200	0.02	0
fantasy1800to1899v1	80	1800	1899	1875	0.8	4400	12	1
fantasy1800to1899v2	80	1800	1899	1876	0.79375	1400	12	2
fantasy1800to1899v3	80	1800	1899	1876	0.79375	1400	3	3
fantasy1800to1899v4	80	1800	1899	1874	0.80625	4800	0.001	4
fantasy1900to1919v0	80	1900	1919	1909	0.84375	4400	0.001	0
fantasy1900to1919v1	80	1900	1919	1909	0.85	2200	0.1	1
fantasy1900to1919v2	80	1900	1919	1909	0.8875	5000	0.001	2
fantasy1900to1919v3	80	1900	1919	1909	0.84375	4600	12	3
fantasy1900to1919v4	80	1900	1919	1909	0.85	4600	0.02	4
fantasy1920to1949v0	80	1920	1949	1935	0.88125	4800	0.02	0
fantasy1920to1949v1	80	1920	1949	1935	0.8875	4000	0.006	1
fantasy1920to1949v2	80	1920	1949	1935	0.825	5000	0.1	2
fantasy1920to1949v3	80	1920	1949	1934	0.88125	4800	12	3
fantasy1920to1949v4	80	1920	1949	1935	0.8375	4400	0.7	4
fantasy1950to1969v0	80	1950	1969	1960	0.89375	4600	0.7	0
fantasy1950to1969v1	80	1950	1969	1960	0.85625	4400	0.7	1
fantasy1950to1969v2	80	1950	1969	1959	0.88125	3000	0.006	2
fantasy1950to1969v3	80	1950	1969	1959	0.9	4800	0.7	3
fantasy1950to1969v4	80	1950	1969	1960	0.86875	3800	12	4
fantasy1970to1979v0	80	1970	1979	1975	0.8625	1000	0.7	0
fantasy1970to1979v1	80	1970	1979	1975	0.85625	1000	12	1
fantasy1970to1979v2	80	1970	1979	1975	0.9	1000	0.1	2
fantasy1970to1979v3	80	1970	1979	1975	0.85625	1000	0.02	3
fantasy1970to1979v4	80	1970	1979	1975	0.8625	1000	0.7	4
fantasy1980to1989v0	80	1980	1989	1984	0.86875	3200	12	0
fantasy1980to1989v1	80	1980	1989	1985	0.8625	3200	12	1
fantasy1980to1989v2	80	1980	1989	1985	0.875	5000	0.02	2
fantasy1980to1989v3	80	1980	1989	1984	0.925	4600	0.7	3
fantasy1980to1989v4	80	1980	1989	1985	0.89375	2000	12	4
fantasy1990to1999v0	80	1990	1999	1995	0.825	2000	0.006	0
fantasy1990to1999v1	80	1990	1999	1995	0.86875	1400	12	1
fantasy1990to1999v2	80	1990	1999	1995	0.85625	2000	12	2
fantasy1990to1999v3	80	1990	1999	1995	0.86875	2000	0.02	3
fantasy1990to1999v4	80	1990	1999	1995	0.86875	1400	0.7	4
fantasy2000to2010v0	80	2000	2010	2004	0.85625	1200	0.02	0
fantasy2000to2010v1	80	2000	2010	2004	0.88125	4000	3	1
fantasy2000to2010v2	80	2000	2010	2004	0.875	4800	0.02	2
fantasy2000to2010v3	80	2000	2010	2004	0.88125	4800	12	3
fantasy2000to2010v4	80	2000	2010	2004	0.85	2800	12	4
