docid	diff	firstpub	author	title
mdp.49015001024521_0	-0.520694938424	1934	Weinbaum, Stanley Grauman	A Martian Odyssey and other science fiction tales; | $c: the collected short stories of Stanley G. Weinbaum. Introd. by Sam Moskowitz.
uc2.ark+=13960=t3125rf7t_0	-0.719021811308	1921	Dell, Floyd	The briary-bush
uc1.$b604952_0	0.161235655406	1938	Lewis, C. S. (Clive Staples)	Out of the silent planet.
uc1.b4422553_1	-0.339248995059	1920	Merritt, Abraham	The metal monster. | $c: With a new introd. by Sam Moskowitz
wu.89008854226_0	-0.112260324078	1939	Gunnarsson, Gunnar	Ships in the sky, | $c: compiled from Uggi Greipsson's notes, by Gunnar Gunnarsson.
mdp.39015030223849_0	0.835433209397	1918	Berger, Marcel	The secret of the Marne;
uc1.32106014703109	-0.131042544515	1912	Cather, Willa	Alexander's bridge
mdp.39015066650402_1	0.068151990543	1930	Gorky, Maksim	Bystander,
mdp.39015003842419_1	-0.137532239619	1918	Menville, Douglas Alver	Ancestral voices : | an anthology of early science fiction
uc1.$b87301_1	0.567189275056	1935	Derleth, August William	Place of hawks / | $c: August W. Derleth ; illustrated with wood-engravings by George Barford.
uc1.$b236157_0	0.0851443292643	1932	Davies, Rhys	The red hills.
uc1.b3940366_2	0.867939944412	1912	Garshin, V. M	The signal
nyp.33433082346028_0	-0.123767522422	1914	Lee, Alice Louise	A freshman co-ed
uc2.ark+=13960=t84j0cc9k_1	-0.396461040431	1916	England, George Allan	The golden blight
mdp.39015008871231_2	-0.179956301469	1936	Halldór Laxness	Salka Valka : | a novel of Iceland / | $f: translated by F.H. Lyon.
njp.32101064789157_0	0.217298721216	1912	Doyle, Arthur Conan	The lost world
nyp.33433074807763_0	0.506295711426	1911	Fenn, Robert	The hidden empire
uc2.ark+=13960=t0vq2tj52	0.995770338679	1921	Alder, William Fisher	The lagoon of desire
uc1.b4089000_0	-0.131079331945	1938	Sinclair, Upton	Little steel | $c: [by] Upton Sinclair.
uc1.32106002093380_0	0.461987265091	1928	Burroughs, Edgar Rice	Three Martian novels: Thuvia, maid of Mars. The chessmen of Mars. The master mind of Mars.
uc1.$b56307_0	0.487578849827	1935	Austin, F. Britten (Frederick Britten)	The road to glory; | a biographical novel of Napoleon, | $c:  by F. Britten Austin.
nyp.33433074964283_1	-0.265909391955	1912	North, Laurence	The Golightlys
wu.89008854226_1	-0.0167264768457	1939	Gunnarsson, Gunnar	Ships in the sky, | $c: compiled from Uggi Greipsson's notes, by Gunnar Gunnarsson.
uc2.ark+=13960=t6057gs0x	-0.288857631634	1914	Banning, Pierson Worrall	"[""One on you""]"
uc1.$b604952_1	-0.115734820678	1938	Lewis, C. S. (Clive Staples)	Out of the silent planet.
uc1.b3346936_0	0.0719892220354	1923	Norris, Charles Gilman	Brass : | a novel of marriage / | $c: by Charles G. Norris ...
mdp.39015003686816_1	-0.278465340789	1912	Freeman, R. Austin (Richard Austin)	The mystery of 31, New inn, | $c: by R. Austin Freeman.
nyp.33433074942420_0	0.956811386477	1921	Casserly, Gordon	The elephant god
mdp.39015003842419_0	-0.0571235651418	1918	Menville, Douglas Alver	Ancestral voices : | an anthology of early science fiction
uc1.b4091432_0	0.236949975653	1920	Lamb, Harold	Marching sands
uc1.$b318364_0	0.192689219594	1926	Farre��re, Claude	Useless hands, | $c: by Claude Farre��re ... Authorized translation from the French by Elisabeth Abbott.
uc1.$b312780_1	-0.157441456107	1935	Wentworth, Patricia	Blindfold / | $c: by Patricia Wentworth.
nyp.33433074811625_0	-0.171053509458	1919	DeLand, Charles Edmund	The psychic trio, or, Nations reconciled
nyp.33433074801238_0	0.720764367232	1918	Baily, Waldron	When the cock crows
loc.ark+=13960=t21c29j9f	0.362641275015	1917	Fletcher, Mabel Elizabeth Billings	Old settler stories
uc1.$b236157_1	-0.17958465252	1932	Davies, Rhys	The red hills.
njp.32101068169224_0	-0.636306926161	1919	Fuller, Henry Blake	Bertram Cope's year
uc2.ark+=13960=t0ft8f11f_1	-0.177241416821	1915	Le Queux, William	The mystery of the green ray
uc1.32106005794125_2	-0.385211381502	1923	Wells, H. G	28 science fiction stories.
mdp.39015031326088_1	-0.943467245479	1910	Hyne, Charles John Cutcliffe Wright	Empire of the world.
loc.ark+=13960=t0sq95j0t_1	0.147625830318	1915	Young, Harry	Hard knocks;
wu.89004698288_0	-0.137423881045	1912	Hamilton, Mary Agnes	Less than the dust
uc2.ark+=13960=t6445k297_3	0.116980584228	1910	Dehan, Richard	One braver thing
nyp.33433076074966_0	-0.220647386993	1912	Lockhart, Caroline	The Lady Doc
uc1.b3548194_1	0.217033503748	1923	Conrad, Joseph	The works of Joseph Conrad.
uc2.ark+=13960=t8pc2vj1r_0	0.0841521489653	1916	Benecke, Else C. M	More tales by Polish authors
mdp.39015012210152_0	0.314144408852	1933	Hilton, James	Was it murder?
mdp.39015004847813_0	0.00268349138698	1928	nan	Thanksgiving day in modern story / | $c: edited by Maud Van Buren and Katharine Isabel Bemis.
mdp.39015053577113_1	-0.685228691131	1917	Mitchell, John Ames	Drowsy.
uc1.b3401126	-0.318939849067	1934	Bell, Eric Temple	Before the dawn | $c: by Eric Temple Bell (John Taine, pseud.)
uc1.31158002048287_1	0.0729543677735	1919	Merritt, Abraham	The moon pool
uc1.b3548194_0	-0.646731022294	1923	Conrad, Joseph	The works of Joseph Conrad.
inu.30000048943728	-0.100532153557	1927	Kennedy, Margaret	A long week-end / | $c: by Margaret Kennedy.
uc1.$b236260_1	-0.233450951532	1933	Galsworthy, John	Over the river, | $c: by John Galsworthy.
mdp.39015005099158_1	0.461966475432	1914	Verne, Jules	The Barsac mission. | $c: Translated from the French by I. O. Evans.
wu.89095286852_1	0.186952851245	1924	Scharten, C. Th. (Carel Theodorus)	A house full of people / | $c: by E. and M. Scharten-Antink.
mdp.39015060006486	-0.0318041754506	1925	Bulgakov, Mikhail	The fatal eggs : | a story
