testype	name1	name2	acc1	acc2	spearman	spear1on2	spear2on1	loss	loss1on2	loss2on1	meandate	ceiling	floor
fantasyself	fantasynojuv1950to1969v0	fantasynojuv1950to1969v1	0.88	0.86	1.22371897951	1.24040759308	1.20703036595	-0.0933333333333	-0.0866666666667	-0.1	1959.5	1969	1950
fantasyself	fantasynojuv1950to1969v0	fantasynojuv1950to1969v2	0.88	0.88	1.22082640127	1.09299290968	1.34865989286	-0.0433333333333	-0.0733333333333	-0.0133333333333	1960.0	1969	1950
fantasyself	fantasynojuv1950to1969v0	fantasynojuv1950to1969v3	0.88	0.86	1.23344997171	1.13021270846	1.33668723497	-0.07	-0.08	-0.06	1959.5	1969	1950
fantasyself	fantasynojuv1950to1969v0	fantasynojuv1950to1969v4	0.88	0.853333333333	1.25220375392	1.22168100289	1.28272650495	-0.07	-0.0733333333333	-0.0666666666667	1960.0	1969	1950
cross	fantasynojuv1950to1969v0	sfnojuv1950to1969v0	0.88	0.933333333333	1.02276035521	1.15165933952	0.893861370898	0.0733333333333	0.02	0.126666666667	1960.0	1969	1950
cross	fantasynojuv1950to1969v0	sfnojuv1950to1969v1	0.88	0.913333333333	1.14510990559	1.25360367373	1.03661613745	0.0433333333333	-0.0133333333333	0.1	1960.0	1969	1950
cross	fantasynojuv1950to1969v0	sfnojuv1950to1969v2	0.88	0.913333333333	1.02744667251	1.17145759161	0.883435753408	0.0566666666667	-0.0133333333333	0.126666666667	1959.5	1969	1950
cross	fantasynojuv1950to1969v0	sfnojuv1950to1969v3	0.88	0.913333333333	1.08397231731	1.18814069047	0.979803944148	0.02	0.0	0.04	1959.5	1969	1950
cross	fantasynojuv1950to1969v0	sfnojuv1950to1969v4	0.88	0.9	1.1140536558	1.18616661228	1.04194069931	0.00666666666667	-0.04	0.0533333333333	1959.5	1969	1950
fantasyself	fantasynojuv1950to1969v1	fantasynojuv1950to1969v0	0.86	0.88	1.22371897951	1.20703036595	1.24040759308	-0.0933333333333	-0.1	-0.0866666666667	1959.5	1969	1950
fantasyself	fantasynojuv1950to1969v1	fantasynojuv1950to1969v2	0.86	0.88	1.2860765224	1.21493787537	1.35721516942	-0.0666666666667	-0.08	-0.0533333333333	1959.5	1969	1950
fantasyself	fantasynojuv1950to1969v1	fantasynojuv1950to1969v3	0.86	0.86	1.22302891031	1.15963238214	1.28642543848	-0.0933333333333	-0.1	-0.0866666666667	1959.0	1969	1950
fantasyself	fantasynojuv1950to1969v1	fantasynojuv1950to1969v4	0.86	0.853333333333	1.17775970868	1.27226854822	1.08325086914	-0.113333333333	-0.12	-0.106666666667	1959.5	1969	1950
cross	fantasynojuv1950to1969v1	sfnojuv1950to1969v0	0.86	0.933333333333	1.014359935	1.16310979117	0.865610078834	0.08	0.0266666666667	0.133333333333	1959.5	1969	1950
cross	fantasynojuv1950to1969v1	sfnojuv1950to1969v1	0.86	0.913333333333	1.06307435151	1.18262268154	0.943526021488	0.0466666666667	-0.0333333333333	0.126666666667	1959.5	1969	1950
cross	fantasynojuv1950to1969v1	sfnojuv1950to1969v2	0.86	0.913333333333	0.947616170299	1.17765992156	0.717572419042	0.06	-0.0266666666667	0.146666666667	1959.0	1969	1950
cross	fantasynojuv1950to1969v1	sfnojuv1950to1969v3	0.86	0.913333333333	1.14312984913	1.32647541677	0.959784281488	0.0266666666667	0.0	0.0533333333333	1959.0	1969	1950
cross	fantasynojuv1950to1969v1	sfnojuv1950to1969v4	0.86	0.9	1.10156014984	1.20534606247	0.997774237222	0.01	-0.04	0.06	1959.0	1969	1950
fantasyself	fantasynojuv1950to1969v2	fantasynojuv1950to1969v0	0.88	0.88	1.22082640127	1.34865989286	1.09299290968	-0.0433333333333	-0.0133333333333	-0.0733333333333	1960.0	1969	1950
fantasyself	fantasynojuv1950to1969v2	fantasynojuv1950to1969v1	0.88	0.86	1.2860765224	1.35721516942	1.21493787537	-0.0666666666667	-0.0533333333333	-0.08	1959.5	1969	1950
fantasyself	fantasynojuv1950to1969v2	fantasynojuv1950to1969v3	0.88	0.86	1.27901633921	1.27649827481	1.2815344036	-0.0666666666667	-0.0533333333333	-0.08	1959.5	1969	1950
fantasyself	fantasynojuv1950to1969v2	fantasynojuv1950to1969v4	0.88	0.853333333333	1.316940771	1.46688817927	1.16699336274	-0.0733333333333	-0.0666666666667	-0.08	1960.0	1969	1950
cross	fantasynojuv1950to1969v2	sfnojuv1950to1969v0	0.88	0.933333333333	1.05502572696	1.28956435945	0.820487094473	0.1	0.04	0.16	1960.0	1969	1950
cross	fantasynojuv1950to1969v2	sfnojuv1950to1969v1	0.88	0.913333333333	1.0307343147	1.12288780099	0.938580828423	0.07	0.02	0.12	1960.0	1969	1950
cross	fantasynojuv1950to1969v2	sfnojuv1950to1969v2	0.88	0.913333333333	0.948834243822	1.19307557547	0.704592912174	0.0833333333333	0.0	0.166666666667	1959.5	1969	1950
