docid	diff	firstpub	author	title
mdp.39015002609116_2	-0.459151722217	1961	Uris, Leon	Mila 18.
osu.32435063455158_1	0.988868855924	1961	Kane, Frank	Frank Kane's Stacked deck.
inu.32000009177983_1	-0.396173855523	1954	English, Isobel	The key that rusts.
uc1.$b799823_0	1.19856878659	1946	Hough, Donald	The camelephamoose | $c: [by] Donald Hough.
mdp.39015002288721_1	0.0987171347329	1951	Asimov, Isaac	The stars, like dust.
mdp.39015005754794	-0.298641619149	1944	Bulosan, Carlos	The laughter of my father, | $c: by Carlos Bulosan.
osu.32435053573192	-0.557030338858	1950	Fischer, Leonard	Let out the beast
mdp.39015003472407_0	0.11570144492	1956	Auchincloss, Louis	The great world and Timothy Colt.
uc1.$b103191_0	-0.476463752873	1952	Montague, Kate Bigelow	Send the wise wind.
uc1.b4931266_0	0.535032439302	1966	Laumer, Keith	Earthblood | $c: by Keith Laumer and Rosel George Brown.
pst.000005340262_1	-0.193605525116	1968	Kizerman, Rudolph	Stand up in the world.
mdp.39015008828157_0	-1.47442029984	1950	Vance, Jack	The dying earth
mdp.39015030710662_1	0.617091243427	1969	Pohl, Frederik	The age of the pussyfoot.
mdp.39076000903760_1	0.850221928425	1965	nan	Nebula award stories
mdp.39015010524505_1	0.272116744075	1967	Wallach, Erica Glaser	Light at midnight | $c: [by] Erica Wallach.
mdp.39015052467530_1	0.141525230692	1969	Le Guin, Ursula K	The left hand of darkness
mdp.39015000957574_1	0.323031245022	1952	Asimov, Isaac	Foundation and empire.
mdp.39076000903745_1	0.619786969407	1965	nan	Nebula award stories
mdp.39015008199468_1	0.260107128104	1969	Anderson, Poul	Satan's world.
mdp.39015030708112_0	0.0747142465912	1961	O'Hara, John	Assembly / | $c: John O'Hara.
mdp.39015016440870_0	-0.115133013055	1965	Haldeman, Charles	The snowman.
uc1.$b100790_1	-0.147290903897	1954	Harwood, Alice	The strangeling, | a Victorian novel.
uc1.b3435509_1	0.20868009773	1962	Christopher, John	The world in winter
uc1.$b785374_1	-0.583240233452	1967	Joseph, M. K	The hole in the zero:
uc1.$b808873_0	0.113826409957	1964	Piper, Evelyn	The nanny | $c: [by] Evelyn Piper [pseud.
pst.000001681314_0	-0.819010348424	1950	Sutcliff, Rosemary	The Chronicles of Robin Hood / | $c: Illustrated by C. Walter Hodges.
mdp.39015004760586_2	0.207573715377	1945	Wollheim, Donald A	The portable novels of science,
pst.000003806074_1	0.419001102247	1953	Mills, Robert P	The worlds of science fiction.
uc1.$b601378_0	0.642532086653	1947	Haines, William Wister	Command decision, | $c: by William Wister Haines ...
mdp.39015021919876_1	0.338462905094	1960	Hartley, L. P. (Leslie Poles)	Facial justice.
mdp.39015056814455_0	-0.204063521592	1955	nan	A decade of Fantasy and science fiction
mdp.49015001323824_3	0.50604949991	1950	Asimov, Isaac	The complete stories of Asimov
pst.000021946516_0	0.164555898297	1966	Dick, Philip K	We can remember it for you wholesale
osu.32435063455158_0	1.26695707564	1961	Kane, Frank	Frank Kane's Stacked deck.
uc1.32106001965562_0	0.0621733009934	1964	Allingham, Margery	Police at the funeral.
osu.32435064818578_0	-0.321637337706	1946	Dern, Peggy	Heart's home / | $c: by Peggy Dern.
uc1.32106001693032_1	0.0443297681039	1952	nan	The Astounding science fiction anthology, | $c: selected and with an introduction by John W. Campbell, jr.
uc1.b3473021_1	0.208487698241	1969	Harrison, Harry	Best SF: 1968. | $c: Edited by Harry Harrison and Brian W. Aldiss.
mdp.39015014165461_0	0.0627569009721	1948	nan	A treasury of science fiction
uc1.b4101908_1	-0.221101098308	1943	Estes, Eleanor	Rufus M.
mdp.39015053607191_1	-0.733178923219	1967	Morris, Edita	Dear me, | and other tales from my native Sweden.
mdp.39015014165461_2	-0.0245343360544	1948	nan	A treasury of science fiction
mdp.39015046832849_1	1.13571517243	1954	Pangborn, Edgar	A mirror for observers.
uc1.$b795583_0	-0.586422867153	1944	Roberts, Cecil	So immortal a flower / | $c: Cecil Roberts.
mdp.39076005189357_2	0.768208659135	1949	Boucher, Anthony	A treasury of great science fiction; | $c: edited by Anthony Boucher [pseud.
uc1.$b102273_0	-0.31777291023	1944	Gellhorn, Martha	Liana
uc1.32106015121020_0	0.833703608183	1952	Sturgeon, Theodore	The complete stories of Theodore Sturgeon
mdp.39015002750696_0	0.104501984307	1961	Roth, Arthur J	The shame of our wounds.
mdp.39015031231569_0	-0.178172574373	1941	Delafield, E. M	No one now will know, | $c: by E. M. Delafield [pseud.]
mdp.39015061465624_1	-0.744804885393	1946	nan	Famous fantastic mysteries : | 30 great tales of fantasy and horror from the classic pulp magazines Famous fantastic mysteries & Fantastic novels
uc1.$b103269_1	-0.145121760973	1957	Winsor, Kathleen	America, with love.
pst.000006181741	-0.120058945311	1950	Taylor, Peter	A young woman of means.
uc1.b3117335_1	-0.285704022544	1962	Caillou, Alan	Field of women | $c: [by] Alan Caillow [pseud.
pst.000026522340_1	0.207932906425	1948	Van Vogt, A. E. (Alfred Elton)	The players of Null-A
mdp.39015069234717_2	0.13451672794	1965	Dick, Philip K	Four novels of the 1960s
pst.000029136407_1	0.349635184526	1959	Vonnegut, Kurt	The sirens of Titan.
uc1.$b244727_0	-0.153000624473	1946	Lofts, Norah	To see a fine lady / | $c: Norah Lofts.
pst.000029279036_2	0.410834730243	1941	nan	Three famous murder novels : | complete and unabridged / | $c: Selected, and with an introd. by Bennett A. Cerf.
mdp.39076005189357_0	-0.692044085609	1949	Boucher, Anthony	A treasury of great science fiction; | $c: edited by Anthony Boucher [pseud.
mdp.39015016414578_1	0.986674954975	1956	Marsten, Richard	The spiked heel.
mdp.39015030708112_2	0.178805059508	1961	O'Hara, John	Assembly / | $c: John O'Hara.
inu.30000061597831_2	0.0561527522031	1959	Bradbury, Ray	Twice twenty-two
uc1.$b244812_0	-0.360068123048	1951	Shohet, Jacqueline	Jacob's ladder.
mdp.39015014165461_1	0.317999850816	1948	nan	A treasury of science fiction
mdp.39015066677249_0	-0.371388092809	1957	Montherlant, Henry de	Desert love.
mdp.39015009199327_2	0.0084735556481	1949	Stewart, George R	Earth abides
pst.000063368413_1	-1.04412920091	1953	Pettit, Paul	The Spaniard.
osu.32435053311874_0	-0.132671116911	1962	Harrison, Harry	Planet of the damned
uc1.$b73564_2	-0.570319682379	1940	Hoellering, Franz	The defenders / | $c: by Franz Hoellering ; translated from the German by Ludwig Lewisohn.
pst.000003806074_0	0.323572730979	1953	Mills, Robert P	The worlds of science fiction.
inu.32000009177983_0	-1.08070346757	1954	English, Isobel	The key that rusts.
uc1.b4082361_1	1.09416263869	1957	White, T. H	The master : | an adventure story
mdp.39015035610966	0.150087000593	1969	nan	Fragrant flowers: a literary collection from some Sahitya Akademi award winners; | authors' own selection.
uc1.$b102763_0	0.220772533079	1950	Gragg, Frances	Golden Valley : | a novel of California / | $c: by Frances Gragg and George Palmer Putnam.
inu.39000002826803_2	0.171570200375	1952	Bleiler, Everett Franklin	Imagination unlimited, | science-fiction and science, | $c: edited by Everett F. Bleiler and T. E. Dikty.
uc1.b4094525_0	0.0393117772202	1950	Heinlein, Robert A. (Robert Anson)	The man who sold the moon ; | Harriman and the escape from Earth to the Moon!
uc1.$b98779	-0.32030081933	1942	Pressburger, Emeric	One of our aircraft is missing, | $c: by Emeric Pressburger.
mdp.39015066050850_1	0.462217935783	1952	Vonnegut, Kurt	Player piano.
osu.32435057544645_0	-0.217291963198	1958	Sutton, Jeff	First on the moon
mdp.39015002201559_0	0.508727623543	1941	Allingham, Margery	Traitor's purse.
uc1.$b87329_1	-0.00201126679172	1947	Franklin, Miles	All that swagger, | $c: by Miles Franklin.
pst.000032467581_2	0.0801284253499	1941	White, Patrick	The living and the dead / | $c: Patrick White.
mdp.39015010684630	-0.300278676977	1961	Silone, Ignazio	The fox and the camellias.
inu.30000092015605_2	-0.426818117476	1967	Hamalian, Leo	Seven Russian short novel masterpieces, | $c: edited, with notes and introd., by Leo Hamalian and Vera Von Wiren-Garczynski.
uc1.$b285096_0	0.224403047138	1963	Maugham, W. Somerset (William Somerset)	Husbands and wives : | nine stories / | $c: by W. Somerset Maugham ; selected and with an introd. by Richard A. Cordell.
uc1.b2849235_1	-0.200433593703	1968	Tenn, William	Of men and monsters | $c: [by] William Tenn.
mdp.39015005896660_1	0.484138500177	1960	Pohl, Frederik	Star of stars.
uc1.b3346772_0	0.62424952164	1966	Benchley, Nathaniel	The monument; | a satiric novel.
mdp.39015066619159_1	-0.445316415152	1967	Ongaro, Alberto	Excelsior; | $c: translated from the Italian by Giles Cremonesi.
mdp.39015002201559_1	-0.675033874199	1941	Allingham, Margery	Traitor's purse.
pst.000029136407_0	0.793275620584	1959	Vonnegut, Kurt	The sirens of Titan.
pst.000024653916_1	1.2302152453	1952	Heinlein, Robert A. (Robert Anson)	The rolling stones
uc1.$b103926_0	-0.117868354993	1956	Huntington, Gladys Parish	Madame Solario; | [a novel]
uc1.$b87002_0	-0.549255893492	1943	Buck, Pearl S. (Pearl Sydenstricker)	The promise, | $c: by Pearl S. Buck.
mdp.39015013281632_0	-0.142299272386	1953	Tracy, Don	Crimson is the Eastern Shore.
uc1.b3132896_2	-0.459270091055	1942	Speare, Morris Edmund	World's great short stories; | masterpieces of American, English and continental literature, | $c: edited, with an introduction, by M.E. Speare ...
mdp.39015066050850_0	0.77431293756	1952	Vonnegut, Kurt	Player piano.
uc1.$b808873_1	0.244078544468	1964	Piper, Evelyn	The nanny | $c: [by] Evelyn Piper [pseud.
osu.32435064823644_0	0.191971540201	1953	Gotshall, Jack	Pappy and the promised land / | $c: by Jack Gotshall.
uc1.b3545502_0	-0.272113893096	1954	Merril, Judith	Beyond the barriers of space and time.
mdp.39015069174269_2	0.0429032748622	1949	Sturgeon, Theodore	The complete stories of Theodore Sturgeon
pst.000044217853_1	0.444045949893	1962	Burgess, Anthony	A clockwork orange
pst.000032564310_0	-0.190561269731	1954	Clarke, Arthur C. (Arthur Charles)	Prelude to space
uc1.$b101689_0	0.398763390807	1953	Edwards, Charlotte	The right place for love / | $c: by Charlotte Edwards.
mdp.39015064833190_1	-0.194303916149	1945	MacLennan, Hugh	Two solitudes, | $c: by Hugh MacLennan.
mdp.39015016466511	-0.140053462429	1964	Aldiss, Brian Wilson	The dark light-years
osu.32435063296008_1	1.11351917431	1942	Boucher, Anthony	Rocket to the morgue 
mdp.39015006398542_1	0.595053304577	1946	Donovan, Frank Pierce	Headlights and markers; | an anthology of railroad stories, | $c: edited by Frank P. Donovan, jr., and Robert Selph Henry. New York, Creative age press, inc. _1946_
inu.30000005092410_0	0.0962655131352	1950	Asimov, Isaac	I, Robot.
mdp.39015016445929_0	-0.101017659396	1956	Chase, Ilka	The island players.
uc1.32106002091640_1	0.485565206594	1953	Bradbury, Ray	The golden apples of the sun. | $c: Drawings by Joe Mugnaini.
uc1.b3295175_0	-0.107446601203	1951	Singh, Huthi	Maura / | $c: Huthi Singh ; with an introduction by E. M. Forster.
mdp.39076000903745_0	-0.15342797881	1965	nan	Nebula award stories
inu.30000029816976_1	-0.206764397844	1962	Dick, Philip K	The collected stories of Philip K. Dick
mdp.39015014135514_1	0.324186895828	1964	Morrieson, Ronald Hugh	Came a hot Friday.
mdp.39015005749158_1	-0.432397871724	1959	Norton, Andre	Galactic derelict, | $c: by Andre Norton.
uc1.$b312714_0	0.268676334408	1947	Tyre, Nedra	Red wine first.
mdp.39015010450529_0	0.884941434914	1966	Heinlein, Robert A. (Robert Anson)	The moon is a harsh mistress
mdp.39015014862505_1	0.990849045282	1968	Yglesias, Jose	An orderly life.
uc1.32106002091640_0	-0.267063189367	1953	Bradbury, Ray	The golden apples of the sun. | $c: Drawings by Joe Mugnaini.
mdp.39015065331327_1	0.183827987127	1954	Zakrutkin, Vitaliĭ	Floating stanitsa. | $c: [Translated from the Russian by Bernard Isaacs]
mdp.39015050556565_3	-0.102491754284	1965	Hersey, John	White lotus | $c: [by] John Hersey.
mdp.39015035335044_0	0.79297681926	1966	Wheelis, Allen	The illusionless man; | fantasies and meditations.
mdp.39015014506805_0	0.466187028842	1953	Sturgeon, Theodore	More than human, | $c: by Theodore Sturgeon.
uc1.b3346772_1	0.330598455308	1966	Benchley, Nathaniel	The monument; | a satiric novel.
mdp.39015064833190_2	0.0373519031445	1945	MacLennan, Hugh	Two solitudes, | $c: by Hugh MacLennan.
mdp.39015030704863_1	-0.733295207865	1944	Mann, Leonard	Flesh in armour; | a novel, | $c: by Leonard Mann.
mdp.39015030701356	-1.35449577721	1965	Derleth, August	The adventure of the Orient Express / | $c: by August Derleth ; with illustrations by Henry Lauritzen.
mdp.39015064833190_0	0.103818655252	1945	MacLennan, Hugh	Two solitudes, | $c: by Hugh MacLennan.
mdp.39015069174269_1	-0.0723463249032	1949	Sturgeon, Theodore	The complete stories of Theodore Sturgeon
uc1.$b312023_0	0.506787772246	1952	Romains, Jules	Tussles with time. | $c: Translated by Gerard Hopkins.
mdp.39015030718657_2	0.749473489307	1955	Sturgeon, Theodore	A way home, stories of science fiction and fantasy | $c: [by] Theodore Sturgeon. Selected and with an introd. by Groff Conklin.
mdp.39015050556565_2	-0.58398924003	1965	Hersey, John	White lotus | $c: [by] John Hersey.
mdp.39015066677249_1	-0.429513471563	1957	Montherlant, Henry de	Desert love.
uc1.b2838670_0	-0.473343011066	1969	Clement, Hal	Small changes
mdp.39015003922005_0	0.807902149537	1961	Heinlein, Robert A. (Robert Anson)	Stranger in a strange land.
mdp.39015002189283_1	-1.966137411	1955	Golding, William	Lord of the flies, | a novel.
mdp.39076005189357_1	0.162082924672	1949	Boucher, Anthony	A treasury of great science fiction; | $c: edited by Anthony Boucher [pseud.
mdp.39015016446950	0.209296279937	1968	Cooper, Edmund	Five to twelve.
uc1.$b348189_1	-0.22391318401	1946	Conklin, Groff	The best of science fiction, | $c: edited with an introduction by Groff Conklin. Preface by John W. Campbell, jr.
mdp.39015008724802_2	0.49805999518	1967	Merril, Judith	SF; the best of the best.
mdp.39015061465624_2	-0.740224699131	1946	nan	Famous fantastic mysteries : | 30 great tales of fantasy and horror from the classic pulp magazines Famous fantastic mysteries & Fantastic novels
uc1.b4931266_1	0.0305732115695	1966	Laumer, Keith	Earthblood | $c: by Keith Laumer and Rosel George Brown.
mdp.39015009199327_0	-0.723943419242	1949	Stewart, George R	Earth abides
inu.30000061597831_0	-0.232245694622	1959	Bradbury, Ray	Twice twenty-two
mdp.39015005888147_2	0.0223772137572	1969	Pohl, Frederik	The Starchild trilogy
pst.000000187442	-0.259010521597	1953	Clarke, Arthur C. (Arthur Charles)	Against the fall of night.
uc1.$b112707_0	-0.0145568698085	1944	Landis, Carole	Four Jills in a jeep, | $c: by Carole Landis, illustrated by Lily Cushing.
