"testype"	"name1"	"name2"	"ceiling"	"floor"	"meandate1"	"meandate2"	"acc1"	"acc2"	"alienacc1"	"alienacc2"	"spearman"	"spear1on2"	"spear2on1"	"loss"	"loss1on2"	"loss2on1"	"iteration"
"cross"	"temp_sf11924_12"	"temp_fant21924_12"	1924	1880	1901.625	1903.25	0.8055555556	0.8263888889	0.75	0.7916666667	0.880411656	0.9395365382	0.8212867737	0.0451388889	0.0347222222	0.0555555556	12
"cross"	"temp_sf21924_12"	"temp_fant11924_12"	1924	1880	1902.67361111	1903.52777778	0.8680555556	0.7916666667	0.7638888889	0.7083333333	0.7727044565	0.6705824893	0.8748264237	0.09375	0.0833333333	0.1041666667	12
"sfself"	"temp_sf11924_13"	"temp_sf21924_13"	1924	1880	1900.8125	1904.46527778	0.8402777778	0.8888888889	0.8263888889	0.8472222222	1.3250493268	1.2095367358	1.4405619178	0.0277777778	0.0416666667	0.0138888889	13
"fantasyself"	"temp_fant11924_13"	"temp_fant21924_13"	1924	1880	1902.90277778	1901.70833333	0.8333333333	0.8611111111	0.8333333333	0.7013888889	1.1060842609	1.0145741166	1.1975944052	0.0798611111	0.1597222222	0	13
"cross"	"temp_sf11924_13"	"temp_fant21924_13"	1924	1880	1900.8125	1901.70833333	0.8402777778	0.8611111111	0.8541666667	0.7291666667	0.8205746091	0.8146813213	0.826467897	0.0590277778	0.1319444444	-0.0138888889	13
"cross"	"temp_sf21924_13"	"temp_fant11924_13"	1924	1880	1904.46527778	1902.90277778	0.8888888889	0.8333333333	0.7708333333	0.6944444444	0.7763159566	0.6533680709	0.8992638423	0.1284722222	0.1388888889	0.1180555556	13
"sfself"	"temp_sf11924_14"	"temp_sf21924_14"	1924	1880	1902.33333333	1901.45138889	0.8541666667	0.8680555556	0.7916666667	0.8194444444	1.1853470033	1.2113736627	1.1593203439	0.0555555556	0.0486111111	0.0625	14
"fantasyself"	"temp_fant11924_14"	"temp_fant21924_14"	1924	1880	1905.01388889	1902.40972222	0.8680555556	0.7847222222	0.7986111111	0.7361111111	0.8771806215	0.7390234303	1.0153378128	0.0590277778	0.0486111111	0.0694444444	14
"cross"	"temp_sf11924_14"	"temp_fant21924_14"	1924	1880	1902.33333333	1902.40972222	0.8541666667	0.7847222222	0.8055555556	0.6875	0.9119537598	0.8649246209	0.9589828987	0.0729166667	0.0972222222	0.0486111111	14
"cross"	"temp_sf21924_14"	"temp_fant11924_14"	1924	1880	1901.45138889	1905.01388889	0.8680555556	0.8680555556	0.7222222222	0.6736111111	0.6908532738	0.6077150703	0.7739914773	0.1701388889	0.1944444444	0.1458333333	14
"sfself"	"temp_sf11949_0"	"temp_sf21949_0"	1949	1900	1922.52777778	1922.22222222	0.9305555556	0.8680555556	0.8958333333	0.8958333333	1.622640426	1.4792226288	1.7660582233	0.0034722222	-0.0277777778	0.0347222222	0
"fantasyself"	"temp_fant11949_0"	"temp_fant21949_0"	1949	1900	1923.09027778	1920.73611111	0.875	0.8333333333	0.7222222222	0.8541666667	1.0794754733	1.1574262571	1.0015246896	0.0659722222	-0.0208333333	0.1527777778	0
"cross"	"temp_sf11949_0"	"temp_fant21949_0"	1949	1900	1922.52777778	1920.73611111	0.9305555556	0.8333333333	0.8194444444	0.8125	1.0807450388	1.0805009041	1.0809891736	0.0659722222	0.0208333333	0.1111111111	0
"cross"	"temp_sf21949_0"	"temp_fant11949_0"	1949	1900	1922.22222222	1923.09027778	0.8680555556	0.875	0.8055555556	0.7222222222	0.8406440643	0.628055291	1.0532328376	0.1076388889	0.1527777778	0.0625	0
"sfself"	"temp_sf11949_1"	"temp_sf21949_1"	1949	1900	1919.93055556	1922.11805556	0.8819444444	0.875	0.875	0.8333333333	1.5597158435	1.5724221057	1.5470095813	0.0243055556	0.0416666667	0.0069444444	1
"fantasyself"	"temp_fant11949_1"	"temp_fant21949_1"	1949	1900	1921.92361111	1922.27083333	0.875	0.8402777778	0.8472222222	0.7847222222	1.0088401948	0.887490276	1.1301901135	0.0416666667	0.0555555556	0.0277777778	1
"cross"	"temp_sf11949_1"	"temp_fant21949_1"	1949	1900	1919.93055556	1922.27083333	0.8819444444	0.8402777778	0.9027777778	0.7152777778	0.8652768079	0.7054837385	1.0250698774	0.0520833333	0.125	-0.0208333333	1
"cross"	"temp_sf21949_1"	"temp_fant11949_1"	1949	1900	1922.11805556	1921.92361111	0.875	0.875	0.7916666667	0.7708333333	0.828447061	0.7333235374	0.9235705846	0.09375	0.1041666667	0.0833333333	1
"sfself"	"temp_sf11949_2"	"temp_sf21949_2"	1949	1900	1920.86805556	1924.46527778	0.9097222222	0.8611111111	0.9027777778	0.8402777778	1.4518623572	1.5994777537	1.3042469608	0.0138888889	0.0208333333	0.0069444444	2
"fantasyself"	"temp_fant11949_2"	"temp_fant21949_2"	1949	1900	1921.29861111	1922.39583333	0.8819444444	0.8680555556	0.8125	0.7916666667	1.1198515113	1.1524851331	1.0872178894	0.0729166667	0.0763888889	0.0694444444	2
"cross"	"temp_sf11949_2"	"temp_fant21949_2"	1949	1900	1920.86805556	1922.39583333	0.9097222222	0.8680555556	0.7916666667	0.75	1.0446498871	0.9820655745	1.1072341998	0.1180555556	0.1180555556	0.1180555556	2
"cross"	"temp_sf21949_2"	"temp_fant11949_2"	1949	1900	1924.46527778	1921.29861111	0.8611111111	0.8819444444	0.7708333333	0.7916666667	0.8974334667	0.7239781494	1.0708887841	0.0902777778	0.0902777778	0.0902777778	2
"sfself"	"temp_sf11949_3"	"temp_sf21949_3"	1949	1900	1921.55555556	1922.86805556	0.875	0.9166666667	0.8055555556	0.8888888889	1.57707507	1.6074311845	1.5467189555	0.0486111111	0.0277777778	0.0694444444	3
"fantasyself"	"temp_fant11949_3"	"temp_fant21949_3"	1949	1900	1923.27083333	1920.31944444	0.8055555556	0.9166666667	0.7430555556	0.8958333333	1.3232783647	1.5327110732	1.1138456561	0.0416666667	0.0208333333	0.0625	3
"cross"	"temp_sf11949_3"	"temp_fant21949_3"	1949	1900	1921.55555556	1920.31944444	0.875	0.9166666667	0.7847222222	0.75	0.8244004876	0.7260411798	0.9227597955	0.1284722222	0.1666666667	0.0902777778	3
"cross"	"temp_sf21949_3"	"temp_fant11949_3"	1949	1900	1922.86805556	1923.27083333	0.9166666667	0.8055555556	0.8263888889	0.6666666667	1.052932132	0.8472442123	1.2586200518	0.1145833333	0.1388888889	0.0902777778	3
"sfself"	"temp_sf11949_4"	"temp_sf21949_4"	1949	1900	1922.24305556	1922.15972222	0.8888888889	0.8888888889	0.8888888889	0.8680555556	1.5620741366	1.5900902606	1.5340580127	0.0104166667	0.0208333333	0	4
"fantasyself"	"temp_fant11949_4"	"temp_fant21949_4"	1949	1900	1920.71527778	1922.17361111	0.8611111111	0.9027777778	0.7777777778	0.8263888889	1.0403124194	1.1063180207	0.9743068181	0.0798611111	0.0763888889	0.0833333333	4
"cross"	"temp_sf11949_4"	"temp_fant21949_4"	1949	1900	1922.24305556	1922.17361111	0.8888888889	0.9027777778	0.6944444444	0.7152777778	0.7430003713	0.7404864149	0.7455143278	0.1909722222	0.1875	0.1944444444	4
"cross"	"temp_sf21949_4"	"temp_fant11949_4"	1949	1900	1922.15972222	1920.71527778	0.8888888889	0.8611111111	0.8680555556	0.7569444444	1.1896761107	1.0330849905	1.3462672309	0.0625	0.1041666667	0.0208333333	4
"sfself"	"temp_sf11949_5"	"temp_sf21949_5"	1949	1900	1922.61111111	1920.84027778	0.875	0.9166666667	0.875	0.8888888889	1.5292127413	1.5600020357	1.4984234469	0.0138888889	0.0277777778	0	5
"fantasyself"	"temp_fant11949_5"	"temp_fant21949_5"	1949	1900	1921.99305556	1921.72916667	0.8819444444	0.8472222222	0.8888888889	0.8055555556	1.2986777118	1.2803081534	1.3170472701	0.0173611111	0.0416666667	-0.0069444444	5
"cross"	"temp_sf11949_5"	"temp_fant21949_5"	1949	1900	1922.61111111	1921.72916667	0.875	0.8472222222	0.8125	0.6805555556	0.79493929	0.6391486336	0.9507299464	0.1145833333	0.1666666667	0.0625	5
"cross"	"temp_sf21949_5"	"temp_fant11949_5"	1949	1900	1920.84027778	1921.99305556	0.9166666667	0.8819444444	0.8541666667	0.7638888889	0.9220738378	0.8825778169	0.9615698586	0.0902777778	0.1180555556	0.0625	5
"sfself"	"temp_sf11949_6"	"temp_sf21949_6"	1949	1900	1921.52083333	1924.08333333	0.8611111111	0.9513888889	0.875	0.9236111111	1.8589503022	1.8361684046	1.8817321998	0.0069444444	0.0277777778	-0.0138888889	6
"fantasyself"	"temp_fant11949_6"	"temp_fant21949_6"	1949	1900	1919.88194444	1923.44444444	0.8263888889	0.8333333333	0.7152777778	0.7847222222	1.0058953939	1.1148646694	0.8969261184	0.0798611111	0.0486111111	0.1111111111	6
"cross"	"temp_sf11949_6"	"temp_fant21949_6"	1949	1900	1921.52083333	1923.44444444	0.8611111111	0.8333333333	0.7361111111	0.7291666667	0.9016774558	0.927261077	0.8760938347	0.1145833333	0.1041666667	0.125	6
"cross"	"temp_sf21949_6"	"temp_fant11949_6"	1949	1900	1924.08333333	1919.88194444	0.9513888889	0.8263888889	0.8472222222	0.7430555556	0.9855054837	0.8210057469	1.1500052205	0.09375	0.0833333333	0.1041666667	6
"sfself"	"temp_sf11949_7"	"temp_sf21949_7"	1949	1900	1923.08333333	1921.08333333	0.8888888889	0.8541666667	0.9027777778	0.8888888889	1.5491388004	1.4471151855	1.6511624152	-0.0243055556	-0.0347222222	-0.0138888889	7
"fantasyself"	"temp_fant11949_7"	"temp_fant21949_7"	1949	1900	1923.46527778	1918.84027778	0.8194444444	0.9166666667	0.7569444444	0.8888888889	1.2824247439	1.409237993	1.1556114948	0.0451388889	0.0277777778	0.0625	7
"cross"	"temp_sf11949_7"	"temp_fant21949_7"	1949	1900	1923.08333333	1918.84027778	0.8888888889	0.9166666667	0.7916666667	0.7986111111	0.9578099329	1.0024653621	0.9131545037	0.1076388889	0.1180555556	0.0972222222	7
"cross"	"temp_sf21949_7"	"temp_fant11949_7"	1949	1900	1921.08333333	1923.46527778	0.8541666667	0.8194444444	0.8055555556	0.7152777778	0.7939138327	0.6045596305	0.9832680349	0.0763888889	0.1041666667	0.0486111111	7
"sfself"	"temp_sf11949_8"	"temp_sf21949_8"	1949	1900	1920.09027778	1923.11805556	0.9236111111	0.8541666667	0.9166666667	0.7847222222	1.4288020039	1.4003683196	1.4572356881	0.0381944444	0.0694444444	0.0069444444	8
"fantasyself"	"temp_fant11949_8"	"temp_fant21949_8"	1949	1900	1922.91666667	1921.79861111	0.9166666667	0.8055555556	0.8680555556	0.8055555556	1.2485232145	1.2090817293	1.2879646998	0.0243055556	0	0.0486111111	8
"cross"	"temp_sf11949_8"	"temp_fant21949_8"	1949	1900	1920.09027778	1921.79861111	0.9236111111	0.8055555556	0.8541666667	0.7013888889	0.9073836847	0.7510802007	1.0636871688	0.0868055556	0.1041666667	0.0694444444	8
"cross"	"temp_sf21949_8"	"temp_fant11949_8"	1949	1900	1923.11805556	1922.91666667	0.8541666667	0.9166666667	0.7916666667	0.8333333333	1.1140244116	1.1153461339	1.1127026892	0.0729166667	0.0833333333	0.0625	8
"sfself"	"temp_sf11949_9"	"temp_sf21949_9"	1949	1900	1923.16666667	1922.09722222	0.9027777778	0.9027777778	0.8402777778	0.8541666667	1.5449426183	1.5376422853	1.5522429513	0.0555555556	0.0486111111	0.0625	9
"fantasyself"	"temp_fant11949_9"	"temp_fant21949_9"	1949	1900	1924.97916667	1919.48611111	0.7916666667	0.8958333333	0.7361111111	0.8194444444	1.2566065411	1.4601672345	1.0530458477	0.0659722222	0.0763888889	0.0555555556	9
"cross"	"temp_sf11949_9"	"temp_fant21949_9"	1949	1900	1923.16666667	1919.48611111	0.9027777778	0.8958333333	0.6875	0.7152777778	0.6972112034	0.6931220624	0.7013003445	0.1979166667	0.1805555556	0.2152777778	9
"cross"	"temp_sf21949_9"	"temp_fant11949_9"	1949	1900	1922.09722222	1924.97916667	0.9027777778	0.7916666667	0.8402777778	0.7361111111	1.199850658	1.1436209134	1.2560804026	0.0590277778	0.0555555556	0.0625	9
"sfself"	"temp_sf11949_10"	"temp_sf21949_10"	1949	1900	1920.875	1922.71527778	0.875	0.9236111111	0.8333333333	0.8472222222	1.3785955988	1.4008895098	1.3563016879	0.0590277778	0.0763888889	0.0416666667	10
"fantasyself"	"temp_fant11949_10"	"temp_fant21949_10"	1949	1900	1921.96527778	1923.34722222	0.875	0.8472222222	0.8541666667	0.7638888889	1.3019270278	1.1450512895	1.4588027661	0.0520833333	0.0833333333	0.0208333333	10
"cross"	"temp_sf11949_10"	"temp_fant21949_10"	1949	1900	1920.875	1923.34722222	0.875	0.8472222222	0.7569444444	0.6944444444	0.8271639864	0.7204064431	0.9339215297	0.1354166667	0.1527777778	0.1180555556	10
"cross"	"temp_sf21949_10"	"temp_fant11949_10"	1949	1900	1922.71527778	1921.96527778	0.9236111111	0.875	0.8055555556	0.7777777778	0.97101492	0.9027023056	1.0393275345	0.1076388889	0.0972222222	0.1180555556	10
"sfself"	"temp_sf11949_11"	"temp_sf21949_11"	1949	1900	1919.64583333	1923.40277778	0.8472222222	0.9027777778	0.8263888889	0.8611111111	1.5278359747	1.4936318826	1.5620400669	0.03125	0.0416666667	0.0208333333	11
"fantasyself"	"temp_fant11949_11"	"temp_fant21949_11"	1949	1900	1920.38194444	1923.4375	0.9236111111	0.8055555556	0.8402777778	0.7986111111	1.0812726727	1.0872507782	1.0752945671	0.0451388889	0.0069444444	0.0833333333	11
"cross"	"temp_sf11949_11"	"temp_fant21949_11"	1949	1900	1919.64583333	1923.4375	0.8472222222	0.8055555556	0.75	0.7708333333	0.7033913811	0.6851289904	0.7216537718	0.0659722222	0.0347222222	0.0972222222	11
"cross"	"temp_sf21949_11"	"temp_fant11949_11"	1949	1900	1923.40277778	1920.38194444	0.9027777778	0.9236111111	0.8680555556	0.8125	1.2519547018	1.1593819391	1.3445274646	0.0729166667	0.1111111111	0.0347222222	11
"sfself"	"temp_sf11949_12"	"temp_sf21949_12"	1949	1900	1921.70833333	1924.25	0.875	0.9305555556	0.8402777778	0.8819444444	1.378839881	1.4176544708	1.3400252912	0.0416666667	0.0486111111	0.0347222222	12
"fantasyself"	"temp_fant11949_12"	"temp_fant21949_12"	1949	1900	1921.73611111	1921.27777778	0.7916666667	0.875	0.7638888889	0.8402777778	1.1705199587	1.1957599391	1.1452799784	0.03125	0.0347222222	0.0277777778	12
"cross"	"temp_sf11949_12"	"temp_fant21949_12"	1949	1900	1921.70833333	1921.27777778	0.875	0.875	0.8611111111	0.7847222222	1.1253380935	0.9841643072	1.2665118798	0.0520833333	0.0902777778	0.0138888889	12
"cross"	"temp_sf21949_12"	"temp_fant11949_12"	1949	1900	1924.25	1921.73611111	0.9305555556	0.7916666667	0.7430555556	0.6944444444	0.642718789	0.6525294425	0.6329081356	0.1423611111	0.0972222222	0.1875	12
"sfself"	"temp_sf11949_13"	"temp_sf21949_13"	1949	1900	1919.97222222	1924.20138889	0.9027777778	0.875	0.8611111111	0.8611111111	1.4391286165	1.4468725938	1.4313846393	0.0277777778	0.0138888889	0.0416666667	13
"fantasyself"	"temp_fant11949_13"	"temp_fant21949_13"	1949	1900	1919.83333333	1924.89583333	0.8263888889	0.8263888889	0.8263888889	0.7152777778	0.8611480855	0.8286985034	0.8935976677	0.0555555556	0.1111111111	0	13
"cross"	"temp_sf11949_13"	"temp_fant21949_13"	1949	1900	1919.97222222	1924.89583333	0.9027777778	0.8263888889	0.7847222222	0.75	0.8440206794	0.7519576533	0.9360837055	0.0972222222	0.0763888889	0.1180555556	13
"cross"	"temp_sf21949_13"	"temp_fant11949_13"	1949	1900	1924.20138889	1919.83333333	0.875	0.8263888889	0.8055555556	0.7222222222	0.8802930348	0.8330072481	0.9275788214	0.0868055556	0.1041666667	0.0694444444	13
"sfself"	"temp_sf11949_14"	"temp_sf21949_14"	1949	1900	1925.88194444	1920.40972222	0.9097222222	0.9236111111	0.8680555556	0.8125	1.2931807793	1.1720544685	1.4143070901	0.0763888889	0.1111111111	0.0416666667	14
"fantasyself"	"temp_fant11949_14"	"temp_fant21949_14"	1949	1900	1922.65972222	1920.17361111	0.8263888889	0.8472222222	0.8402777778	0.7847222222	0.9726778789	0.9538922111	0.9914635466	0.0243055556	0.0625	-0.0138888889	14
"cross"	"temp_sf11949_14"	"temp_fant21949_14"	1949	1900	1925.88194444	1920.17361111	0.9097222222	0.8472222222	0.7708333333	0.7083333333	0.8123316077	0.7515390537	0.8731241616	0.1388888889	0.1388888889	0.1388888889	14
"cross"	"temp_sf21949_14"	"temp_fant11949_14"	1949	1900	1920.40972222	1922.65972222	0.9236111111	0.8263888889	0.8263888889	0.7847222222	0.9896212045	0.9311010405	1.0481413686	0.0694444444	0.0416666667	0.0972222222	14
"sfself"	"temp_sf11959_0"	"temp_sf21959_0"	1959	1910	1937.77083333	1939.43055556	0.9166666667	0.9305555556	0.8541666667	0.8819444444	1.3363931048	1.3000319034	1.3727543063	0.0555555556	0.0486111111	0.0625	0
"fantasyself"	"temp_fant11959_0"	"temp_fant21959_0"	1959	1910	1932.27083333	1938.79861111	0.8680555556	0.9236111111	0.9236111111	0.9375	1.607682681	1.6437294356	1.5716359264	-0.0347222222	-0.0138888889	-0.0555555556	0
"cross"	"temp_sf11959_0"	"temp_fant21959_0"	1959	1910	1937.77083333	1938.79861111	0.9166666667	0.9236111111	0.8819444444	0.7847222222	1.0780805575	1.0109052132	1.1452559018	0.0868055556	0.1388888889	0.0347222222	0
"cross"	"temp_sf21959_0"	"temp_fant11959_0"	1959	1910	1939.43055556	1932.27083333	0.9305555556	0.8680555556	0.8194444444	0.7152777778	0.9141534139	0.7555994209	1.072707407	0.1319444444	0.1527777778	0.1111111111	0
"sfself"	"temp_sf11959_1"	"temp_sf21959_1"	1959	1910	1938.95833333	1939.90972222	0.8958333333	0.9027777778	0.8611111111	0.8611111111	1.4349674638	1.4553035353	1.4146313923	0.0381944444	0.0416666667	0.0347222222	1
"fantasyself"	"temp_fant11959_1"	"temp_fant21959_1"	1959	1910	1935.70138889	1932.11805556	0.8888888889	0.8958333333	0.8263888889	0.9097222222	1.4979596671	1.4885981753	1.507321159	0.0243055556	-0.0138888889	0.0625	1
"cross"	"temp_sf11959_1"	"temp_fant21959_1"	1959	1910	1938.95833333	1932.11805556	0.8958333333	0.8958333333	0.7777777778	0.7847222222	1.0037750167	1.0159258815	0.991624152	0.1145833333	0.1111111111	0.1180555556	1
"cross"	"temp_sf21959_1"	"temp_fant11959_1"	1959	1910	1939.90972222	1935.70138889	0.9027777778	0.8888888889	0.8541666667	0.7430555556	1.0567713949	1.0379361895	1.0756066002	0.0972222222	0.1458333333	0.0486111111	1
"sfself"	"temp_sf11959_2"	"temp_sf21959_2"	1959	1910	1935.875	1939.15277778	0.9375	0.9444444444	0.8958333333	0.8819444444	1.534122884	1.4645102408	1.6037355273	0.0520833333	0.0625	0.0416666667	2
"fantasyself"	"temp_fant11959_2"	"temp_fant21959_2"	1959	1910	1933.09027778	1938.46527778	0.8680555556	0.875	0.8819444444	0.8402777778	1.4147420183	1.349575512	1.4799085246	0.0104166667	0.0347222222	-0.0138888889	2
"cross"	"temp_sf11959_2"	"temp_fant21959_2"	1959	1910	1935.875	1938.46527778	0.9375	0.875	0.8402777778	0.7638888889	1.0109987646	0.9151593746	1.1068381545	0.1041666667	0.1111111111	0.0972222222	2
"cross"	"temp_sf21959_2"	"temp_fant11959_2"	1959	1910	1939.15277778	1933.09027778	0.9444444444	0.8680555556	0.8263888889	0.7638888889	1.1752629669	1.1343388142	1.2161871195	0.1111111111	0.1041666667	0.1180555556	2
"sfself"	"temp_sf11959_3"	"temp_sf21959_3"	1959	1910	1937.52777778	1935.43055556	0.9097222222	0.8888888889	0.8958333333	0.8611111111	1.7215402019	1.64753513	1.7955452738	0.0208333333	0.0277777778	0.0138888889	3
"fantasyself"	"temp_fant11959_3"	"temp_fant21959_3"	1959	1910	1934.44444444	1936.11805556	0.8263888889	0.8958333333	0.875	0.8263888889	1.273126262	1.2523705065	1.2938820176	0.0104166667	0.0694444444	-0.0486111111	3
"cross"	"temp_sf11959_3"	"temp_fant21959_3"	1959	1910	1937.52777778	1936.11805556	0.9097222222	0.8958333333	0.9027777778	0.8402777778	1.3096040489	1.2360638144	1.3831442834	0.03125	0.0555555556	0.0069444444	3
"cross"	"temp_sf21959_3"	"temp_fant11959_3"	1959	1910	1935.43055556	1934.44444444	0.8888888889	0.8263888889	0.7430555556	0.7638888889	0.8854259733	0.8895933674	0.8812585791	0.1041666667	0.0625	0.1458333333	3
"sfself"	"temp_sf11959_4"	"temp_sf21959_4"	1959	1910	1936.95138889	1938.53472222	0.9236111111	0.9097222222	0.8819444444	0.8541666667	1.3714905008	1.263629832	1.4793511697	0.0486111111	0.0555555556	0.0416666667	4
"fantasyself"	"temp_fant11959_4"	"temp_fant21959_4"	1959	1910	1937.1875	1933.26388889	0.8680555556	0.8819444444	0.8819444444	0.8680555556	1.3477494198	1.3480292675	1.3474695721	0	0.0138888889	-0.0138888889	4
"cross"	"temp_sf11959_4"	"temp_fant21959_4"	1959	1910	1936.95138889	1933.26388889	0.9236111111	0.8819444444	0.8333333333	0.7361111111	0.9378132232	0.8362989119	1.0393275345	0.1180555556	0.1458333333	0.0902777778	4
"cross"	"temp_sf21959_4"	"temp_fant11959_4"	1959	1910	1938.53472222	1937.1875	0.9097222222	0.8680555556	0.8611111111	0.8125	1.0950281422	1.0487601136	1.1412961707	0.0520833333	0.0555555556	0.0486111111	4
"sfself"	"temp_sf11959_5"	"temp_sf21959_5"	1959	1910	1937.95833333	1937.40972222	0.9305555556	0.8680555556	0.8541666667	0.875	1.5255509858	1.4055456724	1.6455562992	0.0347222222	-0.0069444444	0.0763888889	5
"fantasyself"	"temp_fant11959_5"	"temp_fant21959_5"	1959	1910	1935.40277778	1933.53472222	0.9097222222	0.8333333333	0.875	0.8402777778	1.1914099833	1.1878445153	1.1949754513	0.0138888889	-0.0069444444	0.0347222222	5
"cross"	"temp_sf11959_5"	"temp_fant21959_5"	1959	1910	1937.95833333	1933.53472222	0.9305555556	0.8333333333	0.9097222222	0.8194444444	1.1210189405	0.953874354	1.2881635269	0.0173611111	0.0138888889	0.0208333333	5
"cross"	"temp_sf21959_5"	"temp_fant11959_5"	1959	1910	1937.40972222	1935.40277778	0.8680555556	0.9097222222	0.7638888889	0.7222222222	0.9818577876	0.9679399208	0.9957756543	0.1458333333	0.1875	0.1041666667	5
"sfself"	"temp_sf11959_6"	"temp_sf21959_6"	1959	1910	1939.77083333	1936.94444444	0.9166666667	0.9166666667	0.9166666667	0.8263888889	1.2515724857	1.1059677405	1.3971772309	0.0451388889	0.0902777778	0	6
"fantasyself"	"temp_fant11959_6"	"temp_fant21959_6"	1959	1910	1936.55555556	1935.54861111	0.8680555556	0.9027777778	0.8611111111	0.8125	1.1910945132	1.1192921497	1.2628968767	0.0486111111	0.0902777778	0.0069444444	6
"cross"	"temp_sf11959_6"	"temp_fant21959_6"	1959	1910	1939.77083333	1935.54861111	0.9166666667	0.9027777778	0.8402777778	0.7222222222	0.883702635	0.8735294711	0.893875799	0.1284722222	0.1805555556	0.0763888889	6
"cross"	"temp_sf21959_6"	"temp_fant11959_6"	1959	1910	1936.94444444	1936.55555556	0.9166666667	0.8680555556	0.7916666667	0.8055555556	1.0877984213	1.0455594145	1.1300374281	0.09375	0.0625	0.125	6
"sfself"	"temp_sf11959_7"	"temp_sf21959_7"	1959	1910	1936.89583333	1938.02777778	0.9236111111	0.9097222222	0.9027777778	0.8333333333	1.2579071471	1.2897719325	1.2260423616	0.0486111111	0.0763888889	0.0208333333	7
"fantasyself"	"temp_fant11959_7"	"temp_fant21959_7"	1959	1910	1935.34722222	1934.79861111	0.875	0.8819444444	0.8333333333	0.7847222222	1.0956730496	0.9867291106	1.2046169885	0.0694444444	0.0972222222	0.0416666667	7
"cross"	"temp_sf11959_7"	"temp_fant21959_7"	1959	1910	1936.89583333	1934.79861111	0.9236111111	0.8819444444	0.7708333333	0.6597222222	0.7524533662	0.5924752511	0.9124314814	0.1875	0.2222222222	0.1527777778	7
"cross"	"temp_sf21959_7"	"temp_fant11959_7"	1959	1910	1938.02777778	1935.34722222	0.9097222222	0.875	0.7777777778	0.7083333333	0.5982868187	0.5423001398	0.6542734975	0.1493055556	0.1666666667	0.1319444444	7
"sfself"	"temp_sf11959_8"	"temp_sf21959_8"	1959	1910	1937.54166667	1937.03472222	0.9027777778	0.9236111111	0.8263888889	0.9097222222	1.2885467482	1.3072111052	1.2698823911	0.0451388889	0.0138888889	0.0763888889	8
"fantasyself"	"temp_fant11959_8"	"temp_fant21959_8"	1959	1910	1934.32638889	1934.1875	0.9583333333	0.8402777778	0.8958333333	0.7986111111	1.191666368	1.0890953034	1.2942374326	0.0520833333	0.0416666667	0.0625	8
"cross"	"temp_sf11959_8"	"temp_fant21959_8"	1959	1910	1937.54166667	1934.1875	0.9027777778	0.8402777778	0.8333333333	0.8055555556	1.0695151546	0.8941949679	1.2448353413	0.0520833333	0.0347222222	0.0694444444	8
"cross"	"temp_sf21959_8"	"temp_fant11959_8"	1959	1910	1937.03472222	1934.32638889	0.9236111111	0.9583333333	0.7847222222	0.7430555556	0.7063667342	0.6432861006	0.7694473678	0.1770833333	0.2152777778	0.1388888889	8
"sfself"	"temp_sf11959_9"	"temp_sf21959_9"	1959	1910	1938.13194444	1937.40277778	0.9166666667	0.8819444444	0.8472222222	0.8333333333	1.3264111906	1.3831623313	1.26966005	0.0590277778	0.0486111111	0.0694444444	9
"fantasyself"	"temp_fant11959_9"	"temp_fant21959_9"	1959	1910	1938.94444444	1932.54166667	0.8888888889	0.8888888889	0.8402777778	0.8472222222	1.132525284	1.1017011223	1.1633494456	0.0451388889	0.0416666667	0.0486111111	9
"cross"	"temp_sf11959_9"	"temp_fant21959_9"	1959	1910	1938.13194444	1932.54166667	0.9166666667	0.8888888889	0.8125	0.7847222222	0.9515147716	0.9244934873	0.9785360559	0.1041666667	0.1041666667	0.1041666667	9
"cross"	"temp_sf21959_9"	"temp_fant11959_9"	1959	1910	1937.40277778	1938.94444444	0.8819444444	0.8888888889	0.8125	0.625	0.6695703621	0.4896398661	0.8495008581	0.1666666667	0.2638888889	0.0694444444	9
"sfself"	"temp_sf11959_10"	"temp_sf21959_10"	1959	1910	1936.07638889	1939.63888889	0.9097222222	0.8819444444	0.9097222222	0.8680555556	1.3930433851	1.4628646405	1.3232221297	0.0069444444	0.0138888889	0	10
"fantasyself"	"temp_fant11959_10"	"temp_fant21959_10"	1959	1910	1935.17361111	1935.00694444	0.8888888889	0.8680555556	0.8333333333	0.8819444444	1.3584134211	1.4012248148	1.3156020273	0.0208333333	-0.0138888889	0.0555555556	10
"cross"	"temp_sf11959_10"	"temp_fant21959_10"	1959	1910	1936.07638889	1935.00694444	0.9097222222	0.8680555556	0.8125	0.7083333333	0.7391210904	0.7439417635	0.7343004173	0.1284722222	0.1597222222	0.0972222222	10
"cross"	"temp_sf21959_10"	"temp_fant11959_10"	1959	1910	1939.63888889	1935.17361111	0.8819444444	0.8888888889	0.8402777778	0.8263888889	1.1560317545	1.0386568758	1.2734066332	0.0520833333	0.0625	0.0416666667	10
"sfself"	"temp_sf11959_11"	"temp_sf21959_11"	1959	1910	1938.78472222	1936.64583333	0.9027777778	0.9166666667	0.9166666667	0.9027777778	1.3895708033	1.3412313612	1.4379102455	0	0.0138888889	-0.0138888889	11
"fantasyself"	"temp_fant11959_11"	"temp_fant21959_11"	1959	1910	1936.83333333	1935.36805556	0.8888888889	0.8680555556	0.8472222222	0.8541666667	1.2936045523	1.2827733956	1.304435709	0.0277777778	0.0138888889	0.0416666667	11
