"testype"	"name1"	"name2"	"ceiling"	"floor"	"meandate1"	"meandate2"	"acc1"	"acc2"	"alienacc1"	"alienacc2"	"spearman"	"spear1on2"	"spear2on1"	"loss"	"loss1on2"	"loss2on1"	"iteration"
"cross"	"temp_sf21909_6"	"temp_fant11909_6"	1909	1800	1882.03472222	1876.05970149	0.8888888889	0.7985074627	0.7291666667	0.6791044776	0.5048087694	0.4545826746	0.5550348643	0.1395626036	0.1194029851	0.1597222222	6
"sfself"	"temp_sf11909_7"	"temp_sf21909_7"	1909	1800	1882.41666667	1877.43055556	0.875	0.8263888889	0.7013888889	0.7430555556	0.8553719046	1.0100203534	0.7007234558	0.1284722222	0.0833333333	0.1736111111	7
"fantasyself"	"temp_fant11909_7"	"temp_fant21909_7"	1909	1800	1881.51428571	1879.79285714	0.7428571429	0.7785714286	0.7071428571	0.7357142857	0.5679826231	0.6302132445	0.5057520016	0.0392857143	0.0428571429	0.0357142857	7
"cross"	"temp_sf11909_7"	"temp_fant21909_7"	1909	1800	1882.41666667	1879.79285714	0.875	0.7785714286	0.6388888889	0.5857142857	0.4333638335	0.3860064848	0.4807211822	0.214484127	0.1928571429	0.2361111111	7
"cross"	"temp_sf21909_7"	"temp_fant11909_7"	1909	1800	1877.43055556	1881.51428571	0.8263888889	0.7428571429	0.7361111111	0.6785714286	0.609466301	0.395809131	0.823123471	0.077281746	0.0642857143	0.0902777778	7
"sfself"	"temp_sf11909_8"	"temp_sf21909_8"	1909	1800	1875.42361111	1887.24305556	0.8958333333	0.8888888889	0.8541666667	0.8263888889	1.4937930625	1.5084491736	1.4791369514	0.0520833333	0.0625	0.0416666667	8
"fantasyself"	"temp_fant11909_8"	"temp_fant21909_8"	1909	1800	1878.99305556	1880.74285714	0.8194444444	0.7428571429	0.7222222222	0.6571428571	0.5687682928	0.6515202282	0.4860163574	0.091468254	0.0857142857	0.0972222222	8
"cross"	"temp_sf11909_8"	"temp_fant21909_8"	1909	1800	1875.42361111	1880.74285714	0.8958333333	0.7428571429	0.75	0.5571428571	0.48047905	0.3489502328	0.6120078672	0.1657738095	0.1857142857	0.1458333333	8
"cross"	"temp_sf21909_8"	"temp_fant11909_8"	1909	1800	1887.24305556	1878.99305556	0.8888888889	0.8194444444	0.8263888889	0.7847222222	1.1294740904	1.0325616293	1.2263865515	0.0486111111	0.0347222222	0.0625	8
"sfself"	"temp_sf11909_9"	"temp_sf21909_9"	1909	1800	1883.34027778	1878.38888889	0.8680555556	0.9166666667	0.7569444444	0.7847222222	0.942792316	0.9678305201	0.9177541118	0.1215277778	0.1319444444	0.1111111111	9
"fantasyself"	"temp_fant11909_9"	"temp_fant21909_9"	1909	1800	1880.44927536	1879.89705882	0.7173913043	0.8602941176	0.6231884058	0.6911764706	0.692917524	0.7114775022	0.6743575458	0.1316602728	0.1691176471	0.0942028986	9
"cross"	"temp_sf11909_9"	"temp_fant21909_9"	1909	1800	1883.34027778	1879.89705882	0.8680555556	0.8602941176	0.7013888889	0.6691176471	0.6790105075	0.5168972455	0.8411237696	0.1789215686	0.1911764706	0.1666666667	9
"cross"	"temp_sf21909_9"	"temp_fant11909_9"	1909	1800	1878.38888889	1880.44927536	0.9166666667	0.7173913043	0.7638888889	0.6014492754	0.6313513615	0.4017022796	0.8610004435	0.1343599034	0.115942029	0.1527777778	9
"sfself"	"temp_sf11909_10"	"temp_sf21909_10"	1909	1800	1882.47222222	1882.96527778	0.7847222222	0.9583333333	0.7569444444	0.8888888889	1.3578728994	1.4182687234	1.2974770755	0.0486111111	0.0694444444	0.0277777778	10
"fantasyself"	"temp_fant11909_10"	"temp_fant21909_10"	1909	1800	1877.10416667	1878.67605634	0.7013888889	0.8450704225	0.7152777778	0.7394366197	0.8310545086	0.8544617525	0.8076472647	0.045872457	0.1056338028	-0.0138888889	10
"cross"	"temp_sf11909_10"	"temp_fant21909_10"	1909	1800	1882.47222222	1878.67605634	0.7847222222	0.8450704225	0.7152777778	0.6830985915	0.5671369928	0.496203822	0.6380701636	0.1157081377	0.161971831	0.0694444444	10
"cross"	"temp_sf21909_10"	"temp_fant11909_10"	1909	1800	1882.96527778	1877.10416667	0.9583333333	0.7013888889	0.8819444444	0.6944444444	1.0103067727	0.8153854575	1.2052280879	0.0416666667	0.0069444444	0.0763888889	10
"sfself"	"temp_sf11909_11"	"temp_sf21909_11"	1909	1800	1882.19444444	1881.16666667	0.8263888889	0.8888888889	0.7291666667	0.8611111111	1.271801874	1.4216398413	1.1219639066	0.0625	0.0277777778	0.0972222222	11
"fantasyself"	"temp_fant11909_11"	"temp_fant21909_11"	1909	1800	1878.96376812	1880.80882353	0.8115942029	0.7205882353	0.7463768116	0.6691176471	0.5268927499	0.337508928	0.7162765718	0.0583439898	0.0514705882	0.0652173913	11
"cross"	"temp_sf11909_11"	"temp_fant21909_11"	1909	1800	1882.19444444	1880.80882353	0.8263888889	0.7205882353	0.7083333333	0.6691176471	0.8373275763	0.7341301155	0.9405250371	0.0847630719	0.0514705882	0.1180555556	11
"cross"	"temp_sf21909_11"	"temp_fant11909_11"	1909	1800	1881.16666667	1878.96376812	0.8888888889	0.8115942029	0.7222222222	0.6304347826	0.5746914635	0.593086106	0.5562968209	0.1739130435	0.1811594203	0.1666666667	11
"sfself"	"temp_sf11909_12"	"temp_sf21909_12"	1909	1800	1880.97222222	1880.59722222	0.8263888889	0.9027777778	0.7083333333	0.8402777778	1.0727478458	1.0224993202	1.1229963713	0.0902777778	0.0625	0.1180555556	12
"fantasyself"	"temp_fant11909_12"	"temp_fant21909_12"	1909	1800	1879.01388889	1879.625	0.7638888889	0.7647058824	0.7916666667	0.6911764706	1.0154692845	0.9629168586	1.0680217104	0.022875817	0.0735294118	-0.0277777778	12
"cross"	"temp_sf11909_12"	"temp_fant21909_12"	1909	1800	1880.97222222	1879.625	0.8263888889	0.7647058824	0.7083333333	0.6544117647	0.6430111237	0.5124752783	0.7735469691	0.1141748366	0.1102941176	0.1180555556	12
"cross"	"temp_sf21909_12"	"temp_fant11909_12"	1909	1800	1880.59722222	1879.01388889	0.9027777778	0.7638888889	0.8402777778	0.7291666667	0.9467418331	0.8229900086	1.0704936576	0.0486111111	0.0347222222	0.0625	12
"sfself"	"temp_sf11909_13"	"temp_sf21909_13"	1909	1800	1881.79861111	1882.63194444	0.8958333333	0.8819444444	0.7708333333	0.8472222222	1.1745969071	1.0810434492	1.268150365	0.0798611111	0.0347222222	0.125	13
"fantasyself"	"temp_fant11909_13"	"temp_fant21909_13"	1909	1800	1878.8	1882.40140845	0.7642857143	0.7746478873	0.7142857143	0.6901408451	0.6714812645	0.572177327	0.770785202	0.0672535211	0.0845070423	0.05	13
"cross"	"temp_sf11909_13"	"temp_fant21909_13"	1909	1800	1881.79861111	1882.40140845	0.8958333333	0.7746478873	0.7708333333	0.7042253521	0.9239560689	0.6485171329	1.1993950049	0.0977112676	0.0704225352	0.125	13
"cross"	"temp_sf21909_13"	"temp_fant11909_13"	1909	1800	1882.63194444	1878.8	0.8819444444	0.7642857143	0.6458333333	0.6285714286	0.3845795293	0.464058899	0.3051001596	0.1859126984	0.1357142857	0.2361111111	13
"sfself"	"temp_sf11909_14"	"temp_sf21909_14"	1909	1800	1878.66666667	1881.52777778	0.8611111111	0.8611111111	0.8055555556	0.7986111111	1.3214751735	1.2862697798	1.3566805672	0.0590277778	0.0625	0.0555555556	14
"fantasyself"	"temp_fant11909_14"	"temp_fant21909_14"	1909	1800	1879.96376812	1879.57352941	0.7898550725	0.7132352941	0.7753623188	0.7058823529	0.8031837372	0.7641650053	0.8422024691	0.0109228474	0.0073529412	0.0144927536	14
"cross"	"temp_sf11909_14"	"temp_fant21909_14"	1909	1800	1878.66666667	1879.57352941	0.8611111111	0.7132352941	0.7777777778	0.6102941176	0.756869853	0.6054468458	0.9082928603	0.0931372549	0.1029411765	0.0833333333	14
"cross"	"temp_sf21909_14"	"temp_fant11909_14"	1909	1800	1881.52777778	1879.96376812	0.8611111111	0.7898550725	0.7638888889	0.7753623188	0.7345885779	0.6979111998	0.7712659561	0.0558574879	0.0144927536	0.0972222222	14
"sfself"	"temp_sf11924_0"	"temp_sf21924_0"	1924	1880	1900.95138889	1903.06944444	0.8888888889	0.875	0.8611111111	0.8402777778	1.6035083625	1.6630028647	1.5440138602	0.03125	0.0347222222	0.0277777778	0
"fantasyself"	"temp_fant11924_0"	"temp_fant21924_0"	1924	1880	1901.97222222	1905.20138889	0.8402777778	0.8611111111	0.8333333333	0.8194444444	1.1044545463	1.1818572009	1.0270518916	0.0243055556	0.0416666667	0.0069444444	0
"cross"	"temp_sf11924_0"	"temp_fant21924_0"	1924	1880	1900.95138889	1905.20138889	0.8888888889	0.8611111111	0.8125	0.75	0.95233792	1.0737474393	0.8309284007	0.09375	0.1111111111	0.0763888889	0
"cross"	"temp_sf21924_0"	"temp_fant11924_0"	1924	1880	1903.06944444	1901.97222222	0.875	0.8402777778	0.8125	0.7222222222	0.8729009889	0.6843394511	1.0614625268	0.0902777778	0.1180555556	0.0625	0
"sfself"	"temp_sf11924_1"	"temp_sf21924_1"	1924	1880	1901.09722222	1901.81944444	0.9097222222	0.8263888889	0.8611111111	0.7569444444	1.2197995165	1.2190504209	1.2205486121	0.0590277778	0.0694444444	0.0486111111	1
"fantasyself"	"temp_fant11924_1"	"temp_fant21924_1"	1924	1880	1904.09027778	1902.40277778	0.8055555556	0.8611111111	0.7916666667	0.8055555556	1.1208017926	1.0671290671	1.174474518	0.0347222222	0.0555555556	0.0138888889	1
"cross"	"temp_sf11924_1"	"temp_fant21924_1"	1924	1880	1901.09722222	1902.40277778	0.9097222222	0.8611111111	0.8263888889	0.7013888889	0.8563329023	0.6858632433	1.0268025613	0.1215277778	0.1597222222	0.0833333333	1
"cross"	"temp_sf21924_1"	"temp_fant11924_1"	1924	1880	1901.81944444	1904.09027778	0.8263888889	0.8055555556	0.7569444444	0.7152777778	0.9459952873	0.9199167941	0.9720737805	0.0798611111	0.0902777778	0.0694444444	1
"sfself"	"temp_sf11924_2"	"temp_sf21924_2"	1924	1880	1900.6875	1904.26388889	0.8263888889	0.9166666667	0.7986111111	0.875	1.332874312	1.3660600953	1.2996885287	0.0347222222	0.0416666667	0.0277777778	2
"fantasyself"	"temp_fant11924_2"	"temp_fant21924_2"	1924	1880	1904.10416667	1903.53472222	0.8402777778	0.7777777778	0.7986111111	0.8125	0.9623784767	0.8584662511	1.0662907023	0.0034722222	-0.0347222222	0.0416666667	2
"cross"	"temp_sf11924_2"	"temp_fant21924_2"	1924	1880	1900.6875	1903.53472222	0.8263888889	0.7777777778	0.7222222222	0.6944444444	0.7116457289	0.7043054087	0.7189860491	0.09375	0.0833333333	0.1041666667	2
"cross"	"temp_sf21924_2"	"temp_fant11924_2"	1924	1880	1904.26388889	1904.10416667	0.9166666667	0.8402777778	0.875	0.7777777778	1.0346283812	1.0591197927	1.0101369696	0.0520833333	0.0625	0.0416666667	2
"sfself"	"temp_sf11924_3"	"temp_sf21924_3"	1924	1880	1903.14583333	1902.47916667	0.9027777778	0.8958333333	0.8611111111	0.8333333333	1.5305964666	1.520781169	1.5404117641	0.0520833333	0.0625	0.0416666667	3
"fantasyself"	"temp_fant11924_3"	"temp_fant21924_3"	1924	1880	1903.40972222	1903.72222222	0.8263888889	0.8611111111	0.7013888889	0.7638888889	0.8662058551	0.7574878802	0.97492383	0.1111111111	0.0972222222	0.125	3
"cross"	"temp_sf11924_3"	"temp_fant21924_3"	1924	1880	1903.14583333	1903.72222222	0.9027777778	0.8611111111	0.7638888889	0.7361111111	0.8779232161	0.7095988284	1.0462476038	0.1319444444	0.125	0.1388888889	3
"cross"	"temp_sf21924_3"	"temp_fant11924_3"	1924	1880	1902.47916667	1903.40972222	0.8958333333	0.8263888889	0.7986111111	0.7152777778	1.1129872099	0.9802148811	1.2457595388	0.1041666667	0.1111111111	0.0972222222	3
"sfself"	"temp_sf11924_4"	"temp_sf21924_4"	1924	1880	1902.13888889	1902.63194444	0.8333333333	0.8541666667	0.8194444444	0.8611111111	1.4075389042	1.485318152	1.3297596563	0.0034722222	-0.0069444444	0.0138888889	4
"fantasyself"	"temp_fant11924_4"	"temp_fant21924_4"	1924	1880	1903.73611111	1903.40972222	0.8333333333	0.8402777778	0.8125	0.7847222222	0.8631621465	0.7660085966	0.9603156965	0.0381944444	0.0555555556	0.0208333333	4
"cross"	"temp_sf11924_4"	"temp_fant21924_4"	1924	1880	1902.13888889	1903.40972222	0.8333333333	0.8402777778	0.8263888889	0.8125	1.0399125966	1.0404264873	1.039398706	0.0173611111	0.0277777778	0.0069444444	4
"cross"	"temp_sf21924_4"	"temp_fant11924_4"	1924	1880	1902.63194444	1903.73611111	0.8541666667	0.8333333333	0.7777777778	0.7152777778	0.8576074791	0.8983162865	0.8168986716	0.0972222222	0.1180555556	0.0763888889	4
"sfself"	"temp_sf11924_5"	"temp_sf21924_5"	1924	1880	1903.06944444	1901.67361111	0.8472222222	0.8611111111	0.8472222222	0.8472222222	1.3536672463	1.3446792725	1.3626552201	0.0069444444	0.0138888889	0	5
"fantasyself"	"temp_fant11924_5"	"temp_fant21924_5"	1924	1880	1902.28472222	1905.27777778	0.8333333333	0.8333333333	0.7916666667	0.8402777778	1.0452703012	1.1212225238	0.9693180786	0.0173611111	-0.0069444444	0.0416666667	5
"cross"	"temp_sf11924_5"	"temp_fant21924_5"	1924	1880	1903.06944444	1905.27777778	0.8472222222	0.8333333333	0.7638888889	0.7569444444	0.8319518697	0.8220120203	0.8418917192	0.0798611111	0.0763888889	0.0833333333	5
"cross"	"temp_sf21924_5"	"temp_fant11924_5"	1924	1880	1901.67361111	1902.28472222	0.8611111111	0.8333333333	0.8333333333	0.7430555556	0.9200721445	0.7310509704	1.1090933187	0.0590277778	0.0902777778	0.0277777778	5
"sfself"	"temp_sf11924_6"	"temp_sf21924_6"	1924	1880	1903.49305556	1900.40277778	0.8888888889	0.9166666667	0.8263888889	0.8055555556	1.2255726123	1.1986451938	1.2525000308	0.0868055556	0.1111111111	0.0625	6
