name	size	floor	ceiling	meandate	accuracy	features	regularization	i
sf1800to1899v0	80	1800	1899	1875	0.875	4600	0.7	0
sf1800to1899v1	80	1800	1899	1875	0.85625	4800	0.006	1
sf1800to1899v2	80	1800	1899	1874	0.875	4600	3	2
sf1800to1899v3	80	1800	1899	1874	0.83125	1800	3	3
sf1800to1899v4	80	1800	1899	1875	0.875	4000	3	4
sf1900to1919v0	80	1900	1919	1909	0.9125	2400	0.006	0
sf1900to1919v1	80	1900	1919	1909	0.90625	2400	0.02	1
sf1900to1919v2	80	1900	1919	1908	0.9	2000	0.1	2
sf1900to1919v3	80	1900	1919	1909	0.88125	4400	0.006	3
sf1900to1919v4	80	1900	1919	1908	0.9	3200	0.1	4
sf1920to1949v0	80	1920	1949	1937	0.9	3000	0.1	0
sf1920to1949v1	80	1920	1949	1936	0.8875	1200	0.006	1
sf1920to1949v2	80	1920	1949	1936	0.9	2000	0.006	2
sf1920to1949v3	80	1920	1949	1936	0.89375	2000	0.006	3
sf1920to1949v4	80	1920	1949	1936	0.86875	2600	0.1	4
sf1950to1969v0	80	1950	1969	1959	0.91875	4800	0.02	0
sf1950to1969v1	80	1950	1969	1959	0.86875	1400	0.006	1
sf1950to1969v2	80	1950	1969	1959	0.89375	2000	3	2
sf1950to1969v3	80	1950	1969	1959	0.9125	3600	0.7	3
sf1950to1969v4	80	1950	1969	1959	0.925	2400	0.006	4
sf1970to1979v0	80	1970	1979	1974	0.89375	3400	0.006	0
sf1970to1979v1	80	1970	1979	1974	0.89375	4000	0.0003	1
sf1970to1979v2	80	1970	1979	1974	0.88125	2800	0.1	2
sf1970to1979v3	80	1970	1979	1974	0.9125	1400	0.006	3
sf1970to1979v4	80	1970	1979	1974	0.94375	2800	0.7	4
sf1980to1989v0	80	1980	1989	1985	0.95	2200	0.1	0
sf1980to1989v1	80	1980	1989	1985	0.95625	1400	3	1
sf1980to1989v2	80	1980	1989	1985	0.9375	1800	3	2
sf1980to1989v3	80	1980	1989	1985	0.95625	2000	3	3
sf1980to1989v4	80	1980	1989	1985	0.9625	4800	3	4
sf1990to1999v0	80	1990	1999	1995	0.8625	3600	3	0
sf1990to1999v1	80	1990	1999	1994	0.88125	4400	3	1
sf1990to1999v2	80	1990	1999	1995	0.88125	3600	0.001	2
sf1990to1999v3	80	1990	1999	1994	0.8625	3200	0.7	3
sf1990to1999v4	80	1990	1999	1995	0.875	4400	0.1	4
sf2000to2010v0	80	2000	2010	2004	0.875	2200	0.02	0
sf2000to2010v1	80	2000	2010	2004	0.8875	4600	0.7	1
sf2000to2010v2	80	2000	2010	2004	0.88125	4000	0.0003	2
sf2000to2010v3	80	2000	2010	2004	0.8625	2200	0.1	3
sf2000to2010v4	80	2000	2010	2004	0.875	4200	0.02	4
