docid	diff	firstpub	author	tags	title
pst.000050047673_0	-0.0199108864484	1975	nan	sf_loc	The Road to science fiction
mdp.39015034422751_0	0.42505970785	1989	nan	sf_loc	Women of wonder : | the contemporary years : science fiction by women from the 1970s to the 1990s
mdp.39015019934069_0	-0.15927720528	1975	Williamson, Jack	sf_oclc	The legion of space
mdp.39015012212620_1	-0.0168532187486	1974	Niven, Larry	sf_oclc	The mote in God's eye, | $c: by Larry Niven and Jerry Pournelle.
mdp.39015007068235_2	-0.211085594628	1982	Asimov, Isaac	sf_oclc	Foundation's edge
mdp.39015003969873_2	0.218300878825	1979	nan	sf_loc	The 13 crimes of science fiction
uc1.32106017382521_1	-0.0901102310083	1980	nan	random	Outlaws of the marsh / | $c: by Shi Nai'an and Luo Guanzhong ; translated by Sidney Shapiro
uc1.b4931266_0	0.340707699631	1966	Laumer, Keith	sf_loc	Earthblood | $c: by Keith Laumer and Rosel George Brown.
mdp.39015014152915_2	0.127372647734	1978	Cozzens, James Gould	random	Just representations : | a James Gould Cozzens reader / | $c: edited and with an introd. by Matthew J. Bruccoli.
uc1.b4095618_0	0.234448520413	1963	Hoyle, Fred, Sir	sf_oclc	Fifth planet
pst.000014156960_1	0.32679821854	1987	nan	sf_oclc	The Fifth Omni book of science fiction
mdp.39015010748443_1	-0.00751601536654	1972	Harrison, Harry	sf_loc	The astounding-analog reader, | $c: edited by Harry Harrison [and] Brian W. Aldiss.
mdp.39015030710662_1	-0.175614980762	1969	Pohl, Frederik	sf_oclc	The age of the pussyfoot.
mdp.39076000903760_1	0.195501334338	1965	nan	sf_loc	Nebula award stories
mdp.39015051168493_0	0.316800663771	1976	Athar, Ikbal	random	The years of their lives / | $c: Ikbal Athar.
mdp.39015052467530_1	0.486506650053	1969	Le Guin, Ursula K	fantasy_oclc|sf_loc	The left hand of darkness
inu.39000000213053_2	0.217590145051	1989	nan	sf_loc	The New Hugo winners : | award-winning science fiction stories
mdp.39076000903745_1	0.257682984037	1965	nan	sf_loc	Nebula award stories
mdp.39015008199468_1	-0.0681814491522	1969	Anderson, Poul	sf_oclc	Satan's world.
mdp.39015030708112_0	-0.0164547019238	1961	O'Hara, John	random	Assembly / | $c: John O'Hara.
pst.000031216432_1	-0.109276959094	1987	Faust, Joe Clifford	sf_loc	A death of honor
mdp.39015016440870_0	-0.164500408724	1965	Haldeman, Charles	random	The snowman.
mdp.39015038145077_1	0.177152006349	1988	Nagibin, I͡Uriĭ	random	An unwritten story by Somerset Maugham : | novellas / | $c: Yu. Nagibin.
uc1.b4951320_0	-0.194020832286	1978	McFadden, Cyra	random	The serial : | a year in the life of Marin County / | $c: by Cyra McFadden ; illustrations by Tom Cervenak.
uc1.b3435509_1	0.0719622429199	1962	Christopher, John	sf_oclc	The world in winter
uc1.$b785374_1	0.562965660497	1967	Joseph, M. K	sf_oclc	The hole in the zero:
uc1.$b808873_0	0.0984149469527	1964	Piper, Evelyn	random	The nanny | $c: [by] Evelyn Piper [pseud.
mdp.39015002661273_0	-0.0520664118778	1960	Settle, Mary Lee	random	Know nothing, | a novel.
mdp.39015013104594_0	-0.0586247566652	1988	Raven, Simon	random	New seed for old : | a novel / | $c: by Simon Raven.
uc1.32106007713453_1	0.104814504159	1987	Lem, Stanis��aw	sf_oclc	Fiasco
pst.000021689604_3	-0.192211864126	1981	Hogan, James P	sf_oclc	The Minervan experiment
mdp.39015000627235	0.336390082691	1975	Kotzwinkle, William	random	Swimmer in the secret sea : | a novel / | $c: by William Kotzwinkle.
uc1.b4363412_2	0.198176250146	1969	Konwicki, Tadeusz	random	A dreambook for our time. | $c: Translated by David Welsh.
mdp.39015021919876_1	-0.348305650908	1960	Hartley, L. P. (Leslie Poles)	sf_oclc	Facial justice.
mdp.39015007068235_1	-0.157802636709	1982	Asimov, Isaac	sf_oclc	Foundation's edge
mdp.39015030745650_1	-0.314910626588	1971	Hood, Hugh	random	The fruit man, the meat man & the manager; | stories.
pst.000021946516_0	-0.657316096692	1966	Dick, Philip K	sf_loc	We can remember it for you wholesale
osu.32435063455158_0	0.697782159124	1961	Kane, Frank	random	Frank Kane's Stacked deck.
uc1.32106001965562_0	-0.0866411880649	1964	Allingham, Margery	random	Police at the funeral.
mdp.39015066688246_1	0.0704261283051	1975	Williamson, Jack	sf_oclc	Darker than you think
mdp.39015061468180_0	-0.104046267753	1970	Lippincott, David	random	E pluribus bang! / | $c: David Lippincott.
mdp.39015076849721_1	-0.700998402958	1972	Greene, Jay	random	Cruise ship.
mdp.39015015390787_0	0.0670998352801	1971	Simak, Clifford D	sf_oclc	A choice of gods | $c: [by] Clifford D. Simak. -
uc1.b3473021_1	-0.0899207180995	1969	Harrison, Harry	sf_loc	Best SF: 1968. | $c: Edited by Harry Harrison and Brian W. Aldiss.
