testype	name1	name2	acc1	acc2	spearman	spear1on2	spear2on1	loss	loss1on2	loss2on1	altloss	meandate	ceiling	floor
fantasyself	temp_sf11919_0	temp_sf21919_0	0.853333333333	0.906666666667	1.6372656653	1.72621497879	1.54831635182	-0.0233333333333	0.0133333333333	-0.06	-0.0233333333333	1888.5	1919	1800
sfself	temp_fant11919_0	temp_fant21919_0	0.806666666667	0.783018867925	0.975125311413	0.847689903555	1.10256071927	-0.0791194968553	-0.0849056603774	-0.0733333333333	-0.0791194968553	1886.5	1919	1800
cross	temp_sf11919_0	temp_fant21919_0	0.853333333333	0.783018867925	0.955448653589	0.842994694917	1.06790261226	0.0188679245283	0.0377358490566	0.0	0.0188679245283	1887.5	1919	1800
cross	temp_sf21919_0	temp_fant11919_0	0.906666666667	0.806666666667	0.993791113904	1.00507120705	0.982511020762	0.03	0.00666666666667	0.0533333333333	0.03	1887.5	1919	1800
fantasyself	temp_sf11969_0	temp_sf21969_0	0.913333333333	0.913333333333	1.79794681531	1.62515936052	1.9707342701	-0.0366666666667	-0.0466666666667	-0.0266666666667	-0.0366666666667	1950.0	1969	1920
sfself	temp_fant11969_0	temp_fant21969_0	0.873333333333	0.86	1.38049789624	1.25569971313	1.50529607935	-0.0333333333333	-0.0266666666667	-0.04	-0.0333333333333	1949.5	1969	1920
cross	temp_sf11969_0	temp_fant21969_0	0.913333333333	0.86	0.984925321747	0.743765382972	1.22608526052	0.0633333333333	0.113333333333	0.0133333333333	0.0633333333333	1950.0	1969	1920
cross	temp_sf21969_0	temp_fant11969_0	0.913333333333	0.873333333333	0.942190694608	0.823513447154	1.06086794206	0.0733333333333	0.126666666667	0.02	0.0733333333333	1949.5	1969	1920
fantasyself	temp_sf11989_0	temp_sf21989_0	0.886666666667	0.933333333333	1.53811450076	1.64268843156	1.43354056996	-0.0266666666667	-0.0466666666667	-0.00666666666667	-0.0266666666667	1979.5	1989	1970
sfself	temp_fant11989_0	temp_fant21989_0	0.886666666667	0.873333333333	1.41103781774	1.37401300095	1.44806263452	-0.0166666666667	0.00666666666667	-0.04	-0.0166666666667	1979.5	1989	1970
cross	temp_sf11989_0	temp_fant21989_0	0.886666666667	0.873333333333	1.0164489073	1.02222257825	1.01067523635	0.04	0.0533333333333	0.0266666666667	0.04	1979.5	1989	1970
cross	temp_sf21989_0	temp_fant11989_0	0.933333333333	0.886666666667	1.20715457433	1.14406530855	1.27024384011	0.07	0.08	0.06	0.07	1979.5	1989	1970
fantasyself	temp_sf12010_0	temp_sf22010_0	0.893333333333	0.913333333333	1.48430512188	1.56631217942	1.40229806435	-0.00666666666667	-0.0133333333333	0.0	-0.00666666666667	1999.0	2010	1990
sfself	temp_fant12010_0	temp_fant22010_0	0.873333333333	0.853333333333	1.49024942189	1.52788394099	1.45261490279	-0.05	-0.0266666666667	-0.0733333333333	-0.05	1999.5	2010	1990
cross	temp_sf12010_0	temp_fant22010_0	0.893333333333	0.853333333333	1.45822477507	1.53201842808	1.38443112206	-0.0233333333333	0.0	-0.0466666666667	-0.0233333333333	1999.5	2010	1990
cross	temp_sf22010_0	temp_fant12010_0	0.913333333333	0.873333333333	1.06831354769	1.0118466631	1.12478043229	0.0666666666667	0.02	0.113333333333	0.0666666666667	1999.0	2010	1990
fantasyself	temp_sf11919_1	temp_sf21919_1	0.886666666667	0.893333333333	1.44358140521	1.46492686187	1.42223594855	-0.0266666666667	-0.02	-0.0333333333333	-0.0266666666667	1887.0	1919	1800
sfself	temp_fant11919_1	temp_fant21919_1	0.82	0.79	1.12802024164	1.12486047815	1.13118000513	-0.00666666666667	-0.04	0.0266666666667	-0.00666666666667	1887.5	1919	1800
cross	temp_sf11919_1	temp_fant21919_1	0.886666666667	0.79	1.06237711822	0.995590316551	1.12916391989	0.0333333333333	0.02	0.0466666666667	0.0333333333333	1887.5	1919	1800
cross	temp_sf21919_1	temp_fant11919_1	0.893333333333	0.82	0.948969826279	0.99042386193	0.907515790628	0.0766666666667	0.0666666666667	0.0866666666667	0.0766666666667	1887.0	1919	1800
fantasyself	temp_sf11969_1	temp_sf21969_1	0.92	0.886666666667	1.69729509766	1.74998116117	1.64460903415	-0.0166666666667	0.00666666666667	-0.04	-0.0166666666667	1950.5	1969	1920
