"testype"	"name1"	"name2"	"spearman"	"spear1on2"	"spear2on1"	"loss"	"loss1on2"	"loss2on1"
"bailey-postwar"	"bailey0"	"postwarSF0"	0.7951296854	0.7000402525	0.8902191183	0.1790540541	0.2364864865	0.1216216216
"bailey-postwar"	"bailey0"	"postwarSF1"	1.0743567427	0.9590486013	1.1896648841	0.1486486486	0.1418918919	0.1554054054
"bailey-postwar"	"bailey0"	"postwarSF2"	1.1208742721	1.0246111952	1.2171373489	0.1182432432	0.1418918919	0.0945945946
"bailey-postwar"	"bailey1"	"postwarSF0"	0.8390786404	0.7328246233	0.9453326575	0.1587837838	0.2027027027	0.1148648649
"bailey-postwar"	"bailey1"	"postwarSF1"	1.1223778206	1.0018911164	1.2428645248	0.1452702703	0.1554054054	0.1351351351
"bailey-postwar"	"bailey1"	"postwarSF2"	1.1912089182	1.1047233714	1.277694465	0.0912162162	0.1081081081	0.0743243243
"bailey-postwar"	"bailey2"	"postwarSF0"	0.8049693389	0.7218006814	0.8881379964	0.2094594595	0.2432432432	0.1756756757
"bailey-postwar"	"bailey2"	"postwarSF1"	1.0159972951	0.9935988634	1.0383957268	0.1790540541	0.1554054054	0.2027027027
"bailey-postwar"	"bailey2"	"postwarSF2"	1.1309632879	1.0546364663	1.2072901094	0.1317567568	0.1148648649	0.1486486486
