"docid","recordid","oclc","locnum","includedbc","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title"
"uc1.32106011542344",4756042,29837102,,"taggedfantasy",,,"Sawtry, Cambs|Dedalus|c1993.",1993,,"enk",,"Fantasy fiction, Dutch|Dutch fiction","Fiction","The Dedalus book of Dutch fantasy"
"mdp.39015045682393",3987495,38039684,"PJ5191.E1K87 1998","taggedfantasy","Kushner, Tony.",,"New York|Theatre Communications Group|1998.",1998,,"nyu",,"Translations into English|Fantasy fiction, Yiddish|Yiddish literature","Fiction","A dybbuk ; | and, The dybbuk melody and other themes and variations"
"mdp.49015002042977",4532736,27683053,"PS3561.R46A64 1993","taggedfantasy","Kress, Nancy.",,"Sauk City, Wis.|Arkham House Publishers|c1993.",1993,,"wiu",,"Fantasy fiction, American","Short stories","The aliens of earth"
"pst.000023270350",9441580,28740710,,"taggedfantasy","Lee, Tanith.",,"s.l.|Guild America Books|1993.",1993,,"xx ",,"Paradys (Imaginary place)|Fiction|Fantasy fiction, English","NotFiction","The book of the dead ; The book of the mad"
"mdp.39015061154988",4739324,34319188,"PS648.F3F345 1995","taggedfantasy",,,"New York|Ace Books|1995.",1995,,"nyu",,"Adaptations|Fantasy fiction, American|Carroll, Lewis|1832-1898","Short stories","Fantastic Alice"
"mdp.39015064805990",5290254,41125259,,"taggedfantasy","Thomas, Patrick.",,"Farmingdale, New York|Padwolf Pub.|c1997.",1997,,"nyu",,"Fiction|Manhattan (New York, N.Y.)|Leprechauns|Bartenders|Bars (Drinking establishments)|Fantasy fiction, American|Gods","Novel","Murphy's lore : | tales from Bulfinche's Pub"
"mdp.49015002699131",4570345,40530329,,"taggedfantasy",,,"New York|Vintage International|1998.",1998,,"nyu",,"Fiction|Translations into English|Fantasy fiction|19th century","NotFiction","Fantastic tales : | visionary and everyday"
"mdp.39015061465624",4981204,23768093,"PS648.F3F34 1991","taggedfantasy",,,"New York|Gramercy Books|Distributed by Outlet Book Co.|1991.",1991,,"nyu",,"Horror tales, American|Fantasy fiction, American","Short stories","Famous fantastic mysteries : | 30 great tales of fantasy and horror from the classic pulp magazines Famous fantastic mysteries & Fantastic novels"
"uc1.32106014482415",7133602,36022170,,"oclcid","Olsen, Lance,","1956-","San Francisco|Permeable Press|c1996",1996,,"cau",,,"Fiction","Time famine : | a novel"
"uc1.b4431356",6239221,28553027,,"oclcid","LaFarge, Tom.",,"Los Angeles, Calif.|Sun & Moon Press|1993-",0,1993,"cau","v.1",,"Fiction","The crimson bears"
"pst.000033176208",7050864,39093364,"PS3552.O8313S6 1998","oclcid","Boudreaux, Aleta.",,"Grand Bay, AL|Laughing Owl Pub.|c1998.",1998,,"xxu",,,"NotFiction|Bibliographies","Song of the white swan"
"mdp.39015054028231",2446743,22917711,,"fuzzymatch","Rushdie, Salman.",,"London|Granta Books in association with Penguin Books|1990.",1990,,"enk",,,"Fiction","Haroun and the sea of stories"
"uc1.32106013120784",7132737,30413449,,"fuzzymatch","Gentle, Mary",,"New York, N.Y., U.S.A.|ROC|1994], c1991",1991,,"nyu",,"Fiction|Renaissance","Fiction","The architecture of desire"
"mdp.49015002208008",4534553,30795467,"PS3562.A246S76 1994","fuzzymatch","Lackey, Mercedes.",,"New York|DAW Books|Distributed by Penguin USA|c1994.",1994,,"nyu",,,"Fiction","Storm warning"
"pst.000029233083",9815335,39914359,"PS3568.E3696D73 1999","taggedfantasy","Reed, Robert.",,"Collinsville, Ill.|Golden Gryphon Press|c1999.",1999,,"ilu",,"Science fiction, American|Fantasy fiction, American","Fiction","The dragons of Springplace : | stories"
"mdp.39015058737563",3902497,36031457,"PS3554.I328D68 1996a","fuzzymatch","Dickson, Gordon R.",,"New York|Ace Fantasy|1996.",1996,,"nyu",,"Fiction|Time travel|Jinn|Dragons|Middle Ages|Eckert, James (Fictitious character)","Novel|Fantasy fiction","The dragon and the Djinn"
"mdp.39015064125274",5242102,30666564,"PS3569.C5684T73 1993","taggedfantasy","Schweitzer, Darrell,","1952-","Buffalo, N.Y.|W. Paul Ganley|1993.",1993,,"nyu",,"Horror tales, American|Fantasy fiction, American","Short stories","Transients, and other disquieting stories"
"mdp.39015040695127",3145956,34824321,"PS3554.I86M47 1997","fuzzymatch","Divakaruni, Chitra Banerjee,","1956-","New York|Anchor Books|1997.",1997,,"nyu",,"Spices|Fiction","Fiction","The mistress of spices"
"mdp.39015061865633",4972047,34472150,"PS648.F3S98 1996","taggedfantasy",,,"Los Angeles|Alyson Publications|1996.",1996,,"cau",,"Fiction|Gay men|Lesbians|Gays' writings, American|Science fiction, American|Fantasy fiction, American","Short stories","Swords of the rainbow"
"pst.000033357485",7051799,40054288,,"taggedfantasy","Brown, Steve C.",,"Stone Mtn., GA|White Wolf Game Studio|c1997.",1997,,"xx ",,"Fantasy games|Vampire (Game)","NotFiction","Dirty secrets of the Black hand : | the calm of desperation"
"mdp.39015056214490",3837675,36203515,,"taggedfantasy","Powers, Tim,","1952-","New York|Avon Books|1996, c1992.",1996,,"nyu",,"Fiction|Poker|Gambling|Paranormal fiction|Tarot (Game)|Fantasy fiction, American","Fiction","Last call"
"mdp.39015054262376",3603782,24345268,,"taggedfantasy",,,"New York|Ace Books|c1991.",1991,,"nyu",,"Fantasy fiction|Humor in literature","Short stories","Smart dragons, foolish elves"
"mdp.39015056812269",3850058,32429454,"PR6073.E386E95 1995","fuzzymatch","Wells, Angus.",,"New York|Bantam Books|1996, c1995.",1995,,"nyu",,,"Fiction","Exile's children"
"mdp.39015037861179",3030726,32809754,,"taggedfantasy",,,"Stone Mountain, Ga.|White Wolf Pub.|c1994.",1994,,"gau",,"Fantasy fiction|Horror tales","Fiction|Horror tales|Fantastic fiction","Tombs"
"mdp.39015028914631",2729712,23461885,,"oclcid","Barrett, Neal.",,"Shingletown, CA|M.V. Ziesing|1991.",1991,,"cau",,,"Fiction","The hereafter gang"
"mdp.39015040060918",3949459,36284106,"PR4612.A48 1997","taggedfantasy",,,"Lexington, Ky.|University Press of Kentucky|c1997.",1997,,"kyu",,"Fantasy literature, English|Carroll, Lewis|1832-1898|Satire, English|Influence|Parodies, imitations, etc","NotFiction|Bibliographies","Alternative Alices : | visions and revisions of Lewis Carroll's Alice books : an anthology"
"mdp.39015040136288",3966835,37330288,,"taggedfantasy","Schimel, Lawrence.",,"Cambridge, MA|Circlet Press|1997.",1997,,"mau",,"Fantasy|Fiction|Gays","Fiction","The drag queen of Elfland and other stories"
"mdp.39015061381797",4905285,41639739,,"taggedfantasy",,,"Cambridge, MA|Circlet Press|c1997, 1993.",1993,,"mau",,"Fiction|Women|Fantasy fiction, American|Erotic stories, American","Short stories","Sexmagick : | women conjuring erotic fantasy"
"mdp.39015019810483",2449882,20169970,"PS3552.R6596S28 1990","oclcid","Brooks, Terry.",,"New York|Ballantine Books|1990.",1990,,"nyu",,,"Fiction","The scions of Shannara"
"mdp.39015037303636",3049075,33043324,"PS3562.E42U56 1996","taggedfantasy","Le Guin, Ursula K.,","1929-","New York|HarperCollins|c1996.",1996,,"nyu",,"Fiction|Manners and customs|Fantasy fiction, American","Fiction","Unlocking the air and other stories"
"mdp.39015056187001",4303055,50737058,"PS3607.O566S4 2003","taggedfantasy","Goodman, Carol.",,"New York|Ballantine Books|2003.",2003,,"nyu",,"Fiction|Maternal deprivation|Biographers|Hotels|Authorship|Fantasy fiction|Mothers and daughters|Women teachers","Fiction","The seduction of water"
"mdp.39015054289726",4242650,47142079,"PS3602.R63T48 2002","taggedfantasy","Brockmeier, Kevin.",,"New York|Pantheon Books|c2002.",2002,,"nyu",,"Psychological fiction, American|Fantasy fiction, American","Fiction","Things that fall from the sky"
"pst.000066114031",12256275,53441484,"PS3558.A6427D435 2004","fuzzymatch","Harris, Charlaine.",,"New York|Ace Books|2004.",2004,,"nyu",,"Waitresses|City and town life|Fiction|Telepathy|Vampires","Horror fiction|Fiction|Occult fiction","Dead to the world"
"mdp.39015069971193",5631648,70660377,"PR6053.O48645B66 2006","taggedfantasy","Connolly, John,","1968-","New York|Atria Books|c2006.",2006,,"nyu",,"Fairy tales|Fiction|Death|Adaptations|Mothers|Fantasy fiction","Novel","The book of lost things"
"mdp.39015073911961",5690526,224398119,,"taggedfantasy","Clegg, Douglas,","1958-","New York|Alyson|2006.",2006,,"nyu",,"Fiction|Arthurian romances|Gay men|Illegitimate children of royalty|Adaptations|Mordred (Legendary character)|Fantasy","Novel|Historical fiction|Fantasy fiction","Mordred, bastard son"
"mdp.39015058135214",4362081,54884542,"PZ3.M99075Si","taggedfantasy","Myers, John Myers,","1906-","Farmingham, MA|NESFA Press|c2004.",2004,,"mau",,"Fiction|1906-|Magic|Dictionaries, indexes, etc|Myers, John Myers|History and criticism|Science fiction, American|Imaginary places|Dictionaries|Science fiction, American, English|Fantasy fiction, American","Fiction|Bibliographies","Silverlock : | including The Silverlock companion"
"mdp.39015059554652",4762270,55096711,"PS3619.T479N54 2004","taggedfantasy","Stevens, Francis.",,"Lincoln|University of Nebraska Press|c2004.",2004,,"nbu",,"Horror tales, American|Fantasy fiction, American","Bibliographies|Short stories","The nightmare, and other tales of dark fantasy"
"mdp.39015076164287",5689529,166358576,"PR1309.F3T33 2008","taggedfantasy",,,"New York|Del Rey/Ballantine Books|c2008.",2008,,"nyu",,"Lewis, C. S|Sources|Fantasy fiction, English|(Clive Staples)|1898-1963","NotFiction|Bibliographies","Tales before Narnia : | the roots of modern fantasy and science fiction"
"inu.30000103028167",7594254,61687674,"PS3570.U76B75 2005","fuzzymatch","Turtledove, Harry.",,"Riverdale, NY|Baen Books|New York, NY|Distributed by Simon & Schuster|c2005.",2005,,"nyu",,"Refugees|Fiction|Clergy","Fiction|Fantasy fiction","Bridge of the Separator"
"mdp.39015073904594",5666739,166146826,,"oclcid","Donihe, Kevin L.",,"Portland, OR|Eraserhead Press|2006.",2006,,"oru",,"Fiction|Agape|Cyclists|Bicycle racing|Ebola virus disease|Insects","Novel","The greatest fucking moment in sports"
"pst.000061572584",12257626,71329303,,"fuzzymatch","Roberts, Nora.",,"New York|Jove Books|2006.",2006,,"nyu",,"Vampires|Wizards|Fiction|Time travel|Witches","Fiction|Fantasy fiction","Morrigan's cross"
"inu.30000092695687",8566689,51983445,"PS3552.I7594B57 2003","taggedfantasy","Bishop, Anne.",,"New York|ROC|2003.",2003,,"nyu",,"Witches|Fiction|Fantasy fiction, American","Fiction","The black jewels trilogy"
"mdp.39015069302423",5562224,,,"fuzzymatch","Farmer, Philip José.",,"Woodstock, NY|Overlook Press|2007.",2007,,"nyu",,,"Fiction","The unreasoning mask"
"mdp.39015069174509",5571840,63075963,,"taggedfantasy","Schweitzer, Darrell,","1952-","Berkeley Heights, N.J.|Cosmos Books/Wildside Press|2001.",2001,,"nju",,"Horror tales, American|Fantasy fiction, American","Short stories","The great world and the small : | more tales of the ominous and magical"
"pst.000057995953",7057790,65208799,,"taggedfantasy","Roberts, Nora.",,"New York|Silhouette Books|c2006.",2006,,"nyu",,"Brothers and sisters|Fiction|Love stories, American|Fantasy fiction, American|Time travel","Fiction","Time and again"
"pst.000060768315",7496760,133158577,,"oclcid","D'Lacey, Chris.",,"New York|Orchard Books|2006",2006,,"nyu","D623firs 2006","Bears|Boardinghouses|Dragons|Supernatural|Fiction|Authorship","Novel","Fire star"
