volid	author	title	firstpub	prewarmean	postwarmean	unweightpremean	unweightpostmean	prestd	poststd	diff	ttest	pval
mdp.39015014165461	nan	A treasury of science fiction	1948	0.856111054901	0.97577806249	0.875473199183	0.984101524604	0.134848693433	0.0406771941139	0.119667007589	-6.78895430855	4.74635448967e-10
mdp.39015014506805	Sturgeon, Theodore	More than human, | $c: by Theodore Sturgeon.	1953	0.256668988097	0.771478498646	0.243057613429	0.787596099131	0.12766161381	0.174537609754	0.514809510549	-14.3106628902	4.70191534733e-17
mdp.39015016446950	Cooper, Edmund	Five to twelve.	1968	0.596071767542	0.95921815622	0.608545700977	0.97184699196	0.109353972748	0.0423858467255	0.363146388678	-14.0459732277	1.50361652059e-14
mdp.39015016450234	Brunner, John	The squares of the city	1965	0.406224959663	0.658609148495	0.399690453648	0.681483495407	0.13073238206	0.142668465689	0.252384188832	-6.94436051472	5.9282709299e-07
mdp.39015016466511	Aldiss, Brian Wilson	The dark light-years	1964	0.893156855848	0.942603398553	0.918260227566	0.961740220456	0.0773383393404	0.0546994864818	0.0494465427052	-1.87334228391	0.0749341815064
mdp.39015018624778	Clarke, Arthur C. (Arthur Charles)	Expedition to Earth : | eleven science-fiction stories	1953	0.984630203646	0.986441789139	0.98963906593	0.991514927595	0.0177536063913	0.0199703505291	0.00181158549368	-0.406503171613	0.686411464595
mdp.39015020680917	Simak, Clifford D	Way station	1963	0.770600387891	0.970454443644	0.792777472079	0.975944772583	0.10932134242	0.0350781480447	0.199854055754	-11.6279668561	7.56370128938e-19
mdp.39015021919876	Hartley, L. P. (Leslie Poles)	Facial justice.	1960	0.385998356914	0.595877929975	0.386023524252	0.606258799602	0.10769023667	0.193788810691	0.209879573061	-5.24768966495	1.134383222e-05
mdp.39015029191478	Silverberg, Robert	The collected stories of Robert Silverberg.	1957	0.806303192398	0.983861527485	0.831820008978	0.988749688623	0.107731161561	0.0234399831347	0.177558335086	-12.7127198954	2.36975557517e-23
mdp.39015029412296	nan	The best SF stories from New Worlds,#2.	1969	0.868965317332	0.945347500389	0.893059673424	0.960486993369	0.0968182650322	0.0584179656865	0.0763821830576	-3.66490074538	0.00056620712594
mdp.39015029502112	Huxley, Aldous	Time must have a stop	1944	0.288238136084	0.22914347166	0.275094223262	0.210396619154	0.137618650409	0.183515647787	-0.0590946644235	1.47470551923	0.150771254195
mdp.39015029750877	Hubbard, L. Ron (La Fayette Ron)	Return to tomorrow	1954	0.540414665153	0.935420803065	0.552464276298	0.945762575641	0.0897482939877	0.0516394896441	0.395006137912	-17.5893630965	1.58275991253e-19
mdp.39015030710662	Pohl, Frederik	The age of the pussyfoot.	1969	0.713193987426	0.953341305462	0.750149922663	0.971603934117	0.148773730458	0.0662205024859	0.240147318036	-9.08328052954	1.18842610899e-13
