"volid"	"author"	"title"	"firstpub"	"prewarmean"	"postwarmean"	"unweightpremean"	"unweightpostmean"	"prestd"	"poststd"	"diff"	"ttest"	"pval"	"colour"
"uc1.$b57115"	"Noyes, Alfred"	"No other man"	1940	0.9525844063	0.7937986967	0.9663480622	0.7943505785	0.0449117728	0.1647756412	-0.1587857097	5.2374588271	1.4922787367E-005	"gray"
"mdp.39015007043006"	"Heinlein, Robert A. (Robert Anson)"	"Beyond this horizon."	1942	0.619039698	0.9567977867	0.6475052313	0.9698566128	0.1883945973	0.0468007922	0.3377580887	-12.2116878875	1.90344560035E-019	"gray"
"uc1.$b601378"	"Haines, William Wister"	"Command decision, | $c: by William Wister Haines ..."	1947	0.3839488788	0.5337990386	0.3772875936	0.5333585596	0.232169587	0.267199665	0.1498501598	-2.6862811962	0.0097247819	"gray"
"mdp.39015014165461"		"A treasury of science fiction"	1948	0.8561110549	0.9757780625	0.8754731992	0.9841015246	0.1348486934	0.0406771941	0.1196670076	-6.7889543086	4.74635448967E-010	"gray"
"mdp.39015008828157"	"Vance, Jack"	"The dying earth"	1950	0.9526752386	0.9085885843	0.9655742198	0.9282797606	0.0412086399	0.0894302929	-0.0440866543	1.9220075311	0.0652590278	"black"
"mdp.39015066050850"	"Vonnegut, Kurt"	"Player piano."	1952	0.1527133378	0.54712763	0.1279855705	0.5617906487	0.0969454106	0.1312584703	0.3944142923	-14.6472104587	1.5749665307E-016	"black"
"mdp.39015029750877"	"Hubbard, L. Ron (La Fayette Ron)"	"Return to tomorrow"	1954	0.5404146652	0.9354208031	0.5524642763	0.9457625756	0.089748294	0.0516394896	0.3950061379	-17.5893630965	1.58275991253E-019	"gray"
"mdp.39015002189283"	"Golding, William"	"Lord of the flies, | a novel."	1955	0.8793761663	0.6485501826	0.9057152395	0.6809757722	0.0961694597	0.1934143977	-0.2308259837	5.3219959991	1.20826126421E-005	"gray"
"mdp.39015014136587"	"Pohl, Frederik"	"Undersea fleet"	1956	0.856830523	0.9803753229	0.8826779195	0.9879498933	0.0908993892	0.0259970931	0.1235447999	-8.0558593564	7.51207769486E-012	"gray"
"mdp.39015008161781"	"Anderson, Poul"	"War of the wing-men."	1958	0.7722066202	0.9173430508	0.8001782944	0.9431838958	0.1165933616	0.0930282956	0.1451364306	-4.1456164132	0.0002871131	"gray"
"mdp.39015003922005"	"Heinlein, Robert A. (Robert Anson)"	"Stranger in a strange land."	1961	0.2174429885	0.6751682027	0.2047546855	0.6851085339	0.1413271847	0.1738171944	0.4577252142	-15.3464522974	3.00758990343E-023	"black"
"mdp.39015020680917"	"Simak, Clifford D"	"Way station"	1963	0.7706003879	0.9704544436	0.7927774721	0.9759447726	0.1093213424	0.035078148	0.1998540558	-11.6279668561	7.56370128938E-019	"gray"
"mdp.39015016466511"	"Aldiss, Brian Wilson"	"The dark light-years"	1964	0.8931568558	0.9426033986	0.9182602276	0.9617402205	0.0773383393	0.0546994865	0.0494465427	-1.8733422839	0.0749341815	"gray"
"mdp.39015008724802"	"Merril, Judith"	"SF; the best of the best."	1967	0.4400840527	0.8911963032	0.4369936394	0.908166116	0.279527225	0.0923130915	0.4511122504	-13.9784859467	5.21644399345E-027	"black"
"mdp.39015052467530"	"Le Guin, Ursula K"	"The left hand of darkness"	1969	0.6463730419	0.7939328648	0.6670768242	0.8109234555	0.110064435	0.1485510043	0.1475598229	-3.7098926354	0.0011762718	"black"
"mdp.39015029502112"	"Huxley, Aldous"	"Time must have a stop"	1944	0.2882381361	0.2291434717	0.2750942233	0.2103966192	0.1376186504	0.1835156478	-0.0590946644	1.4747055192	0.1507712542	"gray"
"mdp.39015050556565"	"Hersey, John"	"White lotus | $c: [by] John Hersey."	1965	0.2877783319	0.1294258503	0.267192611	0.0980542887	0.1538678974	0.1405931375	-0.1583524816	6.6951676282	1.93003593317E-009	"gray"
