docid	htid	totaltokens	skipped_pages	path
nyp.33433076087844_1	nyp.33433076087844	46616	0	../data/nyp.33433076087844_1.tsv
hvd.32044009637083	hvd.32044009637083	53388	0	../data/hvd.32044009637083.tsv
nyp.33433075746960_0	nyp.33433075746960	53667	0	../data/nyp.33433075746960_0.tsv
nyp.33433075746960_1	nyp.33433075746960	57232	0	../data/nyp.33433075746960_1.tsv
mdp.39015011950758_0	mdp.39015011950758	43897	0	../data/mdp.39015011950758_0.tsv
mdp.39015011950758_1	mdp.39015011950758	45144	0	../data/mdp.39015011950758_1.tsv
mdp.39015005277770	mdp.39015005277770	56662	0	../data/mdp.39015005277770.tsv
uc1.b3386909_0	uc1.b3386909	82303	0	../data/uc1.b3386909_0.tsv
uc1.b3386909_1	uc1.b3386909	84224	0	../data/uc1.b3386909_1.tsv
uc1.b3386909_2	uc1.b3386909	85554	0	../data/uc1.b3386909_2.tsv
uc1.b4107807_0	uc1.b4107807	58026	0	../data/uc1.b4107807_0.tsv
uc1.b4107807_1	uc1.b4107807	65364	0	../data/uc1.b4107807_1.tsv
mdp.39015063542149_0	mdp.39015063542149	29093	0	../data/mdp.39015063542149_0.tsv
mdp.39015063542149_1	mdp.39015063542149	40227	0	../data/mdp.39015063542149_1.tsv
uiuo.ark+=13960=t6c25j15x_0	uiuo.ark+=13960=t6c25j15x	32903	0	../data/uiuo.ark+=13960=t6c25j15x_0.tsv
uiuo.ark+=13960=t6c25j15x_1	uiuo.ark+=13960=t6c25j15x	31997	0	../data/uiuo.ark+=13960=t6c25j15x_1.tsv
uc1.b4105364	uc1.b4105364	50491	0	../data/uc1.b4105364.tsv
uc2.ark+=13960=t3707xt9q_0	uc2.ark+=13960=t3707xt9q	42699	0	../data/uc2.ark+=13960=t3707xt9q_0.tsv
uc2.ark+=13960=t3707xt9q_1	uc2.ark+=13960=t3707xt9q	42710	0	../data/uc2.ark+=13960=t3707xt9q_1.tsv
njp.32101068784923_0	njp.32101068784923	56304	0	../data/njp.32101068784923_0.tsv
njp.32101068784923_1	njp.32101068784923	58590	0	../data/njp.32101068784923_1.tsv
njp.32101068784923_2	njp.32101068784923	65880	0	../data/njp.32101068784923_2.tsv
uc1.32106001930137_0	uc1.32106001930137	47445	0	../data/uc1.32106001930137_0.tsv
uc1.32106001930137_1	uc1.32106001930137	49635	0	../data/uc1.32106001930137_1.tsv
njp.32101067344661_0	njp.32101067344661	65076	0	../data/njp.32101067344661_0.tsv
njp.32101067344661_1	njp.32101067344661	67817	0	../data/njp.32101067344661_1.tsv
njp.32101067344661_2	njp.32101067344661	63294	0	../data/njp.32101067344661_2.tsv
uc2.ark+=13960=t5j961w9x_0	uc2.ark+=13960=t5j961w9x	61414	0	../data/uc2.ark+=13960=t5j961w9x_0.tsv
uc2.ark+=13960=t5j961w9x_1	uc2.ark+=13960=t5j961w9x	60604	0	../data/uc2.ark+=13960=t5j961w9x_1.tsv
inu.32000000646093_0	inu.32000000646093	67644	0	../data/inu.32000000646093_0.tsv
inu.32000000646093_1	inu.32000000646093	70482	0	../data/inu.32000000646093_1.tsv
uc1.b4105459_0	uc1.b4105459	34570	0	../data/uc1.b4105459_0.tsv
uc1.b4105459_1	uc1.b4105459	35142	0	../data/uc1.b4105459_1.tsv
uc2.ark+=13960=t3222sk2s_0	uc2.ark+=13960=t3222sk2s	59102	0	../data/uc2.ark+=13960=t3222sk2s_0.tsv
uc2.ark+=13960=t3222sk2s_1	uc2.ark+=13960=t3222sk2s	61061	0	../data/uc2.ark+=13960=t3222sk2s_1.tsv
nyp.33433074941562_0	nyp.33433074941562	34206	0	../data/nyp.33433074941562_0.tsv
nyp.33433074941562_1	nyp.33433074941562	33889	0	../data/nyp.33433074941562_1.tsv
nyp.33433074792866_0	nyp.33433074792866	62915	0	../data/nyp.33433074792866_0.tsv
nyp.33433074792866_1	nyp.33433074792866	56390	0	../data/nyp.33433074792866_1.tsv
njp.32101068784931_0	njp.32101068784931	46514	0	../data/njp.32101068784931_0.tsv
njp.32101068784931_1	njp.32101068784931	50341	0	../data/njp.32101068784931_1.tsv
uc1.b4104310_0	uc1.b4104310	50519	0	../data/uc1.b4104310_0.tsv
uc1.b4104310_1	uc1.b4104310	53943	0	../data/uc1.b4104310_1.tsv
uva.x001307832_0	uva.x001307832	46395	0	../data/uva.x001307832_0.tsv
uva.x001307832_1	uva.x001307832	48153	0	../data/uva.x001307832_1.tsv
uva.x001307832_2	uva.x001307832	46400	0	../data/uva.x001307832_2.tsv
nyp.33433075763080_0	nyp.33433075763080	46969	0	../data/nyp.33433075763080_0.tsv
nyp.33433075763080_1	nyp.33433075763080	46284	0	../data/nyp.33433075763080_1.tsv
mdp.39015074379739_0	mdp.39015074379739	31511	0	../data/mdp.39015074379739_0.tsv
mdp.39015074379739_1	mdp.39015074379739	29031	0	../data/mdp.39015074379739_1.tsv
uc2.ark+=13960=t43r0q389_0	uc2.ark+=13960=t43r0q389	36825	0	../data/uc2.ark+=13960=t43r0q389_0.tsv
