docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title
uc1.b4456972_1,uc1.b4456972,107003,random,"Dickens, Charles,",,"Chicago;New York;Belford, Clarke;between 1883 and 1892",1883,1841,v.2,,,Dickens' works
uc1.b4456972_2,uc1.b4456972,105517,random,"Dickens, Charles,",,"Chicago;New York;Belford, Clarke;between 1883 and 1892",1883,1841,v.2,,,Dickens' works
uc1.b4456972_3,uc1.b4456972,104603,random,"Dickens, Charles,",,"Chicago;New York;Belford, Clarke;between 1883 and 1892",1883,1841,v.2,,,Dickens' works
mdp.39015046392760_0,mdp.39015046392760,58872,random,"Balzac, Honoré de,",,New York;D. Appleton & co.;1902,1902,1842,,,,The two young brides;
mdp.39015046392760_1,mdp.39015046392760,57196,random,"Balzac, Honoré de,",,New York;D. Appleton & co.;1902,1902,1842,,,,The two young brides;
uc1.b4127246,uc1.b4127246,35780,random,"Abbott, Jacob,",,Boston;T.H. Carter & Company;1843.,1843,1843,,,,Marco Paul's adventures in pursuit of knowledge
njp.32101066110824_0,njp.32101066110824,45401,random,"Bremer, Fredrika,",,"London;Longman, Brown, Green, and Longmans;1843.",1843,1843,v. 2,,,The president's daughters;
njp.32101066110824_1,njp.32101066110824,44423,random,"Bremer, Fredrika,",,"London;Longman, Brown, Green, and Longmans;1843.",1843,1843,v. 2,,,The president's daughters;
mdp.39015063561917_0,mdp.39015063561917,113774,random,"Lytton, Edward Bulwer Lytton,",,"New York;Lovell, Coryell & company;189-?",1890,1848,v.5,,,The complete works of Edward Bulwer Lytton (Lord Lytton)
mdp.39015063561917_1,mdp.39015063561917,116538,random,"Lytton, Edward Bulwer Lytton,",,"New York;Lovell, Coryell & company;189-?",1890,1848,v.5,,,The complete works of Edward Bulwer Lytton (Lord Lytton)
mdp.39015063561917_2,mdp.39015063561917,119892,random,"Lytton, Edward Bulwer Lytton,",,"New York;Lovell, Coryell & company;189-?",1890,1848,v.5,,,The complete works of Edward Bulwer Lytton (Lord Lytton)
