docid	htid	totaltokens	skipped_pages	path
../data/mdp.39015058065924	mdp.39015058065924	13345	0	../data/mdp.39015058065924.tsv
../data/mdp.39015012896208	mdp.39015012896208	54830	0	../data/mdp.39015012896208.tsv
../data/nyp.33433074915343_0	nyp.33433074915343	55805	0	../data/nyp.33433074915343_0.tsv
../data/nyp.33433074915343_1	nyp.33433074915343	56365	0	../data/nyp.33433074915343_1.tsv
../data/nyp.33433074915343_2	nyp.33433074915343	55887	0	../data/nyp.33433074915343_2.tsv
../data/uc2.ark+=13960=t2g73850s	uc2.ark+=13960=t2g73850s	25136	0	../data/uc2.ark+=13960=t2g73850s.tsv
../data/mdp.39076002242886	mdp.39076002242886	30054	0	../data/mdp.39076002242886.tsv
../data/pst.000019717371_0	pst.000019717371	42551	0	../data/pst.000019717371_0.tsv
../data/pst.000019717371_1	pst.000019717371	42846	0	../data/pst.000019717371_1.tsv
../data/nyp.33433074961263	nyp.33433074961263	36127	0	../data/nyp.33433074961263.tsv
../data/osu.32435064818578_0	osu.32435064818578	33790	0	../data/osu.32435064818578_0.tsv
../data/osu.32435064818578_1	osu.32435064818578	34345	0	../data/osu.32435064818578_1.tsv
../data/mdp.39015002311325_0	mdp.39015002311325	41097	0	../data/mdp.39015002311325_0.tsv
../data/mdp.39015002311325_1	mdp.39015002311325	42138	0	../data/mdp.39015002311325_1.tsv
../data/mdp.39015005896660_0	mdp.39015005896660	45823	0	../data/mdp.39015005896660_0.tsv
../data/mdp.39015005896660_1	mdp.39015005896660	44423	0	../data/mdp.39015005896660_1.tsv
../data/uc1.$b800124_0	uc1.$b800124	41293	0	../data/uc1.$b800124_0.tsv
../data/uc1.$b800124_1	uc1.$b800124	40613	0	../data/uc1.$b800124_1.tsv
../data/mdp.39015011259754_0	mdp.39015011259754	75818	0	../data/mdp.39015011259754_0.tsv
../data/mdp.39015011259754_1	mdp.39015011259754	78526	0	../data/mdp.39015011259754_1.tsv
../data/mdp.39015011259754_2	mdp.39015011259754	78921	0	../data/mdp.39015011259754_2.tsv
../data/uc1.32106018321460_0	uc1.32106018321460	50041	0	../data/uc1.32106018321460_0.tsv
../data/uc1.32106018321460_1	uc1.32106018321460	53039	0	../data/uc1.32106018321460_1.tsv
../data/mdp.39015054028231	mdp.39015054028231	54886	0	../data/mdp.39015054028231.tsv
../data/mdp.39015058073100_0	mdp.39015058073100	60610	0	../data/mdp.39015058073100_0.tsv
../data/mdp.39015058073100_1	mdp.39015058073100	69303	0	../data/mdp.39015058073100_1.tsv
../data/mdp.39015020724129_0	mdp.39015020724129	50208	0	../data/mdp.39015020724129_0.tsv
../data/mdp.39015020724129_1	mdp.39015020724129	49334	0	../data/mdp.39015020724129_1.tsv
../data/mdp.39015020724129_2	mdp.39015020724129	46681	0	../data/mdp.39015020724129_2.tsv
../data/uc1.$b236157_0	uc1.$b236157	37078	0	../data/uc1.$b236157_0.tsv
../data/uc1.$b236157_1	uc1.$b236157	37432	0	../data/uc1.$b236157_1.tsv
../data/mdp.39015033517122	mdp.39015033517122	33491	0	../data/mdp.39015033517122.tsv
../data/mdp.39015052006742	mdp.39015052006742	48838	0	../data/mdp.39015052006742.tsv
../data/mdp.39015066066682_0	mdp.39015066066682	68143	0	../data/mdp.39015066066682_0.tsv
../data/mdp.39015066066682_1	mdp.39015066066682	65417	0	../data/mdp.39015066066682_1.tsv
../data/mdp.39015066066682_2	mdp.39015066066682	66471	0	../data/mdp.39015066066682_2.tsv
../data/uc1.b3346936_0	uc1.b3346936	64604	0	../data/uc1.b3346936_0.tsv
../data/uc1.b3346936_1	uc1.b3346936	64758	0	../data/uc1.b3346936_1.tsv
../data/uc1.b3346936_2	uc1.b3346936	68289	0	../data/uc1.b3346936_2.tsv
../data/pst.000023270350_0	pst.000023270350	54287	0	../data/pst.000023270350_0.tsv
../data/pst.000023270350_1	pst.000023270350	53342	0	../data/pst.000023270350_1.tsv
../data/pst.000023270350_2	pst.000023270350	53210	0	../data/pst.000023270350_2.tsv
../data/nyp.33433076075534_0	nyp.33433076075534	37434	0	../data/nyp.33433076075534_0.tsv
../data/nyp.33433076075534_1	nyp.33433076075534	37834	0	../data/nyp.33433076075534_1.tsv
../data/mdp.39015005099240_0	mdp.39015005099240	34910	0	../data/mdp.39015005099240_0.tsv
../data/mdp.39015005099240_1	mdp.39015005099240	36047	0	../data/mdp.39015005099240_1.tsv
../data/uc1.b3322521_0	uc1.b3322521	32567	0	../data/uc1.b3322521_0.tsv
../data/uc1.b3322521_1	uc1.b3322521	31866	0	../data/uc1.b3322521_1.tsv
../data/mdp.39015008439567_0	mdp.39015008439567	34986	0	../data/mdp.39015008439567_0.tsv
../data/mdp.39015008439567_1	mdp.39015008439567	37320	0	../data/mdp.39015008439567_1.tsv
../data/mdp.39015029502112_0	mdp.39015029502112	60919	0	../data/mdp.39015029502112_0.tsv
../data/mdp.39015029502112_1	mdp.39015029502112	59069	0	../data/mdp.39015029502112_1.tsv
../data/mdp.39015040060918_0	mdp.39015040060918	65497	0	../data/mdp.39015040060918_0.tsv
../data/mdp.39015040060918_1	mdp.39015040060918	58869	0	../data/mdp.39015040060918_1.tsv
../data/mdp.39015040060918_2	mdp.39015040060918	59921	0	../data/mdp.39015040060918_2.tsv
../data/mdp.39015031231569_0	mdp.39015031231569	54632	0	../data/mdp.39015031231569_0.tsv
../data/mdp.39015031231569_1	mdp.39015031231569	56670	0	../data/mdp.39015031231569_1.tsv
../data/nyp.33433076023112_0	nyp.33433076023112	31551	0	../data/nyp.33433076023112_0.tsv
../data/nyp.33433076023112_1	nyp.33433076023112	32821	0	../data/nyp.33433076023112_1.tsv
../data/inu.30000092695687_0	inu.30000092695687	133328	0	../data/inu.30000092695687_0.tsv
../data/inu.30000092695687_1	inu.30000092695687	126176	0	../data/inu.30000092695687_1.tsv
../data/inu.30000092695687_2	inu.30000092695687	129481	0	../data/inu.30000092695687_2.tsv
../data/inu.30000092695687_3	inu.30000092695687	129082	0	../data/inu.30000092695687_3.tsv
../data/pst.000011216162	pst.000011216162	50851	0	../data/pst.000011216162.tsv
../data/mdp.39015056814455_0	mdp.39015056814455	56713	0	../data/mdp.39015056814455_0.tsv
../data/mdp.39015056814455_1	mdp.39015056814455	54782	0	../data/mdp.39015056814455_1.tsv
../data/mdp.39015056814455_2	mdp.39015056814455	54572	0	../data/mdp.39015056814455_2.tsv
../data/mdp.39015017688303	mdp.39015017688303	40613	0	../data/mdp.39015017688303.tsv
../data/mdp.39015000627235	mdp.39015000627235	15063	0	../data/mdp.39015000627235.tsv
../data/inu.30000002191439_0	inu.30000002191439	37974	0	../data/inu.30000002191439_0.tsv
../data/inu.30000002191439_1	inu.30000002191439	38138	0	../data/inu.30000002191439_1.tsv
../data/uc1.b4373265_0	uc1.b4373265	52454	0	../data/uc1.b4373265_0.tsv
../data/uc1.b4373265_1	uc1.b4373265	49780	0	../data/uc1.b4373265_1.tsv
../data/uc1.b3872868_0	uc1.b3872868	34828	0	../data/uc1.b3872868_0.tsv
../data/uc1.b3872868_1	uc1.b3872868	35198	0	../data/uc1.b3872868_1.tsv
../data/mdp.39015014136595	mdp.39015014136595	52887	0	../data/mdp.39015014136595.tsv
../data/mdp.39015018594930_0	mdp.39015018594930	56828	0	../data/mdp.39015018594930_0.tsv
../data/mdp.39015018594930_1	mdp.39015018594930	57913	0	../data/mdp.39015018594930_1.tsv
../data/mdp.39015069302423_0	mdp.39015069302423	51758	0	../data/mdp.39015069302423_0.tsv
../data/mdp.39015069302423_1	mdp.39015069302423	54888	0	../data/mdp.39015069302423_1.tsv
../data/uc1.b4975715	uc1.b4975715	48231	0	../data/uc1.b4975715.tsv
../data/nyp.33433082357611	nyp.33433082357611	26003	0	../data/nyp.33433082357611.tsv
../data/mdp.39015027552358_0	mdp.39015027552358	43267	0	../data/mdp.39015027552358_0.tsv
../data/mdp.39015027552358_1	mdp.39015027552358	45381	0	../data/mdp.39015027552358_1.tsv
../data/uc2.ark+=13960=t3125zp7f_0	uc2.ark+=13960=t3125zp7f	56490	0	../data/uc2.ark+=13960=t3125zp7f_0.tsv
../data/uc2.ark+=13960=t3125zp7f_1	uc2.ark+=13960=t3125zp7f	57867	0	../data/uc2.ark+=13960=t3125zp7f_1.tsv
../data/uc2.ark+=13960=t3125zp7f_2	uc2.ark+=13960=t3125zp7f	55204	0	../data/uc2.ark+=13960=t3125zp7f_2.tsv
../data/uc1.b601407_0	uc1.b601407	32532	0	../data/uc1.b601407_0.tsv
../data/uc1.b601407_1	uc1.b601407	32597	0	../data/uc1.b601407_1.tsv
../data/mdp.39015048416435_0	mdp.39015048416435	45496	0	../data/mdp.39015048416435_0.tsv
../data/mdp.39015048416435_1	mdp.39015048416435	44764	0	../data/mdp.39015048416435_1.tsv
../data/uc1.b3454978	uc1.b3454978	16501	0	../data/uc1.b3454978.tsv
../data/mdp.39015020723915_0	mdp.39015020723915	55703	0	../data/mdp.39015020723915_0.tsv
../data/mdp.39015020723915_1	mdp.39015020723915	51485	0	../data/mdp.39015020723915_1.tsv
../data/mdp.39015035730640	mdp.39015035730640	34656	0	../data/mdp.39015035730640.tsv
../data/mdp.39015056894309_0	mdp.39015056894309	65389	0	../data/mdp.39015056894309_0.tsv
../data/mdp.39015056894309_1	mdp.39015056894309	66399	0	../data/mdp.39015056894309_1.tsv
../data/mdp.39015062109072_0	mdp.39015062109072	47452	0	../data/mdp.39015062109072_0.tsv
../data/mdp.39015062109072_1	mdp.39015062109072	46273	0	../data/mdp.39015062109072_1.tsv
../data/uc1.b3656513	uc1.b3656513	1914	0	../data/uc1.b3656513.tsv
../data/mdp.49015000996430_0	mdp.49015000996430	42471	0	../data/mdp.49015000996430_0.tsv
../data/mdp.49015000996430_1	mdp.49015000996430	44442	0	../data/mdp.49015000996430_1.tsv
../data/uc1.b3132896_0	uc1.b3132896	50739	0	../data/uc1.b3132896_0.tsv
../data/uc1.b3132896_1	uc1.b3132896	49309	0	../data/uc1.b3132896_1.tsv
../data/uc1.b3132896_2	uc1.b3132896	48736	0	../data/uc1.b3132896_2.tsv
../data/mdp.39015049615100_0	mdp.39015049615100	53686	0	../data/mdp.39015049615100_0.tsv
../data/mdp.39015049615100_1	mdp.39015049615100	54932	0	../data/mdp.39015049615100_1.tsv
../data/mdp.39015049615100_2	mdp.39015049615100	50737	0	../data/mdp.39015049615100_2.tsv
../data/uc1.$b395271_0	uc1.$b395271	61453	0	../data/uc1.$b395271_0.tsv
../data/uc1.$b395271_1	uc1.$b395271	60389	0	../data/uc1.$b395271_1.tsv
../data/mdp.39015014443868_0	mdp.39015014443868	55546	0	../data/mdp.39015014443868_0.tsv
../data/mdp.39015014443868_1	mdp.39015014443868	56329	0	../data/mdp.39015014443868_1.tsv
../data/mdp.39015048773991_0	mdp.39015048773991	65639	0	../data/mdp.39015048773991_0.tsv
../data/mdp.39015048773991_1	mdp.39015048773991	65159	0	../data/mdp.39015048773991_1.tsv
../data/mdp.39015048773991_2	mdp.39015048773991	62562	0	../data/mdp.39015048773991_2.tsv
../data/uc1.32106002021571_0	uc1.32106002021571	52122	0	../data/uc1.32106002021571_0.tsv
../data/uc1.32106002021571_1	uc1.32106002021571	53880	0	../data/uc1.32106002021571_1.tsv
../data/mdp.39015066650402_0	mdp.39015066650402	84430	0	../data/mdp.39015066650402_0.tsv
../data/mdp.39015066650402_1	mdp.39015066650402	83666	0	../data/mdp.39015066650402_1.tsv
../data/mdp.39015066650402_2	mdp.39015066650402	83137	0	../data/mdp.39015066650402_2.tsv
../data/njp.32101068169224_0	njp.32101068169224	44684	0	../data/njp.32101068169224_0.tsv
../data/njp.32101068169224_1	njp.32101068169224	44522	0	../data/njp.32101068169224_1.tsv
../data/mdp.39015054155109_0	mdp.39015054155109	35034	0	../data/mdp.39015054155109_0.tsv
../data/mdp.39015054155109_1	mdp.39015054155109	36666	0	../data/mdp.39015054155109_1.tsv
../data/uc1.b4104371	uc1.b4104371	42873	0	../data/uc1.b4104371.tsv
../data/uc2.ark+=13960=t2j67fg4m_0	uc2.ark+=13960=t2j67fg4m	41031	0	../data/uc2.ark+=13960=t2j67fg4m_0.tsv
../data/uc2.ark+=13960=t2j67fg4m_1	uc2.ark+=13960=t2j67fg4m	39933	0	../data/uc2.ark+=13960=t2j67fg4m_1.tsv
../data/uc1.31158002048287_0	uc1.31158002048287	57145	0	../data/uc1.31158002048287_0.tsv
../data/uc1.31158002048287_1	uc1.31158002048287	58723	0	../data/uc1.31158002048287_1.tsv
../data/mdp.39015034422751_0	mdp.39015034422751	70945	0	../data/mdp.39015034422751_0.tsv
../data/mdp.39015034422751_1	mdp.39015034422751	72720	0	../data/mdp.39015034422751_1.tsv
../data/mdp.39015034422751_2	mdp.39015034422751	67439	0	../data/mdp.39015034422751_2.tsv
../data/mdp.39015046435007_0	mdp.39015046435007	47163	0	../data/mdp.39015046435007_0.tsv
../data/mdp.39015046435007_1	mdp.39015046435007	48668	0	../data/mdp.39015046435007_1.tsv
../data/mdp.39076000903778_0	mdp.39076000903778	50502	0	../data/mdp.39076000903778_0.tsv
../data/mdp.39076000903778_1	mdp.39076000903778	54990	0	../data/mdp.39076000903778_1.tsv
../data/uc1.$b326450	uc1.$b326450	56060	0	../data/uc1.$b326450.tsv
../data/pst.000005483969	pst.000005483969	5825	0	../data/pst.000005483969.tsv
../data/mdp.39015054285773_0	mdp.39015054285773	95576	0	../data/mdp.39015054285773_0.tsv
../data/mdp.39015054285773_1	mdp.39015054285773	90201	0	../data/mdp.39015054285773_1.tsv
../data/mdp.39015054285773_2	mdp.39015054285773	100131	0	../data/mdp.39015054285773_2.tsv
../data/mdp.39015066843502_0	mdp.39015066843502	48513	0	../data/mdp.39015066843502_0.tsv
../data/mdp.39015066843502_1	mdp.39015066843502	49292	0	../data/mdp.39015066843502_1.tsv
../data/mdp.39015066843502_2	mdp.39015066843502	47919	0	../data/mdp.39015066843502_2.tsv
../data/uc1.b4095446_0	uc1.b4095446	44408	0	../data/uc1.b4095446_0.tsv
../data/uc1.b4095446_1	uc1.b4095446	42013	0	../data/uc1.b4095446_1.tsv
