"docid","recordid","oclc","locnum","tags","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title"
"mdp.39015059554652",4762270,55096711,"PS3619.T479N54 2004","fantasy_loc","Stevens, Francis.",,"Lincoln|University of Nebraska Press|c2004.",2004,2004,"nbu",,"Horror tales, American|Fantasy fiction, American","Bibliographies|Short stories","The nightmare, and other tales of dark fantasy"
"mdp.39015049615266",5605614,149562047,,"fantasy_loc","Sargent, Stanley C.",,"Lake Orion, Mich.|Elder Signs Press|2004.",2004,2004,"miu",,"Horror tales, American|Fantasy fiction, American","Short stories","Ancient Exhumations +2"
"mdp.39015058135214",4362081,54884542,"PZ3.M99075Si","fantasy_loc","Myers, John Myers,","1906-","Farmingham, MA|NESFA Press|c2004.",2004,2004,"mau",,"Fiction|1906-|Magic|Dictionaries, indexes, etc|Myers, John Myers|History and criticism|Science fiction, American|Imaginary places|Dictionaries|Science fiction, American, English|Fantasy fiction, American","Fiction|Bibliographies","Silverlock : | including The Silverlock companion"
"pst.000066114031",12256275,53441484,"PS3558.A6427D435 2004","fantasy_oclc","Harris, Charlaine.",,"New York|Ace Books|2004.",2004,2004,"nyu",,"Waitresses|City and town life|Fiction|Telepathy|Vampires","Horror fiction|Fiction|Occult fiction","Dead to the world"
"mdp.39015060836189",4987761,56876058,"PS648.S3C36 2005","sf_loc",,,"San Francisco, Calif.|Chronicle Books|c2005.",2005,2005,"cau",,"Human-alien encounters|Fiction|Science fiction, American","Short stories","The campfire collection : | thrilling, chilling tales of alien encounters"
"pst.000066629801",9815300,228466170,,"sf_oclc|fantasy_loc","Brooks, Terry.",,"New York|Ballentine Books|2006, c2005.",2005,2005,"nyu",,"Shannara (Imaginary place)|Magic|Fantasy|Fiction","Novel","Straken"
"mdp.39015060887596",4963038,58985829,"PS648.S3G35 2005","sf_loc",,,"Amherst, NY|Pyr|2005.",2005,2005,"nyu",,"Persecution|Fiction|Superstition|Science fiction, American|Scientists","UnknownGenre","Galileo's children : | tales of science vs. superstition"
"pst.000058960691",12267939,61356453,"PS3566.E234K56 2005","fantasy_loc|juv","Pearson, Ridley.",,"New York|Disney Editions|c2005.",2005,2005,"nyu",,"Fantasy|Holography|Juvenile fiction|Suspense fiction|Cartoon characters|Teenagers|Good and evil|Fiction","Suspense fiction|Fantasy fiction, American|Adventure stories, American|Novel|Fantasy fiction","The kingdom keepers"
"inu.30000103028167",7594254,61687674,"PS3570.U76B75 2005","fantasy_oclc","Turtledove, Harry.",,"Riverdale, NY|Baen Books|New York, NY|Distributed by Simon & Schuster|c2005.",2005,2005,"nyu",,"Refugees|Fiction|Clergy","Fiction|Fantasy fiction","Bridge of the Separator"
"mdp.39015070114023",5652172,144571203,"PR9499.4.D38A61-.Z458O (P-PZ40)+","sf_loc","Datta, Sukanya,","1961-","New Delhi|National Book Trust|2006.",2006,2006,"ii ",,"Science fiction, Indic (English)","Fiction","Once upon a blue moon : | science fiction stories"
"mdp.39015066897003",5397562,77792724,"PR6068.E95G35 2006","sf_loc","Reynolds, Alastair,","1966-","London|Gollancz|2006.",2006,2006,"enk",,"Fiction|Technology and civilization|Science fiction, English","Fiction","Galactic North"
"uc1.32106019397071",7708344,70676025,"PS648.H57F88 2006","sf_loc",,,"Vancouver|Arsenal Pulp Press|c2006",2006,2006,"bcc",,"Short stories|Science fiction|Gays' writings|Fiction|Homosexuality|21st century|Literary collections","Short stories","The future is queer"
"mdp.39015049615100",5596076,77538714,,"sf_loc",,,"Portland, Ore.|Bizarro Books|c2006.",2006,2006,"oru",,"20th century|Short stories, American|21st century|Surrealism (Literature)|Horror tales, American|Underground press publications|Science fiction, American|American fiction|Fantasy fiction, American","Short stories|ContainsBiogMaterial","The bizarro starter kit : | an introduction to the Bizarro genre."
"mdp.39015081739032",6838182,188641494,"PS648.S3F86 2006","sf_loc|fantasy_loc",,,"New York|Ibooks|Berkeley, CA|Distributed by Publishers Group West|2006",2006,2006,"nyu",,"Fiction|Fantasy fiction, American|Science fiction, American|Anthropomorphism","Bibliographies|Short stories","Furry : | the best anthropomorphic fiction ever"
"mdp.39015064900908",5236198,69683189,,"sf_loc",,,"Baltimore, Md.|Cemetery Dance|2006.",2006,2006,"mdu",,"Fantasy|Horror tales|Science fiction","Fiction","Poe's lighthouse : | all new collaborations with Edgar Allan Poe"
"mdp.39015064885208",5251898,62172942,"PR6118.O28L585 2006","fantasy_oclc","Robson, Justina.",,"New York|Bantam Books|2006.",2006,2006,"nyu",,"Fiction|Gods|Love stories","Novel|Love stories|Science fiction","Living next door to the god of love"
"mdp.39015049614988",5594394,166328404,,"fantasy_oclc","Donihe, Kevin L.",,"Portland, OR|Eraserhead Press|c2006.",2006,2006,"oru",,"Fiction|Demonology|Minimum wage|Rape|Murder|Devil|Cities and towns","Novel","Grape City"
"mdp.39015063319969",5147557,62302610,"PS3570.U85S55 2006","fantasy_oclc","Tuttle, Lisa,","1952-","New York|Bantam Books|2006.",2006,2006,"nyu",,,"Novel","The silver bough"
"pst.000057995953",7057790,65208799,,"fantasy_loc","Roberts, Nora.",,"New York|Silhouette Books|c2006.",2006,2006,"nyu",,"Brothers and sisters|Fiction|Love stories, American|Fantasy fiction, American|Time travel","Fiction","Time and again"
"mdp.39015073904594",5666739,166146826,,"fantasy_oclc","Donihe, Kevin L.",,"Portland, OR|Eraserhead Press|2006.",2006,2006,"oru",,"Fiction|Agape|Cyclists|Bicycle racing|Ebola virus disease|Insects","Novel","The greatest fucking moment in sports"
"mdp.39015073911961",5690526,224398119,,"fantasy_loc","Clegg, Douglas,","1958-","New York|Alyson|2006.",2006,2006,"nyu",,"Fiction|Arthurian romances|Gay men|Illegitimate children of royalty|Adaptations|Mordred (Legendary character)|Fantasy","Novel|Historical fiction|Fantasy fiction","Mordred, bastard son"
"mdp.39015067674435",5418230,76962912,"PS648.H6B458 2006","fantasy_loc",,,"Holicong, PA|Prime Books|2006.",2006,2006,"pau",,"Horror tales|Fantasy fiction|Collections","NotFiction|Horror fiction","Best new fantasy"
"mdp.39015066779920",5116478,74908473,,"fantasy_loc","Garcia, Camille Rose,","1970-","Seattle, Wash.|Fantagraphics|2006.",2006,2006,"wau",,"Underground comic books, strips, etc|Magic|Fantasy comic books, strips, etc|Animals|Islands|Comic books, strips, etc|Bottles|United States","UnknownGenre","The magic bottle"
"pst.000061572584",12257626,71329303,,"fantasy_oclc","Roberts, Nora.",,"New York|Jove Books|2006.",2006,2006,"nyu",,"Vampires|Wizards|Fiction|Time travel|Witches","Fiction|Fantasy fiction","Morrigan's cross"
"mdp.39015069971193",5631648,70660377,"PR6053.O48645B66 2006","fantasy_loc","Connolly, John,","1968-","New York|Atria Books|c2006.",2006,2006,"nyu",,"Fairy tales|Fiction|Death|Adaptations|Mothers|Fantasy fiction","Novel","The book of lost things"
"pst.000060768315",7496760,133158577,,"fantasy_oclc","D'Lacey, Chris.",,"New York|Orchard Books|2006",2006,2006,"nyu","D623firs 2006","Bears|Boardinghouses|Dragons|Supernatural|Fiction|Authorship","Novel","Fire star"
"mdp.49015003166726",5542651,63793939,"PS 3556 .A72A6 2006","fantasy_loc","Farmer, Philip Jos̩.",,"Burton, Mich.|Subterranean Press|2006.",2006,1967,"miu",,"Fantasy|Short stories|Science fiction, American","Fiction|Science fiction","The best of Philip Jos̩ Farmer"
"mdp.39015070756146",5604686,124025668,"PR6051.L3H37 2007b","sf_loc","Aldiss, Brian Wilson,","1925-","London|Duckworth|2007.",2007,2007,"enk",,"Imprisonment|Fiction|Religious aspects|Authorship|Torture|Islam|Science fiction","Novel|Science fiction","Harm"
"mdp.39015069234717",5559830,71842830,"PS3554.I3A6 2007","sf_loc","Dick, Philip K.",,"New York|Library of America|2007.",2007,1965,"nyu",,"Science fiction, American","Fiction","Four novels of the 1960s"
"mdp.39015070756401",5616470,126880806,"PS3503.R22N6 2007","sf_loc","Bradbury, Ray,","1920-","New York|Morrow|c2007",2007,2007,"nyu",,"Fantasy fiction, American|Science fiction, American","Fiction","Now and forever : | Somewhere a band is playing and Leviathan 99"
"mdp.39015066843502",5541429,71004053,"PS3568.O243I56 2007","sf_oclc","Robb, J. D.,","1950-","New York|G.P. Putnam's Sons|c2007.",2007,2007,"nyu",,"Fiction|New York|Teachers|New York (State)|Police|Dallas, Eve (Fictitious character)","Fiction|Mystery fiction","Innocent in death"
"mdp.39015081738737",6818717,148858666,,"fantasy_loc","Kiernan, Caitl�n R.",,"Burton, Mich.|Subterranean Press|c2007.",2007,2007,"miu",,"Fantasy fiction, American|Erotic stories, American","Short stories","Tales from the Woeful Platypus"
"mdp.39015074300099",5632377,171021598,"PS3613.O527B58 2007","fantasy_loc","Moning, Karen Marie.",,"New York|Delacorte Press|c2007.",2007,2007,"nyu",,"Fiction|Magic|Magicians|Fairies|sears|Americans|Ireland|Fantasy fiction","Fiction|Fantasy fiction","Bloodfever"
"mdp.39015073817440",5862687,154687250,,"fantasy_loc","Lawson, John Edward.",,"Hyattsville, Md.|Raw Dog Screaming|2007.",2007,2007,"mdu",,"Fiction|Fantasy fiction, American|Families","Short stories","Discouraging at best"
"mdp.39015069302423",5562224,,,"fantasy_oclc","Farmer, Philip Jos̩.",,"Woodstock, NY|Overlook Press|2007.",2007,1981,"nyu",,,"Fiction","The unreasoning mask"
"mdp.39015082722771",5911915,233033842,"PS3623.H38C73 2008","sf_loc|fantasy_loc","What, Leslie.",,"La Grande, OR|Wordcraft of Oregon|2008.",2008,2008,"oru",,"Fantasy fiction, American|Science fiction, American","Fiction","Crazy love : | stories"
"mdp.39015084105009",6878672,181601794,"PS648.S3S53 2008","sf_loc",,,"Nottingham|Solaris|2008.",2008,2008,"enk",,"Science fiction, American","Fiction","Sideways in crime : | an alternate mystery anthology"
"mdp.39015076164287",5689529,166358576,"PR1309.F3T33 2008","fantasy_loc",,,"New York|Del Rey/Ballantine Books|c2008.",2008,1941,"nyu",,"Lewis, C. S|Sources|Fantasy fiction, English|(Clive Staples)|1898-1963","NotFiction|Bibliographies","Tales before Narnia : | the roots of modern fantasy and science fiction"
"mdp.39015077606070",5808934,154744171,"PN6120.95.H727N49x 2008","fantasy_oclc",,,"San Francisco|Tachyon Publications|2008.",2008,2008,"cau",,"Horror tales|Science fiction","Bibliographies|Short stories|Fantasy fiction|Horror fiction","The new weird"
"mdp.39015084104812",6877068,312416274,"PR6119.T79W57 2009","sf_loc","Stross, Charles.",,"London|Orbit|2009.",2009,2009,"enk",,"Science fiction, English","Fiction","Wireless"
"mdp.39015080818050",5964246,316002861,"PS3554.I3915H37 2009","sf_loc","Di Filippo, Paul,","1954-","Hornsea, England|PS Pub.|2009.",2009,2009,"enk",,"Science fiction, American","Fiction|Short stories|Science fiction","Harsh oases"
"mdp.39015080836201",6820134,302072450,"PR6068.E95Z56 2009","sf_loc","Reynolds, Alastair,","1966-","London|Gollancz|2009.",2009,2009,"enk",,"Science fiction, English","Short stories","Zima blue and other stories"
"mdp.39015080843892",6836358,276226099,,"sf_loc",,,"Nottingham|Solaris|2009.",2009,2009,"enk",,"Science fiction, American|Science fiction, English","Short stories","The Solaris book of new science fiction. | $c: edited by George Mann. | $n: Vol. 3 /"
"mdp.39015079150150",5931104,297107570,"PN6071.H727P64 2009","fantasy_loc",,,"Nottingham, UK|Solaris|2009.",2009,2009,"xx ",,"Horror tales|Fantasy fiction","NotFiction|Short stories","POE : | 19 new tales of suspense, dark fantasy, and horror inspired by Edgar Allan Poe"
