"docid","recordid","oclc","locnum","author","authordate","imprint","inferreddate","firstpub","place","enumcron","tags","subjects","genres","title"
"uiuo.ark+=13960=t45q5ks5b",8721352,7127773,,"West,",,"London;Longman, Hurst, Rees, Orme, and Brown;1812.",1812,1812,"enk","v.1","randomB","History;Fiction;Great Britain;Civil War, 1642-1649",,"The loyalists"
"mdp.39015063702545",1805193,67894345,,"Chiari, Pietro.",,"London;Printed by B. M'Millan;1817.",1817,1817,"enk",,"randomB",,,"The prize in the lottery;"
"mdp.39015064003000",281165,66267456,"PZ3.B74","Bray,",,"London;Longman, Brown, Green, and Longmans;1815.",1815,1815,"enk","v.9","randomB",,,"The novels and romances of Anna Eliza Bray"
"uc1.b287469",6525976,6282495,,"Opie, Amelia Alderson,",,"London;Longman, Hurst, Rees, Orme, and Brown;1813.",1813,1813,"enk","v. 3","randomB",,,"Tales of real life"
"uiuo.ark+=13960=t88g98n6f",8718599,48103686,,"Scott, Honoria.",,"London;T. Tegg; [etc.;1813.",1813,1813,"enk","v.1","randomB",,,"The castle of Strathmay; or, Scenes in the North"
"uc2.ark+=13960=t16m37t4v",926945,4330986,,"Smith, Horace,",,"London;Colburn;1826.",1826,1826,"enk","v.1","randomB","History;Henry VIII, 1509-1547;Great Britain;Fiction",,"The Tor hill"
"hvd.32044097914022",9718665,13048718,,"Cooper, James Fenimore,",,"Philadelphia;Carey, Lea and Carey;1827.",1827,1827,"pau","v.2","randomB",,,"The pioneers, or the sources of the Susquehanna"
"uc2.ark+=13960=t1bk1bq2x",7687405,14047747,,"Deloney, Thomas,",,"London;W. Pickering;1827.",1827,1827,"enk",,"randomB",,,"The history of Thomas of Reading;"
"nyp.33433075750954",8667511,5824610,,"Smith, Horace,",,"Boston;Wells & Lilly;1826.",1826,1826,"mau","v. 1","randomB","History;Commonwealth and Protectorate, 1649-1660;Great Britain;Fiction",,"Brambletye House"
"nyp.33433074939004",8664009,9034436,,"Lytton, Edward Bulwer Lytton,",,"New York;Harper & brothers;1837.",1837,1837,"nyu","v. 1","randomB","English fiction",,"Ernest Maltravers"
"hvd.32044004468302",9718610,5911009,"PZ3.C8753Ad","Croker, Marianne Nicholson,",,"London;Fisher, son, and Jackson;1832.",1832,1832,"enk",,"randomB",,,"The adventures of Barney Mahoney"
"uc1.b3322575",7688424,1990287,,"Griffin, Gerald,",,"London;Saunders & Otley;1830.",1830,1830,"xx ","v.3","randomB",,,"The rivals"
"njp.32101066477926",8929098,8499528,,"Ballantine, James,",,"Edinburgh;J. Menzies;1843.",1843,1843,"stk",,"randomB",,,"The gaberlunzie's wallet"
"inu.30000005022805",6058100,28515649,,"Bray,",,"London;Longman, Brown, Green, and Longmans;1845.",1845,1845,"enk",,"randomB","Castro, In????s de;History;Portugal;d. 1355;Fiction;Pedro I, 1357-1367",,"The Talba"
"njp.32101064791443",8921625,8655100,,"Trollope, Frances Milton,",,"London;Henry Colburn;1848",1848,1848,"enk","vol. 3","randomB",,,"Town and country"
"uc2.ark+=13960=t7dr2qt9k",7668091,320126611,,"Moore, H. J.,",,"Boston;Crown;1857.",1857,1857,"mau",,"randomB",,,"Anna Clayton, or, The mother's trial"
"wu.89099912081",8557406,58933061,,"Bremer, Fredrika,",,"London;Bohn;1852-1875.",1852,1852,"enk","v.3","randomB",,,"Frederika Bremer's works"
"wu.89098007339",7092351,6317528,,"Russell, Martha.",,"Boston;John P. Jewett and Company [etc., etc.;1854.",1854,1854,"mau",,"randomB",,,"Leaves from the tree Igdrasyl"
"njp.32101065854521",9245603,42382943,,"Reynolds, George W. M.",,"London;J. Dicks;1855.",1855,1855,"enk",,"randomB",,,"The loves of the harem;"
"uiuo.ark+=13960=t86h4x29z",8721272,8813745,,"Dalrymple, J. Elphinstone,",,"London;Colburn;1851.",1851,1851,"enk","v.2","randomB",,,"The Livingstones"
"njp.32101063580532",8916613,8812547,,"Howard, Mary M.",,"London;J. W. Parker;1850.",1850,1850,"enk",,"randomB",,,"Compton Merivale"
"uiuo.ark+=13960=t71v5vw11",8719233,18154505,"PZ3.D845D","Drury, Anna H.",,"London;Chapman and Hall;1863.",1863,1863,"enk","v.3","randomB",,,"Deep waters"
"uc2.ark+=13960=t58c9x46q",7690540,13340054,,"May, E. J.",,"New York;Routledge, Warne, & Routledge;1864.",1864,1864,"nyu",,"randomB",,,"Dashwood Priory; or, Mortimer's college life"
"mdp.39015071593878",2743394,4202783,,"Cooper, James Fenimore,",,"New York;W. A. Townsend;1860.",1860,1860,"nyu",,"randomB","History;War of 1812;Michigan;Indians of North America;Kalamazoo Valley (Mich.);United States;Fiction",,"The oak openings, or, The bee hunter"
"nyp.33433076023674",8690811,37130815,,"Holmes, Mary Jane,",,"New York;Carleton;1865.",1865,1865,"nyu",,"randomB",,,"The English orphans"
"inu.32000006995882",6059186,11051249,,"Manning, Anne,",,"London;Griffith and Farran;1864.",1864,1864,"enk",,"randomB",,,"The interrupted wedding"
"uiuo.ark+=13960=t2q538k90",8720885,13404042,"PZ3.Y27L","Yates, Edmund Hodgson,",,"London;Chapman and Hall;1866.",1866,1866,"enk","v.3","randomB",,,"Land at last"
"uc2.ark+=13960=t0dv1ff6m",7689857,11400638,,"Le Fanu, Joseph Sheridan,",,"London;Tinsley Brothers;1867.",1867,1867,"enk","v.1","randomB",,,"The tenants of Malory"
"uc2.ark+=13960=t22b8zp9b",7693354,2676399,,"Wakeman, Edgar,",,"San Francisco;A.L. Bancroft;1878.",1878,1878,"xx ",,"randomB","Voyages and travels",,"The log of an ancient mariner"
"uiuo.ark+=13960=t9w09kn28",8721367,56487111,,,,"London;S. Low, Marston, Low & Searle;1872.",1872,1872,"enk","v.2","randomB",,,"Macalpine, or, On Scottish ground"
"uc1.b3324401",6130928,5995080,,"Jefferies, Richard,",,"London;Tinsley;1875.",1875,1875,"enk",,"randomB",,,"Restless human hearts"
"uc1.b247329",6500636,30212619,,"Besant, Walter,",,"London;Chatto & Windus;1879?",1879,1879,"enk",,"randomB",,,"'Twas in Trafalgar's bay"
"uc2.ark+=13960=t70v8dj10",7651778,12597972,,"Baines, William Mortimer.",,"London;Sampson Low, Marston, Low & Searle;1874.",1874,1874,"enk",,"randomB","New Zealand;Social life and customs;Description and travel",,"The narrative of Edward Crewe; or, Life in New Zealand"
"njp.32101067486645",8958186,51985081,"PZ3.W154F","Wallace, Lew,",,"Boston;James R. Osgood and company;1873.",1873,1873,"mau",,"randomB","History;Conquest, 1519-1540;Fiction;Mexico",,"The fair god ;"
"uc1.b50173",6572797,1891850,"HE3018.2.B7H5 1874","Helps, Arthur,",,"Boston;Roberts brothers;1874",1874,1874,"mau",,"randomB","Brassey, Thomas;History;Railroads;1805-1870",,"Life and labours of Mr. Brassey"
"uiuo.ark+=13960=t08w3z582",8720779,21192757,,"Braddon, M. E.",,"London;J. Maxwell;1876.",1876,1876,"enk","v.2","randomB",,,"Joshua Haggard's daughter"
"uiuo.ark+=13960=t8tb1r14r",8721687,21963846,,"Riddell, J. H.,",,"London;Tinsley Brothers;1874.",1874,1874,"enk","v.3","randomB",,,"Mortomley's estate"
"pst.000006723705",9438767,6569998,,"Yonge, Charlotte M.",,"S.l.;Lothrop;c1881].",1881,1881,"xx ",,"randomB","Crusades;Fiction;Eighth, 1270",,"The prince and the page"
"nyp.33433074863972",8668757,37237856,,"Sulieman, Idrees.",,"London;Chatto & Windus;1881.",1881,1881,"enk",,"randomB","English fiction",,"The professor's wife"
"uiuo.ark+=13960=t24b3bw6v",8721725,38642886,,"Carter, Mary Elizabeth.",,"London;R. Bentley;1889.",1889,1889,"enk","v.3","randomB",,,"Mrs. Severn"
"mdp.39015021562676",478140,12760255,,"Hawthorne, Nathaniel,",,"Boston;New York [etc.;Houghton Mifflin co.;c1889",1889,1889,"mau",,"randomB",,,"The great stone face"
"njp.32101073394577",9014903,3913275,"PZ3.P93663 1888",,,"New York;G. W. Dillingham;1888.",1888,1888,"nyu",,"randomB",,,"Princess Nourmahal"
"njp.32101071960767",8980502,777073791,,"Navery, Raoul de,",,"Dublin;M.H. Gill & Son;188-?].",1880,1880,"ie ",,"randomB",,,"John Canada"
