"docid","recordid","oclc","locnum","tags","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title"
"uc1.31822038205001",10824291,3280190,"PZ3.P752N2","sf_bailey","Poe, Edgar Allan,",,"London;Wiley and Putnam;1838",1838,1838,"enk",,,,"The narrative of Arthur Gordon Pym [pseud.] of Nantucket, North America"
"uiuo.ark+=13960=t03x8wg41",8719901,19818258,"PZ3.R919Fr5","sf_oclc|sf_bailey","Russell, William Clark,",,"London;S. Low, Marston, Searle, & Rivington;1887.",1887,1887,"enk","v.1",,,"The frozen pirate"
"mdp.39015004200997",1774603,14770844,,"sf_oclc|sf_bailey","Shelley, Mary Wollstonecraft,",,"London;G. Routledge & sons, limited;1891.",1891,1817,"enk",,,,"Frankenstein"
"nyp.33433075746960",8691145,37295216,,"sf_bailey","Shelley, Mary Wollstonecraft,","Philadelphia;Carey, Lea and Blanchard;1833.",,1833,1826," ","v. 1",,,"The last man"
"uiuo.ark+=13960=t6c25j15x",1692807,2554632,"PZ3.S545L2","sf_bailey","Shelley, Mary Wollstonecraft,",,"London;H. Colburn;1826.",1826,1826,"enk","v.2",,,"The last man"
"mdp.39015037377713",1194465,1046832,"PZ3.S5553Lo16PR6037.H524","sf_oclc|sf_bailey","Shiel, M. P. (Matthew Phipps),","1865-1947.","New York|Arno Press|1975.",1975,1901,"nyu",,,"Fiction","The lord of the sea."
"mdp.39015019144156",664118,2684414,"PZ3.C59Co2","supernat|sf_bailey","Twain, Mark,",,"New York;London;Harper and brothers;c1889",1889,1889,"nyu",,,,"A Connecticut Yankee in King Arthur's court"
"mdp.39015004307362",1802393,4633573,,"sf_oclc|sf_bailey","Verne, Jules,",,"Boston;G. M. Smith & co.;New York;Douglass & Myers; [etc., etc.;1873.",1873,1870,"mau",,,,"Twenty thousand leagues under the seas;"
"pst.000031470421",9819426,8153151,"PQ2469.F77","sf_oclc|sf_bailey","Verne, Jules,","1828-1905.","Garden City, N.Y.|Nelson Doubleday|ca. 1950].",1950,1865,"xxu",,,,"From the earth to the moon ; and Round the moon"
"inu.30000004080028",9397960,20322089,,"sf_oclc|sf_bailey","Wells, H. G. (Herbert George),","1866-1946.","New York|Berkley Pub. Group|1988.",1988,1895,"nyu",,,"NotFiction","The time machine"
"mdp.39015072611786",2476777,17861207,,"sf_loc|sf_oclc|sf_bailey","Wells, H. G. (Herbert George), ","1866-1946.","New York|Harper & Brothers|c1926.",1926,1897,"nyu",,"Science fiction","NotFiction","The war of the worlds"
"uc1.$b808833",9948374,1046833,"PZ3.W299St20PS3157.W318","sf_oclc|sf_bailey","Waterloo, Stanley,","1846-1913.","New York|Arno Press|1975, [c1897",1975,1897,"nyu",,"Fiction|Prehistoric peoples","Science fiction|Fiction","The story of Ab; | a tale of the time of the cave man."
