"docid","recordid","oclc","locnum","tags","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title"
"mdp.39015035777831",485454,1533779,"PR4525.D119Z6","supernat","Dacre, Charlotte,","b. 1782.","London|The Fortune Press|1928",1928,1806,"enk",,,"Fiction","Zofloya; or, The moor, | $c: by Charlotte Dacre (better known as Rosa Matilda) with an introduction by the Rev. Montague Summers."
"mdp.39015004200997",1774603,14770844,,"supernat","Shelley, Mary Wollstonecraft,",,"London;G. Routledge & sons, limited;1891.",1891,1817,"enk",,,,"Frankenstein"
"uc1.31158001441749",10883317,14484699,,"supernat","Maturin, Charles Robert,",,"Edinburgh;A. Constable and Company; [etc., etc.;1821.",1821,1821,"stk","v.0001",,,"Melmoth the wanderer: a tale"
"miun.abw7144.0001.001",438212,3366594,,"supernat","Hogg, James,","1770-1835.","London|A. M. Philpot, ltd.|1926",1926,1824,"enk",,,"NotFiction","The private memoirs and confessions of a justified sinner, | $c: by James Hogg; with an introduction by T. Earle Welby."
"njp.32101072759879",9009257,9988991,,"supernat","Scott, Walter,",,"Edinburgh;A. and C. Black;1868.",1868,1825,"stk",,,,"The talisman"
"uc1.31822038205001",10824291,3280190,"PZ3.P752N2","supernat","Poe, Edgar Allan,",,"London;Wiley and Putnam;1838",1838,1838,"enk",,,,"The narrative of Arthur Gordon Pym [pseud.] of Nantucket, North America"
"uc2.ark+=13960=t2w37sx92",7695279,364129939,,"supernat","Du Maurier, George,",,"London;J.R. Osgood, McIlvaine;1846.",1846,1846,"enk",,,,"Peter Ibbetson"
"mdp.39015008791066",671595,101937,"PZ3.O133D8PS2485","supernat","O'Brien, Fitz James,","1828-1862.","St. Clair Shores, Mich.|Scholarly Press|1970.",1970,1858,"miu",,,"Fiction","The diamond lens and other stories. | $c: With an introd. by Gilbert Seldes. Illus. by Ferdinand Huszti Horvath. New York, W. E. Rudge, 1932."
"mdp.39015011608810",403898,13361384,"PR4661.L5 1985","supernat","Eliot, George,","1819-1880.","New York, N.Y.|Penguin Books--Virago Press|1985.",1985,1859,"nyu",,,"Fiction","The lifted veil / | $c: George Eliot ; with a new afterword by Beryl Gray."
"nnc1.cr00352934",8412806,82117052,,"supernat","Kingsley, Charles,",,"New York;Hurst and Co.;1900?].",1900,1863,"nyu",,"Chimney sweeps;Fairies;Juvenile fiction;Fantasy fiction",,"The water-babies"
"nyp.33433004008656",7669405,237018,"PZ3.W212G","supernat","Phelps, E. Stuart",,"Boston;Fields, Osgood, & Co.;1869.",1869,1868,"mau",,,,"The gates ajar"
"uc1.b3579080",479094,274504,"PZ3.H84Un","supernat","Howells, William Dean,",,"Boston;Houghton, Mifflin and company;1880.",1880,1880,"mau","c.2",,,"The undiscovered country"
"mdp.49015000790080",4461256,85219,"PZ3.O48Be8PR5113","supernat","Oliphant, (Margaret), Mrs.","1828-1897.","Westport, Conn.|Greenwood Press|1970",1970,1880,"ctu",,,"Fiction","A beleaguered city; | being a narrative of certain recent events in the city of Semur, in the Department of the Haute Bourgogne, a story of the seen and the unseen, | $c: by Mrs. Oliphant."
"uc2.ark+=13960=t9r20w429",7674172,13393303,,"supernat","Stevenson, Robert Louis,",,"London;Longmans;1901.",1901,1886,"enk",,,,"The strange case of Dr. Jekyll and Mr. Hyde"
"mdp.39015019144156",664118,2684414,"PZ3.C59Co2","supernat","Twain, Mark,",,"New York;London;Harper and brothers;c1889",1889,1889,"nyu",,,,"A Connecticut Yankee in King Arthur's court"
"uc1.$b808697",7938977,3458239,"PR5819.A1 1891","supernat","Wilde, Oscar,",,"London;New York;Ward, Lock;1891",1891,1890,"enk",,,,"The picture of Dorian Gray"
"mdp.39015021071926",117398,943389,"PZ3.C857Wh","supernat","Crawford, F. Marion",,"London;New York;Macmillan and co.;1891.",1891,1890,"enk",,,,"The witch of Prague"
"njp.32101067644268",1027345,2563227,"PZ3.F455Hol","supernat","Field, Eugene,",,"Cambridge;Chicago;Stone and Kimball;1893.",1893,1893,"ilu",,,,"The holy cross, and other tales"
"nyp.33433074800883",1027045,271266,"PS1064.B3H6 1896","supernat","Bangs, John Kendrick,",,"New York;Harper & brothers;1896.",1896,1896,"nyu",,,,"A house-boat on the Styx;"
"inu.30000117260608",9398014,16000429,,"supernat","Stoker, Bram,","1847-1912.","Norwalk, Conn.|Easton Press|c1965.",1965,1897,"ctu",,,"Fiction","Dracula / | $c: by Bram Stoker ; with an introduction by Anthony Boucher ; illustrated with wood engravings by Felix Hoffman."
"mdp.39015008910344",1775913,67892276,,"supernat","(Herbert George), Wells, H. G.","1866-1946.","London|Macmillan and co., limited|1924.",1924,1897,"enk",,,"UnknownGenre","The invisible man. | a grotesque romance, | $c: by H. G. Wells ..."
"nyp.33433074915343",907116,324489,,"supernat","Morris, William,",,"New York;London;Bombay;Longmans, Green, and Co.;1897.",1897,1897,"nyu",,,,"The water of the Wondrous isles"
"mdp.39015002311325",484213,1462914,"PZ3.J234Tu","supernat","James, Henry,","1843-1916.","New York|The Modern library|1930",1930,1898,"nyu",,,"Fiction","The turn of the screw, | The lesson of the master, | $c: by Henry James, introduction by Heywood Broun."
"mdp.39015030856978",426491,908974,"PZ3.B224E","supernat","Bangs, John Kendrick,",,"New York;London;Harper & brothers;1899.",1899,1899,"nyu",,,,"The enchanted typewriter"
"mdp.39015085432923",5144563,16947978,,"supernat","Barrie, J. M.",,"Toronto;Copp, Clark Company, Ltd.;MDCCCCII [1902",1902,1902,"onc",,"Kensington Gardens (London, England);Fantasy;Juvenile fiction;Children's literature, English",,"The little white bird; or, Adventures in Kensington Gardens"
"njp.32101067633923",8961430,3721575,,"supernat","Haggard, H. Rider",,"London;Ward Locke & Co.;1905.",1905,1905,"enk",,,,"Ayesha"
"uc1.l0070882576",11719975,43496686,,"supernat","Machen, Arthur,","1863-1947.","North Stratford, NH|Ayer Company|1999.",1999,1906,"nhu",,"Fantasy fiction, English|Supernatural|Fiction","Fiction","The house of souls"
