"docid","recordid","oclc","locnum","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title","tags"
"uc2.ark+=13960=t8mc8t512",6674667,2185074,"PZ3.L988Tr","Lydston, G. Frank",,"Kansas City, Mo.;Burton publishing company;1921.",1921,1921,"mou",,,,"Trusty five-fifteen","random"
"uc2.ark+=13960=t3125rf7t",485525,961044,"PZ3.D3805Br","Dell, Floyd,",,"New York;A. A. Knopf;1921.",1921,1921,"nyu",,,,"The briary-bush","random"
"nyp.33433076089493",8658680,1837451,"PS3513.R11B7 1921","Graeve, Oscar.",,"New York;Dodd, Mead and Company;1921.",1921,1921,"nyu",,,,"The brown moth","random"
"njp.32101067627099",9404007,14015562,"PS3501.N333D6 1921","Anderson, Nephi,",,"Salt Lake City, Utah;Bikuben Publishing Company;1921.",1921,1921,"utu",,"Fiction;Mormons",,"Dorian","random"
"uc2.ark+=13960=t9m32pb4b",7647871,361414703,,"Henney, Nella Braddy,",,"Garden, City, N. Y.;Doubleday, Page;1922.",1922,1922,"nyu","v.1","Short stories",,"Masterpieces of adventure","random"
"uc2.ark+=13960=t48p5x45j",7664874,32631296,,"Lee, Jennette,",,"New York;Scribner's;1922, c1919.",1922,1922,"nyu",,,,"The rain-coat girl","random"
"nyp.33433076026040",8690470,19842308,"PS3537.M459T45 1922","Smith, Gordon Arthur,",,"New York;E.P. Dutton & Company;c1922.",1922,1922,"nyu",,,,"There goes the groom","random"
"nyp.33433076075534",8659597,10580423,"PZ3.M135On","MacConnell, Sarah Warder.",,"New York;The Macmillan Company;1922.",1922,1922,"nyu",,,,"One","random"
"njp.32101031813718",8888023,8185923,,,,"Princeton N.J.|1923.",1923,1923,"nju",,,"NotFiction","The second book of the Tuesday evening club.","random"
"uc1.b3346936",7926232,4732599,"PZ3.N79Br10","Norris, Charles Gilman,","1881-1945.","New York|E.P. Dutton & Company|1923",1923,1923,"nyu",,,"Photoplay editions|Fiction","Brass : | a novel of marriage / | $c: by Charles G. Norris ...","random"
"mdp.39076002630676",9930217,2777532,,"Garis, Lilian,","1873-1954.","New York|Grosset & Dunlap|c1924.",1924,1924,"nyu",,"Juvenile fiction|Love stories|Young women|Orphans","Fiction","Joan : | just girl / | $c: by Lilian Garis, illustrated by Thelma Gooch.","random|juv"
"mdp.39015028694761",1910504,1188565,,"O'Flaherty, Liam,","1896-1984.","New York|A.A. Knopf|1926.",1926,1926,"nyu",,,"UnknownGenre","Spring sowing, | $c: by Liam O'Flaherty.","random"
"uc1.$b703632",9970777,808371836,"PZ3.M7942Eu","Morand, Paul,","1888-1976.","London|A. A. Knopf|1926.",1926,1926,"enk",,,"NotFiction","Europe at love,","random"
"uc1.32106015585968",1110439,1558209,,"(Aleksandra), Kollontaĭ, A.","1872-1952.","New York|Seven Arts Publishing Company|1927.",1927,1927,"   ",,,"NotFiction","Red love, | $c: by Alexandra Kollontay.","random"
"uc1.$b137584",6622638,30380657,,"Lloyd, J. H.",,"London|Heath Cranton|1927.",1927,1927,"enk",,,"NotFiction","Trevor of Nant Gwynant, | $c: by J.H. Lloyd.","random"
"inu.32000005497468",9398049,6060962,"PZ3.H5677TePR6015.I53","Hilton, James,","1900-1954.","London|T. Butterworth|1927.",1927,1927,"enk",,,"Fiction","Terry, | $c: by James Hilton.","random"
"uc1.32106019365698",7131370,47104998,,"Phillpotts, Eden,","1862-1960.","London|Macmillan|1927-28.",1927,1927,"enk","v.16",,"Fiction","Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.","random"
"mdp.39015012268150",589582,1744018,,"Kennedy, Margaret,","1896-1967.","London|W. Heinemann|1928.",1928,1928,"enk",,,"Fiction","The game and the candle.","random"
"mdp.39015004847813",1370562,1621796,"PS645.V35",,,"New York|Century|1928",1928,1928,"nyu",,"Short stories, American|Thanksgiving Day","Short stories","Thanksgiving day in modern story / | $c: edited by Maud Van Buren and Katharine Isabel Bemis.","random"
"uc1.$b614959",6096240,7025187,,"Frank, Leonhard,","1882-1961.","London|P. Davies|1928.",1928,1928,"enk",,,"Fiction","The cause of the crime / | $c: by Leonhard Frank.","random"
"uc1.$b312361",243691,3690449,"PZ3.R219eSi","Rea, Lorna, Mrs.",,"New York|London|Harper & brothers|1929.",1929,1929,"nyu",,,"Fiction","Six Mrs. Greenes, | $c: by Lorna Rea.","random"
"wu.89075109389",7466162,12364507,,"Dekobra, Maurice,","1885-1973.","New York|Macaulay co.|1930",1930,1930,"nyu",,,"Fiction","Venus on wheels, | $c: by Maurice Dekobra.","random"
"uc1.b3116725",6103627,2619864,"PZ3.W6776Pat","Williamson, Henry,","1895-1977.","New York, N. Y.|E. P. Dutton & co., inc.|c1930",1930,1930,"nyu","copy 2","Fiction|World War, 1914-1918","Fiction","The patriot's progress, | being the vicissitudes of Pte. John Bullock | $c: related by Henry Williamson and drawn by William Kermode.","random"
"uc1.$b312400",6541400,3487507,"PZ3.R5106Oc","Ritchie, Alice,","d.1941.","London|L. and Virginia Woolf at the Hogarth Press|1930.",1930,1930,"xx ",,,"NotFiction","Occupied territory | $c: [by] Alice Ritchie.","random"
"mdp.39015066650402",1108480,329781,"PZ3.G678By","Gorky, Maksim,","1868-1936.","New York|J. Cape and H. Smith|c1930",1930,1930,"nyu",,,"NotFiction","Bystander,","random"
"uc1.$b585248",8743269,1854110,"PZ3.L362Mu","Laubreaux, Alin.",,"New York|E.P. Dutton & Co., Inc.|c1931",1931,1931,"nyu",,,"Fiction","Mulatto Johnny, | $c: by Alin Laubreaux; translated from the French by Coley Taylor.","random"
"uc1.32106014315219",7127419,38997486,,"Charteris, Leslie,","1907-1993","Garden City, N.Y.|Pub. for the Crime club, inc., by Doubleday, Doran & company, inc.|1931.",1931,1931,"   ",,,"NotFiction","The last hero.","random"
"uc1.$b236157",6493933,2605872,"PZ3.D2894Re","Davies, Rhys,","1901-1978.","London|New York|Putnam|1932",1932,1932,"xx ",,,"NotFiction","The red hills.","random"
"mdp.39015057167572",114826,8443977,"PZ3.A3632So2","Aldington, Richard,","1892-1962.","Garden City, N.Y.|Doubleday, Doran & Company, inc.|1932.",1932,1932,"nyu",,,"Fiction","Soft answers, | $c: by Richard Aldington.","random"
"uc1.$b236260",1025326,3132702,"PZ3.G139Ov","Galsworthy, John,","1867-1933.","London|W. Heinemann|1933",1933,1933,"enk",,,"Fiction","Over the river, | $c: by John Galsworthy.","random"
"mdp.39015012210152",438442,9674663,,"Hilton, James,","1900-1954.","New York|London|Harper & brothers|1933.",1933,1933,"nyu",,,"Fiction","Was it murder?","random"
"uc1.$b87301",6593442,1572895,"PZ3.D445","Derleth, August William,","1909-1971.","New York|Loring & Mussey|1935.",1935,1935,"nyu",,"History | Fiction","Fiction","Place of hawks / | $c: August W. Derleth ; illustrated with wood-engravings by George Barford.","random"
"uc1.$b56307",6575798,1840691,"PZ3.A9267Ro","Austin, F. Britten (Frederick Britten),","1885-1941.","New York|Frederick A. Stokes company|1935.",1935,1935,"nyu",,"Fiction|Emperor of the French|I|Italian Campaign, 1796-1797|Napoleon|1769-1821","Fiction","The road to glory; | a biographical novel of Napoleon, | $c:  by F. Britten Austin.","random"
"uc1.$b312780",6541702,16991899,,"Wentworth, Patricia.",,"Philadelphia and London|Lippincott|c1935.",1935,1935,"pau",,,"Fiction","Blindfold / | $c: by Patricia Wentworth.","random"
"mdp.39015008871231",1199704,2231543,"PT7511.L3S33 1936","Halldór Laxness,","1902-1998.","Boston|Houghton Mifflin|1936.",1936,1936,"mau",,,"Fiction","Salka Valka : | a novel of Iceland / | $f: translated by F.H. Lyon.","random"
"uc1.b4089000",6150446,17950565,,"Sinclair, Upton,","1878-1968.","New York|Pasadena, Calif.|The author|c1938",1938,1938,"nyu",,,"Fiction","Little steel | $c: [by] Upton Sinclair.","random"
"uc1.$b660183",6099511,2025419,"PZ3.B79492Ge","Brophy, John,","1899-1965.","London|Collins|1939",1939,1939,"enk",,"1564-1616|Shakespeare, William|In literature","NotFiction|Bibliographies","Gentleman of Stratford; | a novel | $c: by John Brophy.","random"
"mdp.39015071426368",100023972,10658602,,"Trotter, Melvin E. (Melvin Earnest),","1870-1940.","London|Marshall, Morgan & Scott|Grand Rapids, Mich.|Zondervan Pub. House|1939?",1939,1939,"enk",,"Michigan|City missions|Religion|Grand Rapids","NotFiction","These forty years / | $c: by Melvin E. Trotter ; foreword by G. Campbell Morgan ; an appreciation by Harry Ironside.","random"
"wu.89008854226",1200521,1678812,"PT8175.G9S46 1939a","Gunnarsson, Gunnar,","1889-1975.","Indianapolis|New York|the Bobbs-Merrill company|c1939",1939,1939,"nyu",,,"NotFiction","Ships in the sky, | $c: compiled from Uggi Greipsson's notes, by Gunnar Gunnarsson.","random"
"uc1.$b73564",1197447,284959,"PZ3.H6707De","Hoellering, Franz,","1896-","Boston|Little, Brown|1940.",1940,1940,"mau",,,"Fiction","The defenders / | $c: by Franz Hoellering ; translated from the German by Ludwig Lewisohn.","random"
"osu.32435000716878",100819540,1375104,,"Hichens, Robert (Robert Smythe),","1864-1950.","New York|Doubleday, Doran & company, inc.|1940.",1940,1940,"   ",,,"UnknownGenre","That which is hidden, | a novel.","random"
"mdp.39015067116254",1509712,406534,,"Buck, Frank,","1882-","New York|R. M. McBride & company|c1941",1941,1941,"|||",,,"NotFiction","All in a lifetime, | $c: by Frank Buck, with Ferrin Fraser.","random"
"mdp.39015002201559",381648,8990772,"PZ3.A4372Tr","Allingham, Margery,","1904-1966.","New York|Published for the Crime Club by Doubleday, Doran & co., inc.|1941.",1941,1941,"nyu",,,"Fiction","Traitor's purse.","random"
"pst.000029279036",7075759,14024840,,,,"New York|Modern Library|c1941].",1941,1941,"xx ",,,"NotFiction","Three famous murder novels : | complete and unabridged / | $c: Selected, and with an introd. by Bennett A. Cerf.","random"
"pst.000032467581",9819443,28836335,"PR9619.3.W5L58 1993","White, Patrick,","1912-1990","London|New York|Penguin Books|1993?], c1941.",1941,1941,"xxk",,,"NotFiction","The living and the dead / | $c: Patrick White.","random"
"mdp.39015031231569",432142,5360866,"PZ3.D3738N1","Delafield, E. M.,","1890-1943.","New York|London|Harper & brothers|c1941",1941,1941,"nyu",,,"Fiction","No one now will know, | $c: by E. M. Delafield [pseud.]","random"
"uc1.b3132896",6108037,296829,"PZ1.S75Wo","Speare, Morris Edmund,","1884-1974.","Cleveland|New York|The World Publishing Company|1942",1942,1942,"ohu",,"Short stories","Fiction","World's great short stories; | masterpieces of American, English and continental literature, | $c: edited, with an introduction, by M.E. Speare ...","random"
"wu.89070951728",9185922,1836749,"PZ3.W8685Ed","Woods, William Howard,","1916-","Philadelphia|New York [etc.|J.B. Lippincott company|c1942",1942,1942,"pau",,"World War, 1939-1945|Fiction","Fiction","The edge of darkness, | $c: by William Woods.","random"
"uc1.$b98779",6599891,16701221,,"Pressburger, Emeric,","1902-1988.","London, etc.|H.M. Stationery off.|1942",1942,1942,"enk",,,"NotFiction","One of our aircraft is missing, | $c: by Emeric Pressburger.","random"
"mdp.39015001153728",150279,585893,"PZ3F272Go","Faulkner, William,","1897-1962.","New York|Random House|1942",1942,1942,"nyu",,,"Fiction","Go down, Moses, | and other stories, | $c: by William Faulkner.","random"
"uc1.$b87002",583025,280759,"PZ3.B8555PR","Buck, Pearl S. (Pearl Sydenstricker),","1892-1973.","New York|The John Day Company|1943",1943,1943,"nyu",,"Fiction|History|1937-1945","Fiction","The promise, | $c: by Pearl S. Buck.","random"
"uc1.b4101908",1031224,299896,,"Estes, Eleanor,","1906-1988.","Harcourt, Brace and Company|1943",1943,1943,"xx ",,,"NotFiction","Rufus M.","random"
"mdp.39015030704863",194255,2341755,,"Mann, Leonard,","1895-","Melbourne|Robertson & Mullens Ltd.|1944",1944,1944,"at ",,"Fiction|World War, 1914-1918","Fiction","Flesh in armour; | a novel, | $c: by Leonard Mann.","random"
"uc1.$b795583",9953513,7148654,,"Roberts, Cecil,","1892-1976.","London|Hodder & Stoughton|1944.",1944,1944,"enk",,,"NotFiction","So immortal a flower / | $c: Cecil Roberts.","random"
"mdp.39015005754794",586086,3777483,"PZ3.B8778Lau","Bulosan, Carlos.",,"New York|Harcourt, Brace and company|1944",1944,1944,"nyu",,,"NotFiction","The laughter of my father, | $c: by Carlos Bulosan.","random"
"uc1.$b85988",1028205,299662,"PZ3.B463905Yo","Best, Herbert,","1894-","New York|MacMillan|1944.",1944,1944,"nyu",,,"Fiction","Young'un / | $c: by Herbert Best.","random"
"uc1.$b112707",6607539,1833755,"PN2287.L27A3 1944","Landis, Carole,","1919-1948.","New York|Random house|1944",1944,1944,"nyu",,"Soldiers|War work|Recreation|World War, 1939-1945","NotFiction","Four Jills in a jeep, | $c: by Carole Landis, illustrated by Lily Cushing.","random"
"uc1.b4382620",6230211,1110610,,"Hecht, Ben,","1893-1964.","New York|Grosset & Dunlap|c1945",1945,1945,"nyu",,,"Fiction","The collected stories of Ben Hecht, | $c: prefaced by Some introductory thoughts by the author","random"
"osu.32435052976644",100820371,3366355,"PZ7.B674Red","Bowen, Robert Sidney,","1900-1977.","New York|Grosset & Dunlap|1945",1945,1945,"nyu",,"World War, 1939-1945|Fiction","Fiction","Red Randall in Burma, | $c: by R. Sidney Bowen ..","random"
"mdp.39015064833190",629222,9162530,"PZ3.M22399Tw","MacLennan, Hugh,","1907-1990.","New York|Duell, Sloan and Pearce|1945",1945,1945,"nyu",,,"Fiction","Two solitudes, | $c: by Hugh MacLennan.","random"
"uc1.$b299909",6533345,3622043,"PZ3.C9158Dg","Cunningham, Albert Benjamin,","1888-1962.","New York|Dutton|1945.",1945,1945,"nyu",,,"Fiction","Death visits the apple hole.","random"
"uc1.$b244727",10102310,2133346,"PZ3.L825To2PR6023.O35","Lofts, Norah,","1904-1983.","New York|Knopf|1946.",1946,1946,"nyu",,"Indentured servants|Social classes","Fiction","To see a fine lady / | $c: Norah Lofts.","random"
"osu.32435064818578",100825627,7470186,,"Dern, Peggy.",,"New York|Arcadia House, Inc.|1946.",1946,1946,"nyu",,"Conduct of life|Remarriage|Fiction|Man-woman relationships|Parent and adult child","Love stories|Fiction","Heart's home / | $c: by Peggy Dern.","random"
"mdp.39015006398542",1013692,406304,,"Donovan, Frank Pierce,","1909-",,1946,1946,"|||",,"Railroad stories","NotFiction","Headlights and markers; | an anthology of railroad stories, | $c: edited by Frank P. Donovan, jr., and Robert Selph Henry. New York, Creative age press, inc. _1946_","random"
"uc1.$b87329",6593462,7433267,,"Franklin, Miles.",,"Sydney|London|Angus and Robertson|1947.",1947,1947,"at ",,,"NotFiction","All that swagger, | $c: by Miles Franklin.","random"
"uc1.$b312714",6541648,846016,"PZ3.T97988Re","Tyre, Nedra.",,"New York|Simon and Schuster|1947.",1947,1947,"xx ",,,"NotFiction","Red wine first.","random"
"pst.000001681314",8385190,4525528,"PZ8.1.S95Ch","Sutcliff, Rosemary.",,"Oxford|Oxford University Press|1950].",1950,1950,"xx ",,"Robin Hood (Legendary character)","NotFiction","The Chronicles of Robin Hood / | $c: Illustrated by C. Walter Hodges.","random"
"mdp.39015030699121",1504497,557863,"S521R48","Rich, Louise Dickinson,","1903-1991.","Philadelphia|Lippincott|1950.",1950,1950,"us ",,"Maine|Country life","NotFiction","My neck of the woods.","random"
"pst.000006181741",7025413,657031,"PZ3.T21767Wo","Taylor, Peter,","1917-1994","New York|Harcourt, Brace|1950].",1950,1950,"xx ",,,"NotFiction","A young woman of means.","random"
"uc1.b3595548",6682443,6908724,,"Moravia, Alberto,","1907-1990.","London|Secker & Warburg|1950.",1950,1950,"enk",,,"NotFiction","Disobedience, | $c: [by Alberto Moravia [pseud.] Translated by Angus Davidson.","random"
"uc1.$b102763",6602018,1805733,"PZ3.G7554Go","Gragg, Frances.",,"New York|Duell, Sloan and Pearce|c1950.",1950,1950,"nyu",,,"NotFiction","Golden Valley : | a novel of California / | $c: by Frances Gragg and George Palmer Putnam.","random"
"mdp.39015016444526",388404,966874,"PZ3.F2465Th","Farrell, James T. (James Thomas),","1904-1979.","New York|Vanguard Press|1951",1951,1951,"nyu",,,"Fiction","This man and this woman.","random"
"uc1.$b244812",6499038,30108433,,"Shohet, Jacqueline.",,"London|Harvill Press|1951",1951,1951,"enk",,,"NotFiction","Jacob's ladder.","random"
"uc1.b3295175",6129028,5293010,,"Singh, Huthi.",,"London|Constable|1951.",1951,1951,"enk",,,"Fiction","Maura / | $c: Huthi Singh ; with an introduction by E. M. Forster.","random"
"uc1.$b102972",6602146,1637543,"PZ3.H86295Gl","Hubbell, Catherine.",,"New York|Norton|1951",1951,1951,"nyu",,,"Fiction","The glittering shores, | a novel.","random"
"inu.32000014416269",6073612,2634598,,"Salmon, E. Marling.",,"London|Macmillan|1952.",1952,1952,"enk",,"Africa, East|Campaigns|World War, 1939-1945","NotFiction","Beyond the call of duty : | African deeds of bravery in wartime.","random"
"uc1.$b242926",6497789,2141194,,"Hanley, James,","1901-","London|Macdonald|1952",1952,1952,"enk",,,"NotFiction","The closed harbor.","random"
"uc1.$b312841",6541741,1492167,"PZ4.W742Wh","Willson, Meredith,","1902-1984.","Garden City, N. Y.|Doubleday|1952.",1952,1952,"xx ",,,"NotFiction","Who did what to Fedalia?","random"
"uc1.$b87098",6593315,3360156,"PZ3.C3845Me","Charques, Dorothy.",,"London|Murray|1952",1952,1952,"enk",,,"NotFiction","Men like shadows.","random"
"mdp.39015004269125",1215006,1896945,"PZ3.Q313Is","Queffélec, Henri,","1910-","New York|Dutton|1952.",1952,1952,"nyu",,,"Fiction","Island priest; | $c: translated from the French by James Whitall.","random"
"uc1.$b103191",276675,1739135,"PZ4.M759Se","Montague, Kate Bigelow.",,"New York|J. Day Co.|1952",1952,1952,"nyu",,,"Fiction","Send the wise wind.","random"
"mdp.39076002199037",9926193,8039419,,"Sutcliff, Rosemary.",,"London|Oxford University Press|1952.",1952,1952,"enk",,"Juvenile fiction|16th century|Social life and customs","Fiction","Brother Dusty-Feet / | $c: Rosemary Sutcliff ; illustrated by C. Walter Hodges.","random|juv"
"uc1.$b322746",115135,28773214,"PZ3.B17028So","Baker, George Edward,","1902-","London|J. Barrie|1952.",1952,1952,"enk",,,"Fiction","Son of Hylas.","random"
"uc1.b4097965",6153064,1581689,"PZ4.B784Bam","Bowen, Robert O.,","1920-","New York|Knopf|1953.",1953,1953,"xx ",,,"NotFiction","Bamboo.","random"
"osu.32435064823644",2858933,38052967,,"Gotshall, Jack.",,"New York, N.Y.|Fawcett Publications|1953.",1953,1953,"nyu",,,"Fiction|Domestic fiction","Pappy and the promised land / | $c: by Jack Gotshall.","random"
"uc1.$b101689",6601319,5052706,,"Edwards, Charlotte.",,"New York|McGraw-Hill|c1953.",1953,1953,"xx ",,,"Fiction","The right place for love / | $c: by Charlotte Edwards.","random"
"pst.000063368413",7064906,316814516,"PZ4.P489Sp 2","Pettit, Paul.",,"New York|Harper|c1953].",1953,1953,"xx ",,,"NotFiction","The Spaniard.","random"
"mdp.39015002756883",1377849,1578789,"PS3537.A826L3","Saroyan, William,","1908-1981.","Garden City, N.Y.|Doubleday|1953.",1953,1953,"nyu",,,"Fiction","The laughing matter : | a novel / | $c: by William Saroyan.","random"
"uc1.$b114431",6608333,350715,"PZ5.S42Bat","Scoggin, Margaret Clara,","1905-","New York|Knopf|1953.",1953,1953,"nyu",,"Fiction|Short stories|World War, 1939-1945","Fiction","Battle stations; | true stories of men in war.","random"
"mdp.39015013281632",1187430,734102,"PZ3.T6715Cp","Tracy, Don,","1905-1976.","New York|Dial Press|1953.",1953,1953,"nyu",,"War of 1812|History | Fiction","NotFiction","Crimson is the Eastern Shore.","random"
"mdp.39015065331327",1061450,2177131,"PZ3.Z143Fl","Zakrutkin, Vitaliĭ.",,"Moscow|Foreign Languages Pub. House|1954.",1954,1954,"rur",,,"Fiction","Floating stanitsa. | $c: [Translated from the Russian by Bernard Isaacs]","random"
"uc1.$b100790",6600963,778410,,"Harwood, Alice.",,"Indianapolis|Bobbs-Merrill|1954",1954,1954,"xx ","v. 1",,"NotFiction","The strangeling, | a Victorian novel.","random"
"mdp.39076002244338",9926628,1498739,,"Simont, Marc.",,"New York|Harper & Brothers|c1954.",1954,1954,"nyu",,"Juvenile fiction|Singers|Sopranos (Singers)|Mice","Fiction","Mimi / | $c: story and pictures by Marc Simont.","random|juv"
"inu.32000009177983",6059639,12064157,,"English, Isobel.",,"London|A. Deutsch|1954",1954,1954,"enk",,,"NotFiction","The key that rusts.","random"
"uc1.$b400794",1015710,186478,"PZ1.S639Mo","Slonim, Marc,","1894-1976.","New York|Simon and Schuster|1954.",1954,1954,"nyu",,"Short stories, English|Translations into English|Translations from Italian|Short stories, Italian","Fiction","Modern Italian short stories.","random"
"mdp.39015058806400",4924624,1580718,"PZ4.L95Cr","Lugt, Arie van der.",,"New York|Random House|c1954.",1954,1954,"nyu",,"Fiction|Physicians|Netherlands","Fiction","The crazy doctor / | $c: Arie van der Lugt ; translated from the Dutch by Alfred van Ameyden van Duym.","random"
"uc1.$b245068",6499216,3213064,,"Van Druten, John,","1901-1957.","Melbourne|London|W. Heinemann|c1955.",1955,1955,"xx ",,,"NotFiction","The vicarious years / | $c: by John Van Druten.","random"
"uc1.$b129195",1054926,2323130,"PZ3.P756Sh","Polevoĭ, Boris.",,"Moscow|Foreign Languages Pub. House|1955.",1955,1955,"rur",,,"NotFiction","Shores of a new sea; | short stories.","random"
"mdp.39015003677203",391576,1433433,"PZ3.F7798So","Fosburgh, Hugh,","1916-","New York|Scribner|1955.",1955,1955,"nyu",,,"Fiction","The sound of white water.","random"
"mdp.39015003472407",661821,1124161,"PZ3.A898G2","Auchincloss, Louis.",,"Boston|Houghton Mifflin|1956.",1956,1956,"mau",,,"Fiction","The great world and Timothy Colt.","random"
"mdp.39015008877378",538359,2146314,"PR6023.I582D3","Linklater, Eric,","1899-1974.","London|J. Cape|1956",1956,1956,"enk",,,"Fiction","The dark of summer.","random"
"uc1.$b103926",6602671,1376450,"PZ4.H952Mad","Huntington, Gladys Parish.",,"New York|Viking Press|1956.",1956,1956,"nyu",,,"Fiction","Madame Solario; | [a novel]","random"
"mdp.39015016445929",622909,280589,"PZ3.C3886Is","Chase, Ilka,","1905-1978.","Garden City, N.Y.|Doubleday|1956.",1956,1956,"nyu",,,"Fiction","The island players.","random"
"mdp.39015016414578",629510,3425149,"PZ4.M374Sp","Marsten, Richard,","1920-","New York|Holt|1956",1956,1956,"nyu",,,"Fiction","The spiked heel.","random"
"uc1.b4095446",6152325,1286828,"PZ3.H2421Cm","Harris, John,","1916 or 17-","New York|W. Sloane Associates|1956",1956,1956,"xx ",,,"NotFiction","Close to the wind.","random"
"umn.319510021050813",100617064,62358267,,"Kawabata, Yasunari,","1899-1972.","New York|A.A. Knopf|1956.",1956,1956,"nyu",,,"NotFiction","Snow country, and Thousand cranes : | the Nobel Prize edition of two novels / | $c: Translated from the Japanese by Edward G. Seidensticker.","random"
"uc1.b3462074",6304713,1648615,"PZ4.H945Se","Hunter, Evan,","1926-2005.","New York|Simon and Schuster|1956.",1956,1956,"nyu",,,"Fiction","Second ending; | $c: a novel.","random"
"uc1.$b242576",6497546,963417,"PZ4.F199Mo","Fane, Julian,","1927-","New York|Reynal|1957",1957,1957,"nyu",,,"Fiction","Morning.","random"
"uc1.b3810942",665314,1248028,"PZ3.C621Mas","Cloete, Stuart,","1897-1976.","Boston|Houghton Mifflin|1957.",1957,1957,"xx ",,,"NotFiction","The mask.","random"
"mdp.39015016435409",589805,3372318,,"Kennedy, Margaret,","1896-1967.","London|Macmillan|1957.",1957,1957,"enk",,,"Fiction","The heroes of Clone.","random"
"uc1.$b103269",6602330,1392279,"PZ3.W7256Am","Winsor, Kathleen.",,"New York|Putnam|1957",1957,1957,"nyu",,,"Fiction","America, with love.","random"
"mdp.39015066677249",1225511,933734,"PZ3.M7683De2","Montherlant, Henry de,","1896-1972.","New York|Noonday Press|1957",1957,1957,"nyu",,,"NotFiction","Desert love.","random"
"mdp.39015005093474",1398844,371487,"PZ3.P867At","Powell, Anthony,","1905-2000.","Boston|Little, Brown|c1957",1957,1957,"mau",,,"NotFiction","At Lady Molly's.","random"
"mdp.49015000996430",4482329,366569,,"O'Connor, Frank,","1903-1966.","New York|Knopf|1957.",1957,1957,"nyu",,,"Fiction","Domestic relations; | stories | $c: by Frank O'Connor.","random"
"mdp.39015016424205",629820,41673695,,"Mankowitz, Wolf.",,"London|A. Deutsch|1957",1957,1957,"enk",,,"NotFiction","The Mendelman fire.","random"
"inu.30000055881548",6940314,1049655,"GR203.L5Z6 1959","Zobarskas, Stepas,","1911-","Brooklyn|G. J. Rickard|1959",1959,1959,"nyu",,"Tales|Lithuania","NotFiction","Lithuanian folk tales. | $c: Illustrated by Ada Korsakaite.","random"
"mdp.39015016442199",312740,66268294,,"Edwards, Edward J.,","1904-","Dublin|Clonmore & Reynolds|1959|London|Burns, Oates & Washbourne, London agents|1959.",1959,1959,"ie ",,"Missions|Fiction|Philippines","Fiction","Thy people, my people / | $c: E.J. Edwards","random"
"uc1.$b105503",6603593,666439,,"Slaughter, Frank G. (Frank Gill),","1908-2001.","Garden City, N.Y.|Doubleday|1959.",1959,1959,"nyu",,,"Fiction","The thorn of Arimathea.","random"
"mdp.39015016454616",431708,1426737,"PZ4.B716Ar","Bonner, Paul.",,"New York|Scribner|1959",1959,1959,"nyu",,,"Fiction","The art of Llewellyn Jones.","random"
"mdp.39015002661273",1911475,424376,,"Settle, Mary Lee.",,"New York|Viking Press|1960.",1960,1960,"nyu",,,"UnknownGenre","Know nothing, | a novel.","random"
"uc1.$b81528",634417,289258,"PZ3.M8346Ce","Morris, Wright,","1910-","New York|Atheneum|1960.",1960,1960,"nyu",,,"Fiction","Ceremony in Lone Tree.","random"
"uc1.$b785392",9519540,254458616,,"Astley, Thea.",,"London|Angus and Robertson|1960.",1960,1960,"   ",,,"NotFiction","A descant for gossips, | a novel.","random"
"mdp.39015002750696",1377579,1451869,"PS3535.O765S45","Roth, Arthur J.,","1925-","New York|T. Crowell|c1961",1961,1961,"nyu",,,"NotFiction","The shame of our wounds.","random"
"osu.32435063455158",100825663,7538290,,"Kane, Frank,","1912-1968.","New York|Dell Pub. Co.|1961.",1961,1961,"nyu",,"Liddell, Johnny (Fictitious character)|Fiction","Fiction|Mystery fiction","Frank Kane's Stacked deck.","random"
"mdp.39015010684630",1226995,479052,"PZ3.S5855Fp","Silone, Ignazio,","1900-1978.","New York|Harper|1961",1961,1961,"nyu",,,"NotFiction","The fox and the camellias.","random"
"mdp.39015002609116",1187628,607007,"PZ4.U76Mi","Uris, Leon,","1924-2003.","Garden City, N.Y.|Doubleday|1961.",1961,1961,"nyu",,"Warsaw Ghetto Uprising, 1943|History | Fiction","Fiction","Mila 18.","random"
"mdp.39015030708112",1029043,289735,"PS3529.H29A8","O'Hara, John,","1905-1970.","New York|Random House|c1961.",1961,1961,"nyu","cop.2",,"NotFiction","Assembly / | $c: John O'Hara.","random"
"uc1.b3117335",7937480,1576956,"PZ4.L986Fi","Caillou, Alan,","1914-","New York|Appleton-Century-Crofts|1962",1962,1962,"xx ",,,"NotFiction","Field of women | $c: [by] Alan Caillow [pseud.","random"
"uc1.b4087579",6149665,1417163,"PZ7.B653Bi","Bosworth, J. Allen.",,"New York|Criterion Books|1963",1963,1963,"xx ",,,"NotFiction","A bird for Peter. | $c: Illustrated by Howard Simon.","random"
"uc1.$b285096",6524678,12219364,,"Maugham, W. Somerset (William Somerset),","1874-1965.","New York|Pyramid|c1963.",1963,1963,"nyu",,,"Fiction","Husbands and wives : | nine stories / | $c: by W. Somerset Maugham ; selected and with an introd. by Richard A. Cordell.","random"
