"docid","recordid","oclc","locnum","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title","tags"
"wu.89098867799",5908925,47925464,"PS1059.B23F73 1860","Leslie, Madeline,",,"Boston;Woolworth, Ainsworth & Co.;New York;A.S. Barnes & Co.;c1860;([Boston;Electrotyped at the Boston Stereotype Foundry)",1860,1860,"mau",,"Pets;Parent and child;Conduct of life;Children;Games;Early works to 1900;Juvenile fiction;Brothers and sisters",,"Little Frankie and his mother","random|juv"
"uc1.b3322521",7915312,54390160,,"Gladstone, Alfred.",,"London;T. Cautley Newby;1863.",1863,1863,"enk","v. 1",,,"The man of the hour","random"
"uc2.ark+=13960=t5s75b83s",7694026,20314934,,"Ainsworth, William Harrison,",,"London;New York;Routledge;1880.",1880,1863,"enk",,,,"Cardinal Pole; or, The days of Philip and Mary","random"
"njp.32101020949853",8886413,4372081,,"Thayer, William Makepeace,",,"Boston;Walker, Wise and co.;1864.",1864,1864,"mau",,,,"The pioneer boy, and how he became president","random"
"uc2.ark+=13960=t8hd7s722",9260477,8056635,,"Charles, Elizabeth Rundle,",,"New York;M.W. Dodd;1866.",1866,1866,"nyu",,"Wesley, John;1703-1791;Whitefield, George;Wesley, Charles;1707-1788;Fiction;1714-1770",,"Diary of Kitty Trevylyan","random"
"nyp.33433075738199",8669904,16848342,"PZ3.B54B","Bolanden, Conrad von,",,"Philadelphia;E. Cummiskey;1867.",1867,1867,"pau",,"History;Fiction;Germany;Frederick I, 1152-1190",,"Barbarossa","random"
"uva.x030736355",9792970,10770772,,"Grahame, Nellie,",,"Philadelphia;Presbyterian Board of Publication;c1869.",1869,1869,"pau",,,,"Mr. Wallingford's mistake","random"
"uiuo.ark+=13960=t2x352b7b",8721322,490031,,"Blackmore, R. D.",,"New York;Boston;T.Y. Crowell & Co.;c1893",1893,1869,"nyu","v.1","Monmouth's Rebellion, 1685;Fiction",,"Lorna Doone","random"
"uva.x001038370",9776267,3850855,"PZ3.A917Vi2","Auerbach, Berthold,",,"Boston;Roberts brothers;1869.",1869,1869,"mau",,,,"Villa Eden","random"
"njp.32101068153392",6063827,2587279,"PR4840.A2 1901","Kingsley, Charles,",,"London;Macmillan and co., limited;New York;The Macmillan company;1901-03",1901,1870,"enk","vol. 14",,,"The life and works of Charles Kingsley: Two Years Ago, vol II","random"
