name1	name2	size	acc1	acc2	ratiodiff	pearson	spearman	spear1on2	spear2on1	loss	loss1on2	loss2on1	kl
iter11_size80_ratio0	iter11_size80_ratio5	80	0.9	0.79375	0.05	0.774241391838	0.803461377152	0.792350287121	0.814039610922	0.00625	0.0	0.0125	34.4657313062
iter11_size80_ratio0	iter11_size80_ratio10	80	0.9	0.8	0.1	0.790707550984	0.795401105379	0.742300480488	0.838573772413	5.55111512313e-17	-0.01875	0.01875	21.6023815641
iter11_size80_ratio0	iter11_size80_ratio15	80	0.9	0.775	0.15	0.840987068219	0.828246441915	0.821542833704	0.834721082855	0.00625	-0.0125	0.025	2.48626461527
iter11_size80_ratio0	iter11_size80_ratio20	80	0.9	0.8	0.2	0.85619139348	0.852580155673	0.880789288644	0.818340560178	0.03125	-0.01875	0.08125	4.19525446283
iter11_size80_ratio0	iter11_size80_ratio25	80	0.9	0.80625	0.25	0.872174271743	0.859228849285	0.855343958748	0.863017110043	0.03125	0.01875	0.04375	4.36534493448
iter11_size80_ratio0	iter11_size80_ratio30	80	0.9	0.74375	0.3	0.81417608968	0.805880654497	0.779195476386	0.829649595687	0.059375	-0.00625	0.125	9.89337502549
iter11_size80_ratio0	iter11_size80_ratio35	80	0.9	0.71875	0.35	0.833709323523	0.82336475749	0.79539142154	0.847837806164	0.003125	-0.03125	0.0375	7.33528657715
iter11_size80_ratio0	iter11_size80_ratio40	80	0.9	0.66875	0.4	0.733536779149	0.709092408623	0.613995663893	0.783897808508	0.021875	-0.01875	0.0625	10.3619085702
iter11_size80_ratio0	iter11_size80_ratio45	80	0.9	0.6875	0.45	0.763840508164	0.735159928971	0.721416852221	0.748324153287	0.015625	-0.0375	0.06875	7.26590622753
iter11_size80_ratio0	iter11_size80_ratio50	80	0.9	0.6375	0.5	0.760799765807	0.75267193654	0.73703269659	0.767505566624	0.053125	-0.025	0.13125	12.0797931699
iter11_size80_ratio0	iter11_size80_ratio55	80	0.9	0.68125	0.55	0.649670753601	0.632677105836	0.535611742646	0.713242704793	0.0875	0.05	0.125	10.0815390638
iter11_size80_ratio0	iter11_size80_ratio60	80	0.9	0.65	0.6	0.59362754633	0.571131012159	0.412744638462	0.695992030939	0.121875	0.04375	0.2	22.7940850372
iter11_size80_ratio0	iter11_size80_ratio65	80	0.9	0.5875	0.65	0.469055648532	0.451806506352	0.396759639048	0.503615375601	0.075	-0.05	0.2	23.0963455692
