name1	name2	size	acc1	acc2	ratiodiff	pearson	spearman	spear1on2	spear2on1	loss	loss1on2	loss2on1	kl
iter5_size80_ratio0	iter5_size80_ratio5	80	0.9375	0.85	0.05	0.942170365585	0.933722900283	0.927408297199	0.939505449432	0.0125	-0.00625	0.03125	9.59691368468
iter5_size80_ratio0	iter5_size80_ratio10	80	0.9375	0.85	0.1	0.878405733768	0.870350898439	0.857286417438	0.882295206844	-0.00625	-0.025	0.0125	7.16131172893
iter5_size80_ratio0	iter5_size80_ratio15	80	0.9375	0.8125	0.15	0.858961731964	0.845299338126	0.809861713348	0.874589827728	0.046875	0.05	0.04375	8.83948613935
iter5_size80_ratio0	iter5_size80_ratio20	80	0.9375	0.775	0.2	0.89016347422	0.895295157344	0.877217860073	0.910837337396	0.025	-0.025	0.075	24.9318706856
iter5_size80_ratio0	iter5_size80_ratio25	80	0.9375	0.79375	0.25	0.865168727615	0.859911811988	0.845822102426	0.872802648541	0.040625	0.00625	0.075	9.6771112283
iter5_size80_ratio0	iter5_size80_ratio30	80	0.9375	0.75625	0.3	0.849447857462	0.823403167511	0.788421422712	0.853076292043	0.046875	-0.00625	0.1	11.8807920296
iter5_size80_ratio0	iter5_size80_ratio35	80	0.9375	0.7375	0.35	0.880481763186	0.87930547117	0.831351810618	0.91426227587	0.065625	0.0125	0.11875	31.160899519
iter5_size80_ratio0	iter5_size80_ratio40	80	0.9375	0.69375	0.4	0.847736693945	0.82315204663	0.773444275167	0.862797374897	0.040625	-0.0375	0.11875	24.426196677
iter5_size80_ratio0	iter5_size80_ratio45	80	0.9375	0.6875	0.45	0.787321241317	0.7823751077	0.749704090004	0.811241650064	0.040625	-0.0625	0.14375	39.5513112904
iter5_size80_ratio0	iter5_size80_ratio50	80	0.9375	0.625	0.5	0.755707309836	0.769072665549	0.71296730341	0.815393179421	0.015625	-0.05	0.08125	24.5694173041
iter5_size80_ratio0	iter5_size80_ratio55	80	0.9375	0.675	0.55	0.755345396591	0.727172158323	0.640589476151	0.79549689441	0.084375	0.00625	0.1625	24.5362918333
iter5_size80_ratio0	iter5_size80_ratio60	80	0.9375	0.65	0.6	0.759186608972	0.736330961181	0.593545646314	0.834176139693	0.0875	-0.01875	0.19375	26.0542751883
