name	size	ratio	accuracy	features	regularization
iter9_size80_ratio30	80	0.3	0.64375	6000	5e-05
iter9_size80_ratio35	80	0.35	0.70625	2000	0.004
iter9_size80_ratio40	80	0.4	0.75625	4400	0.012
iter9_size80_ratio45	80	0.45	0.6125	6400	0.2
iter9_size80_ratio50	80	0.5	0.66875	3200	0.012
iter9_size80_ratio55	80	0.55	0.64375	5600	5e-05
iter9_size80_ratio60	80	0.6	0.5625	4000	3
iter9_size80_ratio65	80	0.65	0.55	2800	0.2
iter9_size80_ratio70	80	0.7	0.5875	2000	0.0003
iter9_size80_ratio75	80	0.75	0.5625	2400	0.012
iter9_size80_ratio80	80	0.8	0.60625	4800	0.0003
iter9_size80_ratio85	80	0.85	0.51875	2400	0.8
iter9_size80_ratio90	80	0.9	0.575	6800	0.001
iter9_size80_ratio95	80	0.95	0.53125	4800	5e-05
iter9_size80_ratio100	80	1.0	0.54375	2000	0.8
iter10_size80_ratio0	80	0.0	0.7125	2000	0.2
iter11_size80_ratio0	80	0.0	0.9	4800	0.001
iter11_size80_ratio5	80	0.05	0.79375	5200	3
iter11_size80_ratio10	80	0.1	0.8	5200	0.2
iter11_size80_ratio15	80	0.15	0.775	2400	0.004
iter11_size80_ratio20	80	0.2	0.8	2800	0.012
iter11_size80_ratio25	80	0.25	0.80625	4400	0.004
iter11_size80_ratio30	80	0.3	0.74375	2800	0.0003
iter11_size80_ratio35	80	0.35	0.71875	4400	0.0003
iter11_size80_ratio40	80	0.4	0.66875	4800	0.012
iter11_size80_ratio45	80	0.45	0.6875	6000	0.004
iter11_size80_ratio50	80	0.5	0.6375	1600	0.001
iter11_size80_ratio55	80	0.55	0.68125	6000	0.004
iter11_size80_ratio60	80	0.6	0.65	4400	0.2
iter11_size80_ratio65	80	0.65	0.5875	3200	0.012
iter11_size80_ratio70	80	0.7	0.575	4000	0.001
iter11_size80_ratio75	80	0.75	0.53125	2000	0.001
iter11_size80_ratio80	80	0.8	0.58125	2400	0.004
iter11_size80_ratio85	80	0.85	0.5875	2400	0.001
iter11_size80_ratio90	80	0.9	0.5875	3600	0.012
iter11_size80_ratio95	80	0.95	0.625	1600	0.001
iter11_size80_ratio100	80	1.0	0.51875	1600	0.004
iter12_size80_ratio0	80	0.0	0.875	3600	3
iter12_size80_ratio5	80	0.05	0.84375	4800	0.004
iter12_size80_ratio10	80	0.1	0.80625	4400	0.004
iter12_size80_ratio15	80	0.15	0.8	3200	0.2
iter12_size80_ratio20	80	0.2	0.75	1600	0.2
iter12_size80_ratio25	80	0.25	0.8	2800	0.2
iter12_size80_ratio30	80	0.3	0.725	2800	0.001
iter12_size80_ratio35	80	0.35	0.71875	2000	0.2
iter12_size80_ratio40	80	0.4	0.675	4400	0.0003
iter12_size80_ratio45	80	0.45	0.7	2400	0.012
iter12_size80_ratio50	80	0.5	0.7375	2800	0.8
iter12_size80_ratio55	80	0.55	0.61875	1600	0.8
iter12_size80_ratio60	80	0.6	0.6375	2400	0.2
iter12_size80_ratio65	80	0.65	0.6625	2400	0.004
iter12_size80_ratio70	80	0.7	0.5875	4000	0.8
iter12_size80_ratio75	80	0.75	0.55	2000	5e-05
iter12_size80_ratio80	80	0.8	0.5875	1600	5e-05
iter12_size80_ratio85	80	0.85	0.53125	5200	0.0003
iter12_size80_ratio90	80	0.9	0.58125	1600	0.004
iter12_size80_ratio95	80	0.95	0.58125	1600	0.2
iter12_size80_ratio100	80	1.0	0.60625	2800	0.012
iter13_size80_ratio0	80	0.0	0.85	5200	3
