name1	name2	size1	size2	acc1	acc2	ratiodiff	pearson	spearman	spearman2on1	loss	kl
iter5_size80_ratio0	iter5_size80_ratio5	80	80	0.925	0.89375	0.05	0.836922834328	0.836922834328	0.876834056018	0.140625	14.0577486699
iter5_size80_ratio0	iter5_size80_ratio10	80	80	0.925	0.825	0.1	0.796234318595	0.796234318595	0.894122817298	0.146875	18.2005019966
iter5_size80_ratio0	iter5_size80_ratio15	80	80	0.925	0.86875	0.15	0.788895153056	0.788895153056	0.854945505684	0.134375	20.5349776649
iter5_size80_ratio0	iter5_size80_ratio20	80	80	0.925	0.8	0.2	0.695453217916	0.695453217916	0.819644322044	0.196875	29.6311071382
iter5_size80_ratio0	iter5_size80_ratio25	80	80	0.925	0.83125	0.25	0.790631959812	0.790631959812	0.863160670339	0.153125	22.3675498736
iter5_size80_ratio0	iter5_size80_ratio30	80	80	0.925	0.8	0.3	0.787099120278	0.787099120278	0.874830071487	0.16875	23.2384027429
iter5_size80_ratio0	iter5_size80_ratio35	80	80	0.925	0.8	0.35	0.792856502613	0.792856502613	0.858092112973	0.175	22.4651357551
iter5_size80_ratio0	iter5_size80_ratio40	80	80	0.925	0.7	0.4	0.719562160243	0.719562160243	0.748989218329	0.184375	46.6353895451
iter5_size80_ratio0	iter5_size80_ratio45	80	80	0.925	0.7375	0.45	0.781645246911	0.781645246911	0.790401968827	0.125	50.3570488514
iter5_size80_ratio0	iter5_size80_ratio50	80	80	0.925	0.69375	0.5	0.615227179112	0.615227179112	0.746094574007	0.275	39.7701595646
iter5_size80_ratio0	iter5_size80_ratio55	80	80	0.925	0.675	0.55	0.633574267845	0.633574267845	0.790167584671	0.2375	47.6992536966
iter5_size80_ratio0	iter5_size80_ratio60	80	80	0.925	0.7125	0.6	0.657744565188	0.657744565188	0.791934255244	0.271875	36.6483775878
iter5_size80_ratio0	iter5_size80_ratio65	80	80	0.925	0.64375	0.65	0.540564173931	0.540564173931	0.692115902965	0.296875	44.5545252993
iter5_size80_ratio0	iter5_size80_ratio70	80	80	0.925	0.65625	0.7	0.588666768652	0.588666768652	0.767458689793	0.290625	43.4180998572
iter5_size80_ratio0	iter5_size80_ratio75	80	80	0.925	0.625	0.75	0.455841829571	0.455841829571	0.524085901793	0.309375	61.8190570658
iter5_size80_ratio0	iter5_size80_ratio80	80	80	0.925	0.575	0.8	0.523475438889	0.523475438889	0.727502050861	0.35625	56.2161467446
