docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,std_date,probability,realclass
pst.000061572584_0,pst.000061572584,47869,fantasy_oclc,"Roberts, Nora.",,New York|Jove Books|2006.,2006,2006,,Vampires|Wizards|Fiction|Time travel|Witches,Fiction|Fantasy fiction,Morrigan's cross,2006,0.9973999807619996,1
mdp.39015079150150_2,mdp.39015079150150,58234,fantasy_loc,,,"Nottingham, UK|Solaris|2009.",2009,2009,,Horror tales|Fantasy fiction,NotFiction|Short stories,"POE : | 19 new tales of suspense, dark fantasy, and horror inspired by Edgar Allan Poe",2009,0.9730209650912965,1
mdp.49015002610310_2,mdp.49015002610310,51177,fantasy_loc,"Di Filippo, Paul,",1954-,"Urbana, IL|Golden Gryphon Press|2001.",2001,2001,,"Fiction|Occupations|Fantasy fiction, American",Fiction,Strange trades,2001,0.9438039344392098,1
pst.000060768315_0,pst.000060768315,54631,fantasy_oclc,"D'Lacey, Chris.",,New York|Orchard Books|2006,2006,2006,D623firs 2006,Bears|Boardinghouses|Dragons|Supernatural|Fiction|Authorship,Novel,Fire star,2006,0.9927379804966479,1
mdp.39015066779920,mdp.39015066779920,6542,fantasy_loc,"Garcia, Camille Rose,",1970-,"Seattle, Wash.|Fantagraphics|2006.",2006,2006,,"Underground comic books, strips, etc|Magic|Fantasy comic books, strips, etc|Animals|Islands|Comic books, strips, etc|Bottles|United States",UnknownGenre,The magic bottle,2006,0.9985227395145516,1
mdp.39015073911961_0,mdp.39015073911961,53083,fantasy_loc,"Clegg, Douglas,",1958-,New York|Alyson|2006.,2006,2006,,Fiction|Arthurian romances|Gay men|Illegitimate children of royalty|Adaptations|Mordred (Legendary character)|Fantasy,Novel|Historical fiction|Fantasy fiction,"Mordred, bastard son",2006,0.9877874250479197,1
mdp.39015069971193_0,mdp.39015069971193,59764,fantasy_loc,"Connolly, John,",1968-,New York|Atria Books|c2006.,2006,2006,,Fairy tales|Fiction|Death|Adaptations|Mothers|Fantasy fiction,Novel,The book of lost things,2006,0.9987157025033364,1
pst.000066114031_0,pst.000066114031,58542,fantasy_oclc,"Harris, Charlaine.",,New York|Ace Books|2004.,2004,2004,,Waitresses|City and town life|Fiction|Telepathy|Vampires,Horror fiction|Fiction|Occult fiction,Dead to the world,2004,0.2598334468805439,1
mdp.39015079150150_1,mdp.39015079150150,56801,fantasy_loc,,,"Nottingham, UK|Solaris|2009.",2009,2009,,Horror tales|Fantasy fiction,NotFiction|Short stories,"POE : | 19 new tales of suspense, dark fantasy, and horror inspired by Edgar Allan Poe",2009,0.7278206734778833,1
mdp.39015077606070_0,mdp.39015077606070,56815,fantasy_oclc,,,San Francisco|Tachyon Publications|2008.,2008,2008,,Horror tales|Science fiction,Bibliographies|Short stories|Fantasy fiction|Horror fiction,The new weird,2008,0.9938116372408038,1
mdp.39015073904594,mdp.39015073904594,21703,fantasy_oclc,"Donihe, Kevin L.",,"Portland, OR|Eraserhead Press|2006.",2006,2006,,Fiction|Agape|Cyclists|Bicycle racing|Ebola virus disease|Insects,Novel,The greatest fucking moment in sports,2006,0.5630193154415962,1
mdp.39015056187001_2,mdp.39015056187001,51747,fantasy_loc,"Goodman, Carol.",,New York|Ballantine Books|2003.,2003,2003,,Fiction|Maternal deprivation|Biographers|Hotels|Authorship|Fantasy fiction|Mothers and daughters|Women teachers,Fiction,The seduction of water,2003,0.008550977013958383,1
inu.30000092695687_2,inu.30000092695687,129481,fantasy_loc,"Bishop, Anne.",,New York|ROC|2003.,2003,2003,,"Witches|Fiction|Fantasy fiction, American",Fiction,The black jewels trilogy,2003,0.9998927693814904,1
mdp.39015050477374_2,mdp.39015050477374,48238,fantasy_oclc,"Siegel, Jan.",,New York|Ballantine Pub. Group|2000.,2000,2000,,Fiction|Geographical myths|Girls|Atlantis (Legendary place),Fiction|Fantasy fiction,Prospero's children,2000,0.9999965568516996,1
mdp.49015002610310_0,mdp.49015002610310,49722,fantasy_loc,"Di Filippo, Paul,",1954-,"Urbana, IL|Golden Gryphon Press|2001.",2001,2001,,"Fiction|Occupations|Fantasy fiction, American",Fiction,Strange trades,2001,0.24651227092239955,1
pst.000057995953_2,pst.000057995953,53470,fantasy_loc,"Roberts, Nora.",,New York|Silhouette Books|c2006.,2006,2006,,"Brothers and sisters|Fiction|Love stories, American|Fantasy fiction, American|Time travel",Fiction,Time and again,2006,0.9068987358061961,1
pst.000057995953_0,pst.000057995953,54177,fantasy_loc,"Roberts, Nora.",,New York|Silhouette Books|c2006.,2006,2006,,"Brothers and sisters|Fiction|Love stories, American|Fantasy fiction, American|Time travel",Fiction,Time and again,2006,0.9722862609009768,1
pst.000066629801_0,pst.000066629801,53952,fantasy_loc|sf_oclc,"Brooks, Terry.",,"New York|Ballentine Books|2006, c2005.",2005,2005,,Shannara (Imaginary place)|Magic|Fantasy|Fiction,Novel,Straken,2005,0.9998298781281846,1
pst.000061572584_2,pst.000061572584,46413,fantasy_oclc,"Roberts, Nora.",,New York|Jove Books|2006.,2006,2006,,Vampires|Wizards|Fiction|Time travel|Witches,Fiction|Fantasy fiction,Morrigan's cross,2006,0.7823038150890982,1
mdp.39015049614988,mdp.39015049614988,27854,fantasy_oclc,"Donihe, Kevin L.",,"Portland, OR|Eraserhead Press|c2006.",2006,2006,,Fiction|Demonology|Minimum wage|Rape|Murder|Devil|Cities and towns,Novel,Grape City,2006,0.9395428092878616,1
mdp.39015061866946,mdp.39015061866946,54753,fantasy_oclc,"Mellick, Carlton.",,S.l.|Silver Lake Pub.|2002.,2002,2002,,,Short stories|Science fiction,Sunset with a beard,2002,0.998722899905042,1
