docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,std_date,probability,realclass
nyp.33433076024326,nyp.33433076024326,19443,fantasy_oclc,"Lorimer, George Horace,",,New York;D. Appleton and Company;1906.,1906,1906,,,,The false gods,1906,0.5867636778979958,1
uc1.b4938298_0,uc1.b4938298,59275,fantasy_loc,"Haggard, H. Rider (Henry Rider),",1856-1925.,London|Michael Joseph|1981.,1981,1919,,"(Henry Rider)|1856-1925|Adventure stories, English|Haggard, H. Rider|Fantasy fiction, English",NotFiction|Bibliographies,The best short stories of Rider Haggard,1919,0.9761151042058168,1
uc1.b3187085,uc1.b3187085,57443,fantasy_oclc|sf_oclc,"Burroughs, Edgar Rice,",,New York;Ace Books;1914.,1914,1914,,,,At the earth's core,1914,0.9993726818391052,1
pst.000029121120_1,pst.000029121120,34127,fantasy_oclc,"Chesterton, G. K. (Gilbert Keith),",1874-1936.,"New York|Dodd, Mead and company|1935].",1935,1908,,,NotFiction,The man who was Thursday : | a nightmare,1908,0.9914945840883325,1
uc1.l0070882576_1,uc1.l0070882576,50239,fantasy_loc|supernat,"Machen, Arthur,",1863-1947.,"North Stratford, NH|Ayer Company|1999.",1999,1906,,"Fantasy fiction, English|Supernatural|Fiction",Fiction,The house of souls,1906,0.9983690636349396,1
njp.32101066164813_0,njp.32101066164813,46746,fantasy_oclc,"Blackwood, Algernon,",,London;Macmillan;1919.,1919,1919,,,,Pan's garden;,1919,0.999298123369376,1
uva.x030580544_0,uva.x030580544,39617,sf_bailey|fantasy_oclc,"London, Jack,",,New York;The Macmillan & co.;1919,1906,1906,,,,Before Adam,1906,0.9901177045320081,1
mdp.39015002580598_1,mdp.39015002580598,61326,fantasy_loc,"London, Jack,",1876-1916.,"Port Washington, N.Y.|Kennikat Press|1975.",1975,1916,,"Fantasy fiction, American",Fiction|Bibliographies,Curious fragments : | Jack London's tales of fantasy fiction,1916,0.6066508639764528,1
nyp.33433075771133,nyp.33433075771133,40886,fantasy_loc,"Worfel, W. G.",,"Chicago;Rand, McNally;1904.",1904,1904,,"Fantasy fiction, American",,Munchausen XX,1904,0.9999339745295563,1
mdp.39015031219481_0,mdp.39015031219481,36994,fantasy_oclc|sf_oclc,,,London|W. H. Allen|1975-,0,1902,v.1,19th century|English fiction,Fiction,Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914,1902,0.9969656510887192,1
mdp.39015032254008_0,mdp.39015032254008,48208,fantasy_oclc,"Stoker, Bram,",1847-1912.,New York|Paperback Library|1966.,1966,1909,,,Fiction,The lady of the shroud ; | a paperback library gothic,1909,0.2243844945899453,1
