docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,std_date,probability,realclass
mdp.39015069971193_1,mdp.39015069971193,60389,fantasy_loc,"Connolly, John,",1968-,New York|Atria Books|c2006.,2006,2006,,Fairy tales|Fiction|Death|Adaptations|Mothers|Fantasy fiction,Novel,The book of lost things,2006,0.9991528953043268,1
pst.000066629801_0,pst.000066629801,53952,fantasy_loc|sf_oclc,"Brooks, Terry.",,"New York|Ballentine Books|2006, c2005.",2005,2005,,Shannara (Imaginary place)|Magic|Fantasy|Fiction,Novel,Straken,2005,0.9993481754021559,1
pst.000057995953_1,pst.000057995953,52082,fantasy_loc,"Roberts, Nora.",,New York|Silhouette Books|c2006.,2006,2006,,"Brothers and sisters|Fiction|Love stories, American|Fantasy fiction, American|Time travel",Fiction,Time and again,2006,0.7810525004371515,1
mdp.39015058135214_0,mdp.39015058135214,79340,fantasy_loc,"Myers, John Myers,",1906-,"Farmingham, MA|NESFA Press|c2004.",2004,2004,,"Fiction|1906-|Magic|Dictionaries, indexes, etc|Myers, John Myers|History and criticism|Science fiction, American|Imaginary places|Dictionaries|Science fiction, American, English|Fantasy fiction, American",Fiction|Bibliographies,Silverlock : | including The Silverlock companion,2004,0.6095537006398078,1
mdp.39015077606070_1,mdp.39015077606070,57874,fantasy_oclc,,,San Francisco|Tachyon Publications|2008.,2008,2008,,Horror tales|Science fiction,Bibliographies|Short stories|Fantasy fiction|Horror fiction,The new weird,2008,0.9777196846130852,1
mdp.39015069174509_1,mdp.39015069174509,41597,fantasy_loc,"Schweitzer, Darrell,",1952-,"Berkeley Heights, N.J.|Cosmos Books/Wildside Press|2001.",2001,2001,,"Horror tales, American|Fantasy fiction, American",Short stories,The great world and the small : | more tales of the ominous and magical,2001,0.9996899754810727,1
mdp.39015058073100_1,mdp.39015058073100,69303,fantasy_loc,,,"New York, N.Y.|Penguin Group|2003.",2003,2003,,"Fantasy fiction, English|Fantasy fiction, American|Science fiction, English|Science fiction, American",Short stories,Firebirds : | an anthology of original fantasy and science fiction,2003,0.8987134921955319,1
mdp.39015073911961_1,mdp.39015073911961,53303,fantasy_loc,"Clegg, Douglas,",1958-,New York|Alyson|2006.,2006,2006,,Fiction|Arthurian romances|Gay men|Illegitimate children of royalty|Adaptations|Mordred (Legendary character)|Fantasy,Novel|Historical fiction|Fantasy fiction,"Mordred, bastard son",2006,0.9984577351746535,1
mdp.49015002610310_2,mdp.49015002610310,51177,fantasy_loc,"Di Filippo, Paul,",1954-,"Urbana, IL|Golden Gryphon Press|2001.",2001,2001,,"Fiction|Occupations|Fantasy fiction, American",Fiction,Strange trades,2001,0.9617367126437754,1
mdp.39015081739032_2,mdp.39015081739032,82833,fantasy_loc|sf_loc,,,"New York|Ibooks|Berkeley, CA|Distributed by Publishers Group West|2006",2006,2006,,"Fiction|Fantasy fiction, American|Science fiction, American|Anthropomorphism",Bibliographies|Short stories,Furry : | the best anthropomorphic fiction ever,2006,0.9985396812939001,1
mdp.49015002610310_0,mdp.49015002610310,49722,fantasy_loc,"Di Filippo, Paul,",1954-,"Urbana, IL|Golden Gryphon Press|2001.",2001,2001,,"Fiction|Occupations|Fantasy fiction, American",Fiction,Strange trades,2001,0.1830934187144526,1
mdp.39015081739032_0,mdp.39015081739032,80084,fantasy_loc|sf_loc,,,"New York|Ibooks|Berkeley, CA|Distributed by Publishers Group West|2006",2006,2006,,"Fiction|Fantasy fiction, American|Science fiction, American|Anthropomorphism",Bibliographies|Short stories,Furry : | the best anthropomorphic fiction ever,2006,0.9675363347938379,1
mdp.39015077606070_0,mdp.39015077606070,56815,fantasy_oclc,,,San Francisco|Tachyon Publications|2008.,2008,2008,,Horror tales|Science fiction,Bibliographies|Short stories|Fantasy fiction|Horror fiction,The new weird,2008,0.9917602828418621,1
mdp.39015053485507_1,mdp.39015053485507,68165,fantasy_loc,"Halmo, Robert D.,",1956-,"Bloomington, IN|1stBooks|c2001.",2001,2001,,"Fantasy fiction, American",Fiction,"Children of the grove : | book one of Lords of Darkness, Lords of Light",2001,0.9999994740902581,1
mdp.39015050477374_1,mdp.39015050477374,48112,fantasy_oclc,"Siegel, Jan.",,New York|Ballantine Pub. Group|2000.,2000,2000,,Fiction|Geographical myths|Girls|Atlantis (Legendary place),Fiction|Fantasy fiction,Prospero's children,2000,0.9997287779796932,1
mdp.39015081738737,mdp.39015081738737,28507,fantasy_loc,"Kiernan, Caitl�n R.",,"Burton, Mich.|Subterranean Press|c2007.",2007,2007,,"Fantasy fiction, American|Erotic stories, American",Short stories,Tales from the Woeful Platypus,2007,0.9929320986603999,1
mdp.39015073911961_0,mdp.39015073911961,53083,fantasy_loc,"Clegg, Douglas,",1958-,New York|Alyson|2006.,2006,2006,,Fiction|Arthurian romances|Gay men|Illegitimate children of royalty|Adaptations|Mordred (Legendary character)|Fantasy,Novel|Historical fiction|Fantasy fiction,"Mordred, bastard son",2006,0.9666684191488595,1
mdp.39015062850154_1,mdp.39015062850154,54078,fantasy_loc|sf_loc,"Matheson, Richard,",1926-,"Colorado Springs, CO|Edge Books|c2003-",0,2003,v.1,"Fantasy fiction, American|Science fiction, American",Short stories,Collected stories,2003,0.9860777354704684,1
mdp.39015063319969_0,mdp.39015063319969,67309,fantasy_oclc,"Tuttle, Lisa,",1952-,New York|Bantam Books|2006.,2006,2006,,,Novel,The silver bough,2006,0.15604807223473235,1
mdp.39015056187001_0,mdp.39015056187001,50796,fantasy_loc,"Goodman, Carol.",,New York|Ballantine Books|2003.,2003,2003,,Fiction|Maternal deprivation|Biographers|Hotels|Authorship|Fantasy fiction|Mothers and daughters|Women teachers,Fiction,The seduction of water,2003,0.03697636837722764,1
pst.000057995953_0,pst.000057995953,54177,fantasy_loc,"Roberts, Nora.",,New York|Silhouette Books|c2006.,2006,2006,,"Brothers and sisters|Fiction|Love stories, American|Fantasy fiction, American|Time travel",Fiction,Time and again,2006,0.9775508381514125,1
mdp.39015066066682_2,mdp.39015066066682,66471,fantasy_oclc,"Hamilton, Laurell K.",,New York|Ballantine Books|2000.,2000,2000,,Fairies|Fiction|Women private investigators,Fiction|Mystery fiction|Fantasy fiction,A kiss of shadows,2000,0.9963857334931837,1
mdp.39015056817326_0,mdp.39015056817326,30216,fantasy_loc,"Eddy, C. M. (Clifford Martin)",,"Narragansett, R.I.|Fenham Pub.|2000, c1973.",2000,2000,,"Fantasy fiction, American|Paranormal fiction",Fiction,Exit into eternity : | tales of the bizarre and supernatural,2000,0.9813827327984387,1
mdp.39015059554652_2,mdp.39015059554652,74138,fantasy_loc,"Stevens, Francis.",,Lincoln|University of Nebraska Press|c2004.,2004,2004,,"Horror tales, American|Fantasy fiction, American",Bibliographies|Short stories,"The nightmare, and other tales of dark fantasy",2004,0.9970758893708053,1
mdp.39015053485507_0,mdp.39015053485507,67764,fantasy_loc,"Halmo, Robert D.,",1956-,"Bloomington, IN|1stBooks|c2001.",2001,2001,,"Fantasy fiction, American",Fiction,"Children of the grove : | book one of Lords of Darkness, Lords of Light",2001,0.9999999904154065,1
mdp.39015058135214_1,mdp.39015058135214,85030,fantasy_loc,"Myers, John Myers,",1906-,"Farmingham, MA|NESFA Press|c2004.",2004,2004,,"Fiction|1906-|Magic|Dictionaries, indexes, etc|Myers, John Myers|History and criticism|Science fiction, American|Imaginary places|Dictionaries|Science fiction, American, English|Fantasy fiction, American",Fiction|Bibliographies,Silverlock : | including The Silverlock companion,2004,0.7325823294441837,1
pst.000057995953_2,pst.000057995953,53470,fantasy_loc,"Roberts, Nora.",,New York|Silhouette Books|c2006.,2006,2006,,"Brothers and sisters|Fiction|Love stories, American|Fantasy fiction, American|Time travel",Fiction,Time and again,2006,0.7865198576329453,1
mdp.39015050477374_2,mdp.39015050477374,48238,fantasy_oclc,"Siegel, Jan.",,New York|Ballantine Pub. Group|2000.,2000,2000,,Fiction|Geographical myths|Girls|Atlantis (Legendary place),Fiction|Fantasy fiction,Prospero's children,2000,0.9999546812231745,1
mdp.39015082722771_0,mdp.39015082722771,38955,fantasy_loc|sf_loc,"What, Leslie.",,"La Grande, OR|Wordcraft of Oregon|2008.",2008,2008,,"Fantasy fiction, American|Science fiction, American",Fiction,Crazy love : | stories,2008,0.014960428580283206,1
pst.000061572584_2,pst.000061572584,46413,fantasy_oclc,"Roberts, Nora.",,New York|Jove Books|2006.,2006,2006,,Vampires|Wizards|Fiction|Time travel|Witches,Fiction|Fantasy fiction,Morrigan's cross,2006,0.8866847695155607,1
mdp.39015056817326_1,mdp.39015056817326,32823,fantasy_loc,"Eddy, C. M. (Clifford Martin)",,"Narragansett, R.I.|Fenham Pub.|2000, c1973.",2000,2000,,"Fantasy fiction, American|Paranormal fiction",Fiction,Exit into eternity : | tales of the bizarre and supernatural,2000,0.8634430145322738,1
inu.30000103028167_2,inu.30000103028167,61282,fantasy_oclc,"Turtledove, Harry.",,"Riverdale, NY|Baen Books|New York, NY|Distributed by Simon & Schuster|c2005.",2005,2005,,Refugees|Fiction|Clergy,Fiction|Fantasy fiction,Bridge of the Separator,2005,0.9709340583231926,1
mdp.39015067674435_1,mdp.39015067674435,50396,fantasy_loc,,,"Holicong, PA|Prime Books|2006.",2006,2006,,Horror tales|Fantasy fiction|Collections,NotFiction|Horror fiction,Best new fantasy,2006,0.9482785475015697,1
mdp.39015067674435_0,mdp.39015067674435,52543,fantasy_loc,,,"Holicong, PA|Prime Books|2006.",2006,2006,,Horror tales|Fantasy fiction|Collections,NotFiction|Horror fiction,Best new fantasy,2006,0.6654218498626441,1
mdp.39015058135214_2,mdp.39015058135214,66888,fantasy_loc,"Myers, John Myers,",1906-,"Farmingham, MA|NESFA Press|c2004.",2004,2004,,"Fiction|1906-|Magic|Dictionaries, indexes, etc|Myers, John Myers|History and criticism|Science fiction, American|Imaginary places|Dictionaries|Science fiction, American, English|Fantasy fiction, American",Fiction|Bibliographies,Silverlock : | including The Silverlock companion,2004,0.5354608090318879,1
mdp.39015069971193_0,mdp.39015069971193,59764,fantasy_loc,"Connolly, John,",1968-,New York|Atria Books|c2006.,2006,2006,,Fairy tales|Fiction|Death|Adaptations|Mothers|Fantasy fiction,Novel,The book of lost things,2006,0.9972474966336623,1
pst.000060768315_0,pst.000060768315,54631,fantasy_oclc,"D'Lacey, Chris.",,New York|Orchard Books|2006,2006,2006,D623firs 2006,Bears|Boardinghouses|Dragons|Supernatural|Fiction|Authorship,Novel,Fire star,2006,0.9791398470649574,1
pst.000061572584_1,pst.000061572584,49528,fantasy_oclc,"Roberts, Nora.",,New York|Jove Books|2006.,2006,2006,,Vampires|Wizards|Fiction|Time travel|Witches,Fiction|Fantasy fiction,Morrigan's cross,2006,0.980433096427374,1
mdp.39015050477374_0,mdp.39015050477374,47432,fantasy_oclc,"Siegel, Jan.",,New York|Ballantine Pub. Group|2000.,2000,2000,,Fiction|Geographical myths|Girls|Atlantis (Legendary place),Fiction|Fantasy fiction,Prospero's children,2000,0.9990088819810953,1
mdp.39015064885208_2,mdp.39015064885208,61796,fantasy_oclc,"Robson, Justina.",,New York|Bantam Books|2006.,2006,2006,,Fiction|Gods|Love stories,Novel|Love stories|Science fiction,Living next door to the god of love,2006,0.9842063360089607,1
mdp.49015002610310_1,mdp.49015002610310,50882,fantasy_loc,"Di Filippo, Paul,",1954-,"Urbana, IL|Golden Gryphon Press|2001.",2001,2001,,"Fiction|Occupations|Fantasy fiction, American",Fiction,Strange trades,2001,0.3826049739605666,1
pst.000066114031_1,pst.000066114031,56149,fantasy_oclc,"Harris, Charlaine.",,New York|Ace Books|2004.,2004,2004,,Waitresses|City and town life|Fiction|Telepathy|Vampires,Horror fiction|Fiction|Occult fiction,Dead to the world,2004,0.8308199485797244,1
mdp.39015079150150_0,mdp.39015079150150,54893,fantasy_loc,,,"Nottingham, UK|Solaris|2009.",2009,2009,,Horror tales|Fantasy fiction,NotFiction|Short stories,"POE : | 19 new tales of suspense, dark fantasy, and horror inspired by Edgar Allan Poe",2009,0.9643758471564369,1
mdp.39015054289726_1,mdp.39015054289726,39756,fantasy_loc,"Brockmeier, Kevin.",,New York|Pantheon Books|c2002.,2002,2002,,"Psychological fiction, American|Fantasy fiction, American",Fiction,Things that fall from the sky,2002,0.922926695359946,1
pst.000066114031_0,pst.000066114031,58542,fantasy_oclc,"Harris, Charlaine.",,New York|Ace Books|2004.,2004,2004,,Waitresses|City and town life|Fiction|Telepathy|Vampires,Horror fiction|Fiction|Occult fiction,Dead to the world,2004,0.41685752342960697,1
inu.30000092695687_0,inu.30000092695687,133328,fantasy_loc,"Bishop, Anne.",,New York|ROC|2003.,2003,2003,,"Witches|Fiction|Fantasy fiction, American",Fiction,The black jewels trilogy,2003,0.9983778064322836,1
mdp.39015049615266_1,mdp.39015049615266,46932,fantasy_loc,"Sargent, Stanley C.",,"Lake Orion, Mich.|Elder Signs Press|2004.",2004,2004,,"Horror tales, American|Fantasy fiction, American",Short stories,Ancient Exhumations +2,2004,0.9993094821422711,1
mdp.39015073817440_0,mdp.39015073817440,36937,fantasy_loc,"Lawson, John Edward.",,"Hyattsville, Md.|Raw Dog Screaming|2007.",2007,2007,,"Fiction|Fantasy fiction, American|Families",Short stories,Discouraging at best,2007,0.9619787354951409,1
mdp.39015066066682_1,mdp.39015066066682,65417,fantasy_oclc,"Hamilton, Laurell K.",,New York|Ballantine Books|2000.,2000,2000,,Fairies|Fiction|Women private investigators,Fiction|Mystery fiction|Fantasy fiction,A kiss of shadows,2000,0.9953632056230843,1
mdp.39015054289726_0,mdp.39015054289726,39587,fantasy_loc,"Brockmeier, Kevin.",,New York|Pantheon Books|c2002.,2002,2002,,"Psychological fiction, American|Fantasy fiction, American",Fiction,Things that fall from the sky,2002,0.9333358509839049,1
mdp.39015064885208_1,mdp.39015064885208,63795,fantasy_oclc,"Robson, Justina.",,New York|Bantam Books|2006.,2006,2006,,Fiction|Gods|Love stories,Novel|Love stories|Science fiction,Living next door to the god of love,2006,0.9826633482189078,1
mdp.39015079150150_2,mdp.39015079150150,58234,fantasy_loc,,,"Nottingham, UK|Solaris|2009.",2009,2009,,Horror tales|Fantasy fiction,NotFiction|Short stories,"POE : | 19 new tales of suspense, dark fantasy, and horror inspired by Edgar Allan Poe",2009,0.9210173838447595,1
pst.000066629801_2,pst.000066629801,52914,fantasy_loc|sf_oclc,"Brooks, Terry.",,"New York|Ballentine Books|2006, c2005.",2005,2005,,Shannara (Imaginary place)|Magic|Fantasy|Fiction,Novel,Straken,2005,0.9992128816192363,1
inu.30000092695687_3,inu.30000092695687,129082,fantasy_loc,"Bishop, Anne.",,New York|ROC|2003.,2003,2003,,"Witches|Fiction|Fantasy fiction, American",Fiction,The black jewels trilogy,2003,0.9992051859142025,1
mdp.39015073817440_1,mdp.39015073817440,37914,fantasy_loc,"Lawson, John Edward.",,"Hyattsville, Md.|Raw Dog Screaming|2007.",2007,2007,,"Fiction|Fantasy fiction, American|Families",Short stories,Discouraging at best,2007,0.09663640621919577,1
mdp.39015066779920,mdp.39015066779920,6542,fantasy_loc,"Garcia, Camille Rose,",1970-,"Seattle, Wash.|Fantagraphics|2006.",2006,2006,,"Underground comic books, strips, etc|Magic|Fantasy comic books, strips, etc|Animals|Islands|Comic books, strips, etc|Bottles|United States",UnknownGenre,The magic bottle,2006,0.9906170519016683,1
pst.000066629801_1,pst.000066629801,54488,fantasy_loc|sf_oclc,"Brooks, Terry.",,"New York|Ballentine Books|2006, c2005.",2005,2005,,Shannara (Imaginary place)|Magic|Fantasy|Fiction,Novel,Straken,2005,0.9996341345600361,1
mdp.39015079150150_1,mdp.39015079150150,56801,fantasy_loc,,,"Nottingham, UK|Solaris|2009.",2009,2009,,Horror tales|Fantasy fiction,NotFiction|Short stories,"POE : | 19 new tales of suspense, dark fantasy, and horror inspired by Edgar Allan Poe",2009,0.7389993191804864,1
mdp.39015064885208_0,mdp.39015064885208,60670,fantasy_oclc,"Robson, Justina.",,New York|Bantam Books|2006.,2006,2006,,Fiction|Gods|Love stories,Novel|Love stories|Science fiction,Living next door to the god of love,2006,0.9231883445300654,1
pst.000060768315_1,pst.000060768315,51978,fantasy_oclc,"D'Lacey, Chris.",,New York|Orchard Books|2006,2006,2006,D623firs 2006,Bears|Boardinghouses|Dragons|Supernatural|Fiction|Authorship,Novel,Fire star,2006,0.9958325965028771,1
inu.30000103028167_0,inu.30000103028167,63006,fantasy_oclc,"Turtledove, Harry.",,"Riverdale, NY|Baen Books|New York, NY|Distributed by Simon & Schuster|c2005.",2005,2005,,Refugees|Fiction|Clergy,Fiction|Fantasy fiction,Bridge of the Separator,2005,0.937984418777457,1
mdp.39015074300099_0,mdp.39015074300099,52029,fantasy_loc,"Moning, Karen Marie.",,New York|Delacorte Press|c2007.,2007,2007,,Fiction|Magic|Magicians|Fairies|sears|Americans|Ireland|Fantasy fiction,Fiction|Fantasy fiction,Bloodfever,2007,0.8854412224423496,1
mdp.39015066066682_0,mdp.39015066066682,68143,fantasy_oclc,"Hamilton, Laurell K.",,New York|Ballantine Books|2000.,2000,2000,,Fairies|Fiction|Women private investigators,Fiction|Mystery fiction|Fantasy fiction,A kiss of shadows,2000,0.9968122502715657,1
