docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,std_date,probability,realclass
mdp.39015061386812_0,mdp.39015061386812,46014,fantasy_loc|sf_loc,,,"Harrisonville, Mo.|ESA Publications|1991-",0,1991,v.1,"Fantasy tales, American|Horror tales, American|Middle West|Science fiction, American",Short stories,"Best of the Midwest's science fiction, fantasy & horror",1991,0.9700841975161011,1
mdp.39015064805990_1,mdp.39015064805990,50523,fantasy_loc,"Thomas, Patrick.",,"Farmingdale, New York|Padwolf Pub.|c1997.",1997,1997,,"Fiction|Manhattan (New York, N.Y.)|Leprechauns|Bartenders|Bars (Drinking establishments)|Fantasy fiction, American|Gods",Novel,Murphy's lore : | tales from Bulfinche's Pub,1997,0.4160887377114889,1
mdp.39015037303636_0,mdp.39015037303636,39246,fantasy_loc,"Le Guin, Ursula K.,",1929-,New York|HarperCollins|c1996.,1996,1996,,"Fiction|Manners and customs|Fantasy fiction, American",Fiction,Unlocking the air and other stories,1996,0.030631329965648695,1
mdp.39015061154988_0,mdp.39015061154988,52314,fantasy_loc,,,New York|Ace Books|1995.,1995,1995,,"Adaptations|Fantasy fiction, American|Carroll, Lewis|1832-1898",Short stories,Fantastic Alice,1995,0.9912765338322135,1
mdp.39015047476265_0,mdp.39015047476265,54699,fantasy_loc,"Donaldson, Stephen R.",,New York|Bantam Books|1999.,1999,1999,,"Fantasy fiction, American",Fiction|Fantasy fiction,"Reave the Just, and other tales : | stories",1999,0.9925004932412298,1
mdp.39015056812269_2,mdp.39015056812269,93139,fantasy_oclc,"Wells, Angus.",,"New York|Bantam Books|1996, c1995.",1995,1995,,,Fiction,Exile's children,1995,0.9956084076744699,1
mdp.49015002208008_1,mdp.49015002208008,57854,fantasy_oclc,"Lackey, Mercedes.",,New York|DAW Books|Distributed by Penguin USA|c1994.,1994,1994,,,Fiction,Storm warning,1994,0.9215688860908064,1
mdp.39015058737563_1,mdp.39015058737563,49792,fantasy_oclc,"Dickson, Gordon R.",,New York|Ace Fantasy|1996.,1996,1996,,"Fiction|Time travel|Jinn|Dragons|Middle Ages|Eckert, James (Fictitious character)",Novel|Fantasy fiction,The dragon and the Djinn,1996,0.9191463098467616,1
uc1.32106013120784_1,uc1.32106013120784,37387,fantasy_oclc,"Gentle, Mary",,"New York, N.Y., U.S.A.|ROC|1994], c1991",1991,1991,,Fiction|Renaissance,Fiction,The architecture of desire,1991,0.9852118370102447,1
uc1.32106014482415_1,uc1.32106014482415,56636,fantasy_oclc,"Olsen, Lance,",1956-,San Francisco|Permeable Press|c1996,1996,1996,,,Fiction,Time famine : | a novel,1996,0.8893300715873347,1
mdp.39015056214490_2,mdp.39015056214490,77894,fantasy_loc,"Powers, Tim,",1952-,"New York|Avon Books|1996, c1992.",1996,1996,,"Fiction|Poker|Gambling|Paranormal fiction|Tarot (Game)|Fantasy fiction, American",Fiction,Last call,1996,0.7793227539976075,1
pst.000050247585_0,pst.000050247585,49645,fantasy_loc,"Clarke, Arthur C. (Arthur Charles),",1917-2008,New York|Barnes & Noble|1996.,1996,1996,,"Fantasy fiction, English|Science fiction, English",Fiction,The sentinel,1996,0.9992102477731549,1
pst.000029233083_0,pst.000029233083,51106,fantasy_loc,"Reed, Robert.",,"Collinsville, Ill.|Golden Gryphon Press|c1999.",1999,1999,,"Science fiction, American|Fantasy fiction, American",Fiction,The dragons of Springplace : | stories,1999,0.8853542270012542,1
mdp.39015061386812_1,mdp.39015061386812,45717,fantasy_loc|sf_loc,,,"Harrisonville, Mo.|ESA Publications|1991-",0,1991,v.1,"Fantasy tales, American|Horror tales, American|Middle West|Science fiction, American",Short stories,"Best of the Midwest's science fiction, fantasy & horror",1991,0.9600940086303129,1
mdp.39015040695127_0,mdp.39015040695127,48460,fantasy_oclc,"Divakaruni, Chitra Banerjee,",1956-,New York|Anchor Books|1997.,1997,1997,,Spices|Fiction,Fiction,The mistress of spices,1997,0.2126814578743928,1
mdp.39015037861179_2,mdp.39015037861179,54710,fantasy_loc,,,"Stone Mountain, Ga.|White Wolf Pub.|c1994.",1994,1994,,Fantasy fiction|Horror tales,Fiction|Horror tales|Fantastic fiction,Tombs,1994,0.7630103967194145,1
mdp.39015061865633_0,mdp.39015061865633,57440,fantasy_loc|sf_loc,,,Los Angeles|Alyson Publications|1996.,1996,1996,,"Fiction|Gay men|Lesbians|Gays' writings, American|Science fiction, American|Fantasy fiction, American",Short stories,Swords of the rainbow,1996,0.9703823754877583,1
mdp.49015002208008_0,mdp.49015002208008,53834,fantasy_oclc,"Lackey, Mercedes.",,New York|DAW Books|Distributed by Penguin USA|c1994.,1994,1994,,,Fiction,Storm warning,1994,0.9860363582433808,1
uc1.32106011542344_2,uc1.32106011542344,60474,fantasy_loc,,,"Sawtry, Cambs|Dedalus|c1993.",1993,1993,,"Fantasy fiction, Dutch|Dutch fiction",Fiction,The Dedalus book of Dutch fantasy,1993,0.7721118943052906,1
mdp.39015054262376_0,mdp.39015054262376,64968,fantasy_loc,,,New York|Ace Books|c1991.,1991,1991,,Fantasy fiction|Humor in literature,Short stories,"Smart dragons, foolish elves",1991,0.7425161849428369,1
