docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,std_date,probability,realclass
pst.000016174740_1,pst.000016174740,47335,fantasy_oclc,"Cook, Glen.",,New York|Berkley Books|1979.,1979,1979,,,NotFiction,A shadow of all night falling,1979,0.663522528361438,1
pst.000007889585_1,pst.000007889585,42387,fantasy_loc,,,New York|Kensington|c1979.,1979,1979,,Fantasy fiction,Science fiction|NotFiction,"Other worlds, 1",1979,0.758410987790631,1
mdp.39015020735745_0,mdp.39015020735745,65778,fantasy_oclc,"Adams, Richard,",1920-,"New York|Macmillan|1974,c1972",1974,1974,,,Fiction,Watership Down | $c: [by] Richard Adams.,1974,0.6102595107314884,1
mdp.39015012296821_0,mdp.39015012296821,42963,fantasy_oclc,"Bradbury, Ray,",1920-2012.,Toronto|New York|Bantam Books|1976.,1976,1976,,,Fiction,The machineries of joy : | short stories,1976,0.5665041549161051,1
mdp.39015005165686_1,mdp.39015005165686,30833,fantasy_oclc,"Clarke, Arthur C. (Arthur Charles),",1917-2008,"Boston|Gregg Press|1979, c1952.",1979,1979,,,Fiction,Islands in the sky,1979,0.7874380343247133,1
uc1.32106010493283_1,uc1.32106010493283,37254,fantasy_loc,"Le Guin, Ursula K.,",1929-,"New York|Bantam Books|1975, c1968.",1975,1975,,Fantasy|Fiction|Magic,Fiction,A wizard of Earthsea,1975,0.9162229522349432,1
mdp.39015010919192_0,mdp.39015010919192,37131,fantasy_oclc,"Zelazny, Roger.",,"Boston|Gregg Press|1979, c1970.",1979,1979,,,Fiction,Nine princes in Amber,1979,0.49486635924983796,1
uc1.32106020040769_1,uc1.32106020040769,58679,fantasy_loc,"Lynn, Elizabeth A",,"New York|Berkley Books|1980, c1979",1979,1979,,Fantasy fiction,Fiction,The Dancers of Arun,1979,0.6287000073067784,1
mdp.39015046445832,mdp.39015046445832,56706,fantasy_oclc,"Le Guin, Ursula K.,",1929-,"New York|Atheneum|1971, t.p. 1980.",1971,1971,,Fantastic fiction,NotFiction,The tombs of Atuan | $c: [by] Ursula K. Le Guin. Illustrated by Gail Garraty.,1971,0.918823968241984,1
mdp.39015059189590_1,mdp.39015059189590,49079,fantasy_loc,,,New York|G. P. Putnam|c1970.,1970,1970,,"Fantasy fiction, American",Short stories,Warlocks and warriors,1970,0.9818518797815332,1
