docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,std_date,probability,realclass
mdp.39015006579224_2,mdp.39015006579224,93409,fantasy_oclc,"Crowley, John,",1942-,"Toronto|New York|Bantam Books|c1983, c1981.",1981,1981,,,Fiction,"Little, big",1981,0.8307491744832934,1
mdp.39015056801932_0,mdp.39015056801932,54030,fantasy_oclc,"Hodgell, P. C. (Patricia C.)",,"New York|Atheneum|1986], c1985.",1985,1985,,,Fiction,Dark of the moon,1985,0.9996233036277057,1
mdp.39015062109072_0,mdp.39015062109072,47452,fantasy_loc|fantasy_oclc,"Adams, Douglas,",1952-2001.,New York|Simon and Schuster|c1987.,1987,1987,,,Fiction,Dirk Gently's Holistic Detective Agency,1987,0.5773448680885158,1
uc1.32106006558255_0,uc1.32106006558255,35435,fantasy_oclc,"Carroll, Jonathan,",1949-,New York|Viking Press|c1983.,1983,1983,,,Fiction,Voice of our shadow,1983,0.010965618937347299,1
pst.000021750151_0,pst.000021750151,98742,fantasy_oclc,"Park, Paul,",1954-,New York|Guild America Books|c1989.,1987,1987,,,NotFiction,The sugar festival,1987,0.9743883241732307,1
pst.000022355218_0,pst.000022355218,49687,fantasy_oclc,"Gibson, William,",1948-,"West Bloomfield, Mich.|Phantasia Press|1986.",1986,1986,,,NotFiction,Neuromancer,1986,0.8331556979589205,1
pst.000012368204_1,pst.000012368204,31697,fantasy_oclc,"Alexander, Lloyd.",,New York|Dell Pub. Co.|1985.,1985,1985,,,NotFiction,The black cauldron,1985,0.9829773874694895,1
uc1.32106005561946_1,uc1.32106005561946,50630,fantasy_oclc,"Morris, Janet,",1946-,"New York, N.Y.|Baen Enterprises|Distributed by Simon and Schuster|c1985.",1985,1985,,,Fiction,Beyond the veil,1985,0.9183034420130627,1
inu.30000036960361_0,inu.30000036960361,69147,fantasy_oclc|sf_oclc,"Banks, Iain,",1954-,"New York, N.Y.|HarperPaperbacks|c1989.",1989,1989,,,Fiction,The player of games,1989,0.8526323172952341,1
pst.000058490631_3,pst.000058490631,79381,fantasy_oclc,"King, Stephen,",1947-,New York|Random House|c1984.,1984,1984,,Quests (Expeditions)|Mothers and sons|Fiction|Boys|Talismans,Fiction|Fantasy fiction,The talisman : | a novel,1984,0.9908879078181889,1
mdp.39015069115130_0,mdp.39015069115130,87919,fantasy_loc,"Williams, Tad.",,New York|DAW Books|Distributed by New American Library|1988.,1988,1988,,"Fantasy fiction, American",Novel|Fantastic fiction,The dragonbone chair,1988,0.9955505630860196,1
mdp.39015069115130_3,mdp.39015069115130,83528,fantasy_loc,"Williams, Tad.",,New York|DAW Books|Distributed by New American Library|1988.,1988,1988,,"Fantasy fiction, American",Novel|Fantastic fiction,The dragonbone chair,1988,0.9991415859616901,1
mdp.39015013303212_0,mdp.39015013303212,43775,fantasy_oclc,"Lee, Tanith.",,"New York, N.Y.|Daw Books|1983.",1983,1983,,,Fiction,"Red as blood, or, Tales from the Sisters Grimmer",1983,0.9825234967926098,1
mdp.39015014154846_1,mdp.39015014154846,66121,fantasy_oclc,"Silverberg, Robert.",,New York|Arbor House|c1982.,1982,1982,,,Fiction,Majipoor chronicles : | a novel,1982,0.9489037766078525,1
mdp.39015066054712_0,mdp.39015066054712,113950,fantasy_loc,"Clayton, Jo.",,New York?|Guild America Books|c1989.,1986,1986,,"Fiction|Fantasy fiction, American|Slavery",Novel|Fantastic fiction,The Soul drinker,1986,0.9883468710233037,1
mdp.39015069302423_1,mdp.39015069302423,54888,fantasy_oclc,"Farmer, Philip Jos̩.",,"Woodstock, NY|Overlook Press|2007.",2007,1981,,,Fiction,The unreasoning mask,1981,0.9914975111417497,1
mdp.39015069174335_0,mdp.39015069174335,49968,fantasy_loc,"Lansdale, Joe R.,",1951-,"Shingletown, CA.|Mark V. Ziesing|1989.",1989,1989,,"Horror tales, American|Fantasy fiction, American",Short stories,By bizarre hands : | stories,1989,0.5184974047484194,1
pst.000021750151_2,pst.000021750151,94985,fantasy_oclc,"Park, Paul,",1954-,New York|Guild America Books|c1989.,1987,1987,,,NotFiction,The sugar festival,1987,0.8564896575963443,1
