docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,std_date,probability,realclass
mdp.49015002208008_1,mdp.49015002208008,57854,fantasy_oclc,"Lackey, Mercedes.",,New York|DAW Books|Distributed by Penguin USA|c1994.,1994,1994,,,Fiction,Storm warning,1994,0.9530778645262762,1
pst.000029233083_1,pst.000029233083,52459,fantasy_loc,"Reed, Robert.",,"Collinsville, Ill.|Golden Gryphon Press|c1999.",1999,1999,,"Science fiction, American|Fantasy fiction, American",Fiction,The dragons of Springplace : | stories,1999,0.9794088280152172,1
mdp.39015064125274_0,mdp.39015064125274,42966,fantasy_loc,"Schweitzer, Darrell,",1952-,"Buffalo, N.Y.|W. Paul Ganley|1993.",1993,1993,,"Horror tales, American|Fantasy fiction, American",Short stories,"Transients, and other disquieting stories",1993,0.9751287338994105,1
mdp.39015056214490_1,mdp.39015056214490,78156,fantasy_loc,"Powers, Tim,",1952-,"New York|Avon Books|1996, c1992.",1996,1996,,"Fiction|Poker|Gambling|Paranormal fiction|Tarot (Game)|Fantasy fiction, American",Fiction,Last call,1996,0.4446902039149162,1
mdp.39015040060918_2,mdp.39015040060918,59921,fantasy_loc,,,"Lexington, Ky.|University Press of Kentucky|c1997.",1997,1997,,"Fantasy literature, English|Carroll, Lewis|1832-1898|Satire, English|Influence|Parodies, imitations, etc",NotFiction|Bibliographies,Alternative Alices : | visions and revisions of Lewis Carroll's Alice books : an anthology,1997,0.9910656504286328,1
mdp.39015037303636_1,mdp.39015037303636,41786,fantasy_loc,"Le Guin, Ursula K.,",1929-,New York|HarperCollins|c1996.,1996,1996,,"Fiction|Manners and customs|Fantasy fiction, American",Fiction,Unlocking the air and other stories,1996,0.5509807338838489,1
mdp.39015068636235_1,mdp.39015068636235,51431,fantasy_loc,"Bowen, Gary.",,New York|Masquerade Books|c1996.,1996,1996,,"Fiction|Gay men|Horror tales, American|Erotic stories, American|Science fiction, American|Fantasy fiction, American",Fiction,Man hungry,1996,0.9093743439215444,1
mdp.49015002208008_2,mdp.49015002208008,58040,fantasy_oclc,"Lackey, Mercedes.",,New York|DAW Books|Distributed by Penguin USA|c1994.,1994,1994,,,Fiction,Storm warning,1994,0.9960563449836873,1
pst.000033357485_0,pst.000033357485,34834,fantasy_loc,"Brown, Steve C.",,"Stone Mtn., GA|White Wolf Game Studio|c1997.",1997,1997,,Fantasy games|Vampire (Game),NotFiction,Dirty secrets of the Black hand : | the calm of desperation,1997,0.9884683267418146,1
mdp.39015063166436_0,mdp.39015063166436,52970,fantasy_loc|sf_loc,,,"Farmingdale, NY|Padwolf Pub.|1998-",0,1998,v.1,"Detective and mystery stories, American|Fantasy fiction, American|Science fiction, American",Mixed,"The Best of pirate writings : | tales of fantasy, mystery & science fiction",1998,0.8786168230724141,1
mdp.39015037861179_0,mdp.39015037861179,60557,fantasy_loc,,,"Stone Mountain, Ga.|White Wolf Pub.|c1994.",1994,1994,,Fantasy fiction|Horror tales,Fiction|Horror tales|Fantastic fiction,Tombs,1994,0.979226208982884,1
uc1.32106014482415_1,uc1.32106014482415,56636,fantasy_oclc,"Olsen, Lance,",1956-,San Francisco|Permeable Press|c1996,1996,1996,,,Fiction,Time famine : | a novel,1996,0.5252240967791088,1
mdp.39015040542139_1,mdp.39015040542139,62234,fantasy_loc,,,New York|Avon Books|c1997.,1997,1997,,"Fairy tales|Adaptations|Fantasy fiction, American",Fiction,"Black swan, white raven",1997,0.9668970736578485,1
mdp.49015002042977_1,mdp.49015002042977,48959,fantasy_loc,"Kress, Nancy.",,"Sauk City, Wis.|Arkham House Publishers|c1993.",1993,1993,,"Fantasy fiction, American",Short stories,The aliens of earth,1993,0.566012326735268,1
mdp.39015061154988_1,mdp.39015061154988,55566,fantasy_loc,,,New York|Ace Books|1995.,1995,1995,,"Adaptations|Fantasy fiction, American|Carroll, Lewis|1832-1898",Short stories,Fantastic Alice,1995,0.8844505037280778,1
mdp.39015050507618_0,mdp.39015050507618,93229,fantasy_oclc,"Martin, George R. R.",,New York|Bantam Books|1996.,1996,1996,,,Fiction,A game of thrones,1996,0.9996893618989967,1
mdp.39015028914631_1,mdp.39015028914631,48434,fantasy_oclc,"Barrett, Neal.",,"Shingletown, CA|M.V. Ziesing|1991.",1991,1991,,,Fiction,The hereafter gang,1991,0.23699465158496716,1
mdp.39015019810483_0,mdp.39015019810483,68182,fantasy_oclc,"Brooks, Terry.",,New York|Ballantine Books|1990.,1990,1990,,,Fiction,The scions of Shannara,1990,0.9997304002808113,1
