docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,std_date,probability,realclass
mdp.39015054025773_1,mdp.39015054025773,62620,fantasy_oclc,"(John Ronald Reuel), Tolkien, J. R. R.",1892-1973.,London|Allen & Unwin|1954-55.,1954,1954,pt.2,,Fiction,The lord of the rings.,1954,0.9369056033938292,1
mdp.39076002560766_0,mdp.39076002560766,49235,fantasy_loc,"Goudge, Elizabeth,",1900-1984.,New York|Coward-McCann|c1951.,1951,1951,,"Juvenile fiction|Animals, Mythical|Perseverance (Ethics)|Fantasy fiction",Fiction,The Valley of Song,1951,0.8428577299379091,1
mdp.39015002755190_1,mdp.39015002755190,50810,fantasy_oclc,"Saxton, Mark.",,Boston|Houghton Mifflin|1969.,1969,1969,,,UnknownGenre,"The Islar, a narrative of Lang III.",1969,0.8428487213229156,1
mdp.39015008828157_1,mdp.39015008828157,32851,fantasy_oclc|sf_oclc,"Vance, Jack,",1916-,"New York|Pocket Books|1977 printing, c1950.",0,1950,,,Fiction,The dying earth,1950,0.9381905366664848,1
mdp.39015000543929_1,mdp.39015000543929,46764,fantasy_oclc,"Peake, Mervyn Laurence,",1911-1968.,London|Eyre & Spottiswoode|1959.,1959,1959,,,UnknownGenre,Titus alone.,1959,0.7922039193137143,1
osu.32435059733857_1,osu.32435059733857,35607,fantasy_oclc,"Leiber, Fritz,",1910-1992.,New York|Twayne Publishers|c1953.,1953,1953,,Paranormal fiction,Fiction|Occult fiction,Conjure wife,1953,0.7188684930442328,1
mdp.39015005766368_0,mdp.39015005766368,41131,fantasy_oclc,"Clarke, Arthur C. (Arthur Charles),",1917-2008,New York|Ballantine Books|1953,1953,1953,,,Fiction,Childhood's end.,1953,0.9855625558715083,1
mdp.39015030718657_1,mdp.39015030718657,51492,fantasy_loc|sf_loc,"Sturgeon, Theodore.",,New York|Funk & Wagnalls|1955.,1955,1955,,"Science fiction, American|Fantasy fiction, American",NotFiction,"A way home, stories of science fiction and fantasy | $c: [by] Theodore Sturgeon. Selected and with an introd. by Groff Conklin.",1955,0.7843995342837918,1
uc1.b3545502_0,uc1.b3545502,69298,fantasy_loc|sf_loc,"Merril, Judith,",1923-1997.,New York|Random House|1954,1954,1954,,Science fiction|Fantasy fiction,NotFiction,Beyond the barriers of space and time.,1954,0.7474419787248109,1
mdp.39015056817474,mdp.39015056817474,46499,fantasy_loc,"Cummings, M. A.",,New York|Caravelle Books|c1968.,1968,1968,,"Fantasy fiction, American",Short stories,Exile and other tales of fantasy,1968,0.7069678175448855,1
pst.000006412210,pst.000006412210,31408,fantasy_oclc,"Chase, Mary,",1907-1981,"New York|Scholastic Book Services|1971, c1968.",1968,1968,,,NotFiction,"The wicked, wicked ladies in the haunted house",1968,0.3262775572559504,1
mdp.39015056814455_0,mdp.39015056814455,56713,fantasy_loc|sf_loc,,,"Garden City, N.Y.|Doubleday|c1960.",1960,1955,,Fantasy fiction|Science fiction,Fiction,A decade of Fantasy and science fiction,1955,0.8040012627220925,1
uc1.$b104019,uc1.$b104019,42702,fantasy_oclc,"Nathan, Robert,",1894-1985.,New York|Knopf|1961.,1961,1961,,,Fiction,The wilderness-stone.,1961,0.5116013473245609,1
inu.32000009192297_0,inu.32000009192297,41124,fantasy_oclc,"Bentley, E. C. (Edmund Clerihew),",1875-1956.,New York|Knopf|1950.,1950,1950,,,Fiction,"Elephant's work, an enigma.",1950,0.2638339048186512,1
mdp.39015030718657_2,mdp.39015030718657,50398,fantasy_loc|sf_loc,"Sturgeon, Theodore.",,New York|Funk & Wagnalls|1955.,1955,1955,,"Science fiction, American|Fantasy fiction, American",NotFiction,"A way home, stories of science fiction and fantasy | $c: [by] Theodore Sturgeon. Selected and with an introd. by Groff Conklin.",1955,0.9502665854478318,1
pst.000011216162,pst.000011216162,50851,fantasy_oclc,"Lewis, C. S. (Clive Staples),",1898-1963.,New York|Macmillan|1955].,1955,1955,,,NotFiction,The magician's nephew,1955,0.9386092281378493,1
uc1.b4099051,uc1.b4099051,53611,fantasy_oclc,"North, Joan",,"New York|Farrar, Straus & Giroux|1966,c1965",1966,1966,,,Fiction,The cloud forest.,1966,0.5679244846908877,1
osu.32435053305041_1,osu.32435053305041,36361,fantasy_oclc,"Bradbury, Ray,",1920-2012.,New York|Berkley|1963.,1963,1963,,Science fiction,Fiction,Beyond,1963,0.5653728188004992,1
mdp.39076005205393_0,mdp.39076005205393,45345,fantasy_loc,,,"Boston|Little, Brown|1952-",1952,1952,,"Science fiction|Magazine of fantasy and science fiction (Cornwall, Conn.)|Fantasy fiction",UnknownGenre,The best from Fantasy and science fiction.,1952,0.740881583806349,1
pst.000013229504_0,pst.000013229504,35691,fantasy_oclc,"Bradley, Marion Zimmer.",,New York|Ace Science Fiction books|c1965.,1965,1965,,,NotFiction,Star of danger,1965,0.8811137717948149,1
uc1.$b792519_0,uc1.$b792519,42269,fantasy_oclc,"Beeching, Jack.",,New York|Delacorte Press|1968,1968,1968,,,Fiction,The Dakota Project.,1968,0.39430992463823233,1
mdp.39015052467530_0,mdp.39015052467530,51467,fantasy_oclc|sf_loc,"Le Guin, Ursula K.,",1929-,New York|Walker|c1969.,1969,1969,,Science fiction,Fiction,The left hand of darkness,1969,0.5828045427804416,1
osu.32435053363701,osu.32435053363701,55631,fantasy_oclc,"Laumer, Keith,",1925-1993.,New York|Ace Books|1962.,1962,1962,,,Fiction,Worlds of the Imperium,1962,0.8179158585030826,1
uc1.b3545524_0,uc1.b3545524,52102,fantasy_oclc,,,Chicago|Playboy Press|1966,1966,1964,,Science fiction,NotFiction,"The Playboy book of science fiction and fantasy, | $c: selected by the editors of Playboy.",1964,0.661584964689624,1
mdp.39015020709617_2,mdp.39015020709617,48781,fantasy_oclc,"Dick, Philip K.",,New York|Ace Books|c1969,1969,1969,,,Fiction,The preserving machine.,1969,0.7458282568363941,1
uc1.$b326450,uc1.$b326450,56060,fantasy_oclc,"Gebhardt, Hertha Antonia Mathilde (Triepel) Von.",,New York|Criterion Books|1959,1959,1959,,,NotFiction,The girl from nowhere. | $c: Translated by James Kirkup.  Illustrated by Helen Brun.,1959,0.3385146394006934,1
uc1.32106002168356_2,uc1.32106002168356,58348,fantasy_oclc,"Ellison, Harlan.",,New York|Trident Press|1968,1968,1968,,"Science fiction, American",Fiction,Love ain't nothing but sex misspelled; | twenty-two stories.,1968,0.43584656809611655,1
mdp.49015003166726_1,mdp.49015003166726,91515,fantasy_loc,"Farmer, Philip Jos̩.",,"Burton, Mich.|Subterranean Press|2006.",2006,1967,,"Fantasy|Short stories|Science fiction, American",Fiction|Science fiction,The best of Philip Jos̩ Farmer,1967,0.6507659702499144,1
osu.32435063116172_0,osu.32435063116172,53040,fantasy_loc,"Gardner, Maurice B.",,"Boston, Mass.|Meador Publishing Company|c1959.",1959,1959,,"Fantasy fiction, American",NotFiction|Love stories|Adventures stories,Bantan's island peril,1959,0.22566681937867533,1
uc1.b3545524_1,uc1.b3545524,52004,fantasy_oclc,,,Chicago|Playboy Press|1966,1966,1964,,Science fiction,NotFiction,"The Playboy book of science fiction and fantasy, | $c: selected by the editors of Playboy.",1964,0.756106187920833,1
mdp.39015010321076_1,mdp.39015010321076,41840,fantasy_oclc|sf_oclc,"Davies, L. P. (Leslie Purnell)",,"Garden City, N.Y.|Doubleday|1967.",1967,1967,,,NotFiction,Psychogeist | $c: [by] L. P. Davies.,1967,0.8548514088237926,1
mdp.49015000898420_1,mdp.49015000898420,30818,fantasy_oclc,"Garner, Alan,",1934-,"New York|Ballantine Books|1981, c1967.",1967,1967,,Fiction,Fiction,The owl service,1967,0.7146370157475108,1
osu.32435068347988_0,osu.32435068347988,43533,fantasy_oclc,"Hughes, Riley.",,Milwaukee|Bruce Pub. Co.|1955,1955,1955,,,NotFiction,The hills were liars : | a novel,1955,0.7591882797976014,1
mdp.39015005906592_0,mdp.39015005906592,33192,fantasy_oclc,"Bradbury, Ray,",1920-2012.,"New York|Bantam Books|1963, c1962.",1962,1962,,,Fiction,Something wicked this way comes,1962,0.8078969021082338,1
pst.000032513851_0,pst.000032513851,65926,fantasy_oclc,"Du Maurier, Daphne,",1907-1989,"Cutchogue, N.Y.|Buccaneer Books|c1969.",1969,1969,,,NotFiction,The house on the strand,1969,0.33961302690336653,1
mdp.49015003166726_2,mdp.49015003166726,93435,fantasy_loc,"Farmer, Philip Jos̩.",,"Burton, Mich.|Subterranean Press|2006.",2006,1967,,"Fantasy|Short stories|Science fiction, American",Fiction|Science fiction,The best of Philip Jos̩ Farmer,1967,0.4678006421038665,1
mdp.39015030718657_0,mdp.39015030718657,48668,fantasy_loc|sf_loc,"Sturgeon, Theodore.",,New York|Funk & Wagnalls|1955.,1955,1955,,"Science fiction, American|Fantasy fiction, American",NotFiction,"A way home, stories of science fiction and fantasy | $c: [by] Theodore Sturgeon. Selected and with an introd. by Groff Conklin.",1955,0.9163953921670597,1
mdp.39076005205393_1,mdp.39076005205393,46767,fantasy_loc,,,"Boston|Little, Brown|1952-",1952,1952,,"Science fiction|Magazine of fantasy and science fiction (Cornwall, Conn.)|Fantasy fiction",UnknownGenre,The best from Fantasy and science fiction.,1952,0.8203982766818405,1
pst.000024818261,pst.000024818261,8252,fantasy_oclc,"Guillot, Ren̩,",1900-1969,"New York|Abelard-Schuman|1961, c1960].",1960,1960,,,NotFiction,Nicolette and the mill,1960,0.9318100611154313,1
mdp.39076002560766_1,mdp.39076002560766,47430,fantasy_loc,"Goudge, Elizabeth,",1900-1984.,New York|Coward-McCann|c1951.,1951,1951,,"Juvenile fiction|Animals, Mythical|Perseverance (Ethics)|Fantasy fiction",Fiction,The Valley of Song,1951,0.9220308123150762,1
uc1.$b792519_1,uc1.$b792519,42856,fantasy_oclc,"Beeching, Jack.",,New York|Delacorte Press|1968,1968,1968,,,Fiction,The Dakota Project.,1968,0.5222456565903648,1
uc1.32106015420547_2,uc1.32106015420547,73503,fantasy_oclc,"Tolkien, J. R. R. (John Ronald Reuel),",1892-1973,Oxford|George Allen & Unwin|1954,1954,1954,,,Fiction,The fellowship of the ring : | being the first part of The Lord of the Rings,1954,0.9817032470250447,1
uc1.$b114021_0,uc1.$b114021,35852,fantasy_oclc,"Walter, Elizabeth (Elizabeth Margaret)",,New York|Stein and Day|1966-c1965,1966,1966,,,NotFiction,"Snowfall, and other chilling events.",1966,0.7264983146417493,1
mdp.39015056814455_2,mdp.39015056814455,54572,fantasy_loc|sf_loc,,,"Garden City, N.Y.|Doubleday|c1960.",1960,1955,,Fantasy fiction|Science fiction,Fiction,A decade of Fantasy and science fiction,1955,0.8919170146109547,1
uc1.32106015420547_0,uc1.32106015420547,73349,fantasy_oclc,"Tolkien, J. R. R. (John Ronald Reuel),",1892-1973,Oxford|George Allen & Unwin|1954,1954,1954,,,Fiction,The fellowship of the ring : | being the first part of The Lord of the Rings,1954,0.9213639747080721,1
uc1.b5170808_1,uc1.b5170808,34149,fantasy_oclc,"Boileau, Pierre,",1906-,London|Barlcer|1966,1966,1966,,,NotFiction,Choice cuts | $c: [by] Thomas Boileau [sic] and Pierre Narcejac [sic]; translated from the French by Brian Rawson.,1966,0.3759644281967407,1
uc1.32106015420547_1,uc1.32106015420547,74924,fantasy_oclc,"Tolkien, J. R. R. (John Ronald Reuel),",1892-1973,Oxford|George Allen & Unwin|1954,1954,1954,,,Fiction,The fellowship of the ring : | being the first part of The Lord of the Rings,1954,0.9204601525727998,1
mdp.39015000543929_0,mdp.39015000543929,45344,fantasy_oclc,"Peake, Mervyn Laurence,",1911-1968.,London|Eyre & Spottiswoode|1959.,1959,1959,,,UnknownGenre,Titus alone.,1959,0.8602992087989897,1
osu.32435063116172_1,osu.32435063116172,51600,fantasy_loc,"Gardner, Maurice B.",,"Boston, Mass.|Meador Publishing Company|c1959.",1959,1959,,"Fantasy fiction, American",NotFiction|Love stories|Adventures stories,Bantan's island peril,1959,0.11236544567360837,1
uc1.b5170808_0,uc1.b5170808,34703,fantasy_oclc,"Boileau, Pierre,",1906-,London|Barlcer|1966,1966,1966,,,NotFiction,Choice cuts | $c: [by] Thomas Boileau [sic] and Pierre Narcejac [sic]; translated from the French by Brian Rawson.,1966,0.369263527135188,1
mdp.39015028917980,mdp.39015028917980,56562,fantasy_oclc,"Bellairs, John.",,New York|Collier Books|Toronto|Maxwell Macmillan Canada|New York|Maxwell Macmillan International|1991.,1991,1969,,,Fiction,The face in the frost,1969,0.9351305236605095,1
mdp.39015056814455_1,mdp.39015056814455,54782,fantasy_loc|sf_loc,,,"Garden City, N.Y.|Doubleday|c1960.",1960,1955,,Fantasy fiction|Science fiction,Fiction,A decade of Fantasy and science fiction,1955,0.7163362638524664,1
mdp.39015005058410,mdp.39015005058410,24083,fantasy_oclc,"Hesse, Hermann,",1877-1962.,London|P. Owen|1956,1956,1956,,,NotFiction,The journey to the East.,1956,0.5494937587543774,1
inu.39000000059332_0,inu.39000000059332,45691,fantasy_oclc,"Norton, Andre.",,New York|Ace Books|1963,1963,1963,,"Science fiction, American",UnknownGenre,Witch world.,1963,0.6817884436196947,1
mdp.39015017693923_0,mdp.39015017693923,45980,fantasy_oclc,"Fyson, Jenny Grace.",,London|Oxford University Press|1964.,1964,1964,,,UnknownGenre,The three brothers of Ur. | $c: Illustrated by Victor G. Ambrus.,1964,0.18544053594840063,1
osu.32435059733857_0,osu.32435059733857,36970,fantasy_oclc,"Leiber, Fritz,",1910-1992.,New York|Twayne Publishers|c1953.,1953,1953,,Paranormal fiction,Fiction|Occult fiction,Conjure wife,1953,0.6065409910727348,1
inu.32000009192297_1,inu.32000009192297,53880,fantasy_oclc,"Bentley, E. C. (Edmund Clerihew),",1875-1956.,New York|Knopf|1950.,1950,1950,,,Fiction,"Elephant's work, an enigma.",1950,0.2073254775742507,1
mdp.39015018601388_0,mdp.39015018601388,40419,fantasy_oclc,"Beagle, Peter S.",,New York|Viking Press|1968,1968,1968,,,Fiction,The last unicorn | $c: [by] Peter S. Beagle.,1968,0.9131622229968027,1
mdp.39015005906592_1,mdp.39015005906592,37366,fantasy_oclc,"Bradbury, Ray,",1920-2012.,"New York|Bantam Books|1963, c1962.",1962,1962,,,Fiction,Something wicked this way comes,1962,0.8170524283597742,1
osu.32435053305041_0,osu.32435053305041,36078,fantasy_oclc,"Bradbury, Ray,",1920-2012.,New York|Berkley|1963.,1963,1963,,Science fiction,Fiction,Beyond,1963,0.8392022188749764,1
uc1.32106012654197_1,uc1.32106012654197,31828,fantasy_oclc,"Lewis, C. S. (Clive Staples),",1898-1963.,New York|Macmillan|1952.,1952,1952,,,NotFiction,The voyage of the Dawn Treader. | $c: Illus. by Pauline Baynes.,1952,0.8952226081736857,1
mdp.39015054025773_2,mdp.39015054025773,64343,fantasy_oclc,"(John Ronald Reuel), Tolkien, J. R. R.",1892-1973.,London|Allen & Unwin|1954-55.,1954,1954,pt.2,,Fiction,The lord of the rings.,1954,0.9564065267401787,1
uc1.32106014483108,uc1.32106014483108,47045,fantasy_oclc|sf_loc,"Leiber, Fritz,",1910-1992,S.l.|s.n.|19--,0,1958,,"Science fiction, American",NotFiction,The big time,1958,0.8666110555219252,1
pst.000018315271,pst.000018315271,59075,fantasy_oclc,"Lewis, C. S. (Clive Staples),",1898-1963.,"New York|Macmillan Pub. Co.|1988, c1954.",1954,1954,1988,,NotFiction,The horse and his boy,1954,0.5947737308175906,1
mdp.49015000898420_0,mdp.49015000898420,28851,fantasy_oclc,"Garner, Alan,",1934-,"New York|Ballantine Books|1981, c1967.",1967,1967,,Fiction,Fiction,The owl service,1967,0.5297227651612285,1
inu.30000054447648_0,inu.30000054447648,53240,fantasy_oclc,"White, T. H. (Terence Hanbury),",1906-1964.,London|Collins|1957.,1957,1957,,Arthurian romances,Fiction,The sword in the stone,1957,0.7625785057739415,1
mdp.39015020709617_1,mdp.39015020709617,48697,fantasy_oclc,"Dick, Philip K.",,New York|Ace Books|c1969,1969,1969,,,Fiction,The preserving machine.,1969,0.7531551744659513,1
mdp.39076006980549,mdp.39076006980549,32315,fantasy_oclc,"Lawson, John (John Shults)",,New York|Crowell|1966,1966,1966,,,UnknownGenre,"You better come home with me, | $c: by John Lawson. Illustrated by Arnold Spilka.",1966,0.5303189253062175,1
uc1.b3545502_1,uc1.b3545502,68465,fantasy_loc|sf_loc,"Merril, Judith,",1923-1997.,New York|Random House|1954,1954,1954,,Science fiction|Fantasy fiction,NotFiction,Beyond the barriers of space and time.,1954,0.8893960745974626,1
mdp.39015054025773_0,mdp.39015054025773,60886,fantasy_oclc,"(John Ronald Reuel), Tolkien, J. R. R.",1892-1973.,London|Allen & Unwin|1954-55.,1954,1954,pt.2,,Fiction,The lord of the rings.,1954,0.9589467955152389,1
uc1.32106012654197_0,uc1.32106012654197,31655,fantasy_oclc,"Lewis, C. S. (Clive Staples),",1898-1963.,New York|Macmillan|1952.,1952,1952,,,NotFiction,The voyage of the Dawn Treader. | $c: Illus. by Pauline Baynes.,1952,0.6552293473674723,1
mdp.39015012178250_1,mdp.39015012178250,34873,fantasy_oclc,"Zelazny, Roger.",,"New York, N.Y.|Ace Books|c1966.",1966,1966,,,Fiction,This immortal,1966,0.8449766625700378,1
mdp.39015005607919_1,mdp.39015005607919,62568,fantasy_oclc,"(John Ronald Reuel), Tolkien, J. R. R.",1892-1973.,London|Allen & Unwin|1954-55.,1954,1954,,,Fiction,The lord of the rings.,1954,0.9405492311958209,1
